command_tag,command_variant,field_tag,rust_slot_variant,current_field,resolution,site_coordinate,effect_resolution,optional_rule,alias_rule
0,Play,0,PlayVoice,Play.voice,Arg(n) -> owning effect signature parameter n; Const(c) -> typed constant c,"AwbcTypedSite::AudioCommand { effect, slot }",effect -> effect.audio command; Arg(n) -> effect.signature.params[n]; Const(c) -> typed_constants[c].ty,mandatory field emits one site,same command may be reused; each effect resolves independently
0,Play,1,PlayResource,Play.resource,Arg(n) -> owning effect signature parameter n; Const(c) -> typed constant c,"AwbcTypedSite::AudioCommand { effect, slot }",effect -> effect.audio command; Arg(n) -> effect.signature.params[n]; Const(c) -> typed_constants[c].ty,mandatory field emits one site,same command may be reused; each effect resolves independently
0,Play,2,PlayBus,Play.bus,Arg(n) -> owning effect signature parameter n; Const(c) -> typed constant c,"AwbcTypedSite::AudioCommand { effect, slot }",effect -> effect.audio command; Arg(n) -> effect.signature.params[n]; Const(c) -> typed_constants[c].ty,mandatory field emits one site,same command may be reused; each effect resolves independently
0,Play,3,PlayGainDbMilli,Play.gain_db_milli,Arg(n) -> owning effect signature parameter n; Const(c) -> typed constant c,"AwbcTypedSite::AudioCommand { effect, slot }",effect -> effect.audio command; Arg(n) -> effect.signature.params[n]; Const(c) -> typed_constants[c].ty,mandatory field emits one site,same command may be reused; each effect resolves independently
0,Play,4,PlayPanMilli,Play.pan_milli,Arg(n) -> owning effect signature parameter n; Const(c) -> typed constant c,"AwbcTypedSite::AudioCommand { effect, slot }",effect -> effect.audio command; Arg(n) -> effect.signature.params[n]; Const(c) -> typed_constants[c].ty,mandatory field emits one site,same command may be reused; each effect resolves independently
0,Play,5,PlayStartFrame,Play.start_frame,Arg(n) -> owning effect signature parameter n; Const(c) -> typed constant c,"AwbcTypedSite::AudioCommand { effect, slot }",effect -> effect.audio command; Arg(n) -> effect.signature.params[n]; Const(c) -> typed_constants[c].ty,mandatory field emits one site,same command may be reused; each effect resolves independently
0,Play,6,PlayFadeInMillis,Play.fade_in_millis,Arg(n) -> owning effect signature parameter n; Const(c) -> typed constant c,"AwbcTypedSite::AudioCommand { effect, slot }",effect -> effect.audio command; Arg(n) -> effect.signature.params[n]; Const(c) -> typed_constants[c].ty,mandatory field emits one site,same command may be reused; each effect resolves independently
1,Stop,0,StopVoice,Stop.voice,Arg(n) -> owning effect signature parameter n; Const(c) -> typed constant c,"AwbcTypedSite::AudioCommand { effect, slot }",effect -> effect.audio command; Arg(n) -> effect.signature.params[n]; Const(c) -> typed_constants[c].ty,mandatory field emits one site,same command may be reused; each effect resolves independently
1,Stop,1,StopFadeOutMillis,Stop.fade_out_millis,Arg(n) -> owning effect signature parameter n; Const(c) -> typed constant c,"AwbcTypedSite::AudioCommand { effect, slot }",effect -> effect.audio command; Arg(n) -> effect.signature.params[n]; Const(c) -> typed_constants[c].ty,mandatory field emits one site,same command may be reused; each effect resolves independently
2,StopAll,0,StopAllFadeOutMillis,StopAll.fade_out_millis,Arg(n) -> owning effect signature parameter n; Const(c) -> typed constant c,"AwbcTypedSite::AudioCommand { effect, slot }",effect -> effect.audio command; Arg(n) -> effect.signature.params[n]; Const(c) -> typed_constants[c].ty,mandatory field emits one site,same command may be reused; each effect resolves independently
3,SetVoiceGain,0,SetVoiceGainVoice,SetVoiceGain.voice,Arg(n) -> owning effect signature parameter n; Const(c) -> typed constant c,"AwbcTypedSite::AudioCommand { effect, slot }",effect -> effect.audio command; Arg(n) -> effect.signature.params[n]; Const(c) -> typed_constants[c].ty,mandatory field emits one site,same command may be reused; each effect resolves independently
3,SetVoiceGain,1,SetVoiceGainValue,SetVoiceGain.gain_db_milli,Arg(n) -> owning effect signature parameter n; Const(c) -> typed constant c,"AwbcTypedSite::AudioCommand { effect, slot }",effect -> effect.audio command; Arg(n) -> effect.signature.params[n]; Const(c) -> typed_constants[c].ty,mandatory field emits one site,same command may be reused; each effect resolves independently
3,SetVoiceGain,2,SetVoiceGainTransition,SetVoiceGain.transition_millis,Arg(n) -> owning effect signature parameter n; Const(c) -> typed constant c,"AwbcTypedSite::AudioCommand { effect, slot }",effect -> effect.audio command; Arg(n) -> effect.signature.params[n]; Const(c) -> typed_constants[c].ty,mandatory field emits one site,same command may be reused; each effect resolves independently
