source_kind,path,git_blob_or_sha256,inspection,contract_relevance
repository,AGENTS.md,e91f99213dde67953beda6aa078c370a8dc4541d,full file read,"Latest project rules: no source gates, owner-local enum behavior, ZIP intake, structural validation."
repository,docs/implementation/2026-07-22-reviews-zip-intake-audit.md,01184ecd2370e45af17e87b278ac77785c5be6b0,full file read,Prior Lang-01.5.1.2 hash/status and required Lang-01.5.1.2.1 dependency.
repository,docs/implementation/2026-07-18-lang-01-3-1-external-stream-source-elimination-cut-0.md,53ab1e32bf86d247587d2a0e4bfa03dcdf4aff51,full file read,"Selected removal of source/Source<T,E>; ordinary fn -> Stream model; no compatibility parser/alias/gate."
repository,docs/reviews/arcweft-lang-01.5.1.2-typed-content-root-admission-final-contract.zip,4b9a0303f33744f0504b2ed79a2f61397f0f71ff,binary central directory and relevant entries inspected,26-entry baseline; relevant family/Rust/revision documents recovered; outer hash cross-checked with intake ledger.
repository,crates/arcweft-manifest-model/src/schema.rs,7145b7647137a0ff93e0740c0e758eac59a85d77,relevant full sections read,"ContentRootRef, ContentUnitSpec, visibility and demand are manifest-model owned."
repository,crates/arcweft-launch/src/accepted.rs,ee2ef4f8e1aa0dd3df08c5fe1f2ff884ca638769,full file read,Single SourceBackedManifest and exact content-unit/root/profile source-map projections.
repository,crates/arcweft-project/src/content.rs,134d76a4b06c2bcea85674c09639b5e69ecd522b,full file read,Sans-I/O binary resource and canonical topology transcript owner; safe substrate implemented.
repository,crates/arcweft-project-loader/src/topology/model.rs,26f180d9576f8ad2496cbd4a24e36ee62d56a5c6,full/relevant sections read,"Text/binary payload split, binary overlays, exact resources, Character package and watch inventory."
repository,crates/arcweft-project-loader/src/topology/loader.rs,5bc293a8599be82c4b78c29eb980486a5ae65d71,relevant full sections read,Current transitional @character strip_prefix classification; exact Character/metadata acquisition; atomic freeze gap.
repository,crates/arcweft-character/src/package.rs,edd61682f509b96c9090082be98567fbaa6de0c5,owner header and implementation inspected,Sans-I/O validated .awchar package; manifest-named PNG payloads.
repository,crates/arcweft-lang-syntax/src/ast/items.rs,4fae42888bdfba7c749a1ee667e3ce103d7a9c45,full file read,"Current transitional Item::Source, EntityDeclKind::Content, EntityDeclBody::Content, ContentDeclBody inventory."
repository,crates/arcweft-lang-sema/src/types.rs,0d646e93b0912e75c58ada3f4be396fdef3a3bbb,full file read,Current transitional EntityKind/TypeKind inventory including Source; owner for final inherent classification.
repository,crates/arcweft-lang-hir/src/symbol/identity.rs,6ac5696f8f5c1296dd64f7fcdac7d048b3c7227f,full file read,Revision-bound callable/external/nominal symbol identity and no Source callable owner in final model.
repository,crates/arcweft-lang-hir/src/symbol/table.rs,5b351e5aad198ea819115ce3ddac85dd1140daf5,full/relevant sections read,"Unified deterministic project symbol table, visibility, ambiguity, bounded transaction."
repository,crates/arcweft-id/src/lib.rs,e6660ed1933b02382bc1c7d2d5f3fe25eaac7029,full file read,EntityId/PublicId and retained family inventory; no loader-local duplicate should be introduced.
repository,crates/arcweft-resource-model/src/identity.rs,f3d66f32ec3750af4c951b960af86f2093e1770b,full file read,ResourceDeclarationIdentity = EntityId + PublicId + exact ResourceTypeId.
repository,crates/arcweft-resource-model/src/retained.rs,9f61a57cd227db83896c5f274787f3eff8f4f704,full file read,RetainedIdentityKind/ResolvedRetainedIdentityRef and exact source-aware dependencies.
repository,crates/arcweft-lang-sema/src/project_index.rs,6f496665edfb1ffc2a3c4477bb46006155af14e0,full/relevant sections read,Current ProjectSemanticIndex entities/callables/relations and old ContentRoot relation category.
repository,crates/arcweft-lang-sema/src/project_index/relations.rs,e7e3104aea0776773164826ec64a95d9a078dcf5,full/relevant sections read,Current source/HIR relation producer to replace with manifest-owned typed content facts.
local input,2026-07-22-lang-01.5.1.2.1-content-root-family-source-elimination-reconciliation.md,FD8ADBFB7D171E2BAEC9C1429EED56BA32397B0E4B7D00424ADEB5A3D9814045,full file read,Exact Lang-01.5.1.2.1 request and required output/test constraints.
local input,前提(Sanzentyo-arcweft).txt,CFA897A0AD93DEB92FD454079DF0A789EDBBD40D85C8377324DA703C8AEFE0A1,full file read,Requires latest Arcweft philosophy/structure inspection first.
local input,Rust Skill.txt,1A28F552ADF5EFDE95205BEE8D56590AEB82346C48EBDF3FDBBAFF5DECA33665,full file read to final line,Rust coding/ownership/error/testing/formatting rules applied to API shapes.
