id	variant	attached_kind_and_contextual_grammar	final_payload	scope_owner_and_parent	local_visibility	source_role	recovery_child	empty_missing_malformed	admission	allocation_order	source_freeze
F01	Statement	closed StatementNode family excluding dedicated F02-F15 roots; includes assertion, let/assign/let-else/let-choice/let-scope/let-loop/let-await/receive, return/out/goto/thread/defer/yield/signal/lifetime/wait/on/unsafe/break/continue/expression/proof-call	Statement(StmtId)	owning body scope; nested statement-specific scopes	statement-defined locals; expression statement creates no body tail	ThreadFlowItem[n]/Whole -> Stmt Whole	ErrorStatement or child recovery stays Statement only when outer statement kind remains known	empty N/A; malformed typed statement retains Error children	Flow=yes; Thread=yes	reserve StmtId then its children by accepted statement order	kind/module/liveness, exact whole-site relation, ordinal continuity, no duplicate/substitution
F02	DialogueApplication	DialogueContentApplicationExpression; bracket or colon owner from AW-AH-009.4.2	DialogueApplication(ExprId)	body scope; application/plan owns accepted nested scopes	line-plan locals follow accepted application contract	ThreadFlowItem[n]/Whole -> Expr Whole	accepted dialogue content/application recovery	missing content/terminator remains typed poisoned application	Flow=yes; Thread=yes	reserve source-backed root ExprId before its children/candidates	accepted application source manifest + body relation; legacy SpeakerLine/ContentCall forbidden
F03	Choice	ChoiceStatement	Choice(StmtId)	choice statement scope child of body; candidate/select scopes per choice contract	choice-local option bindings visible only in choice	body ordinal -> Stmt Whole	typed missing id/option/action children or ErrorStatement	empty choice accepted as empty candidate set subject to sema; malformed option poisons	Flow=yes; Thread=yes	Stmt root, choice scope, ordered options/children	source-order candidate list; no string option reconstruction
F04	If	IfStatement with ordinary condition head	If(StmtId)	then and optional else scopes child of body/owning statement	branch locals do not cross siblings	body ordinal -> If Stmt Whole	MissingExpression condition, missing/unclosed branch bodies typed	empty branches valid; missing condition/body poisoned	Flow=yes; Thread=yes	Stmt root, condition ExprId, branch scopes/bodies source order	typed head proves ordinary If; substituted IfLet rejected
F05	IfLet	IfStatement with typed let head	IfLet(StmtId)	pattern scope owns guard and then body; else sibling scope	pattern locals visible to guard/then only	body ordinal -> IfLet Stmt Whole	MissingPattern/Scrutinee/guard/body according to accepted if-let contract	empty then valid; missing scrutinee primary before body	Flow=yes; Thread=yes	Stmt root, pattern, scrutinee, pattern locals, guard, branch bodies	typed head—not text—selects discriminant; exact scope/local freeze
F06	Match	MatchStatement	Match(StmtId)	each arm has distinct scope child of match statement scope	arm pattern locals visible to guard/body of same arm	body ordinal -> Match Stmt Whole	missing scrutinee/arm pattern/body typed; no invented arm ExprId	empty match is recovered/incomplete per grammar, not clean empty	Flow=yes; Thread=yes	Stmt root, scrutinee, arms source order, per-arm scopes	arm identity/order and Scope-owned missing tails/recovery preserved
F07	Loop	LoopStatement	Loop(StmtId)	loop body scope child of statement/body	loop locals scoped to body; label follows statement contract	body ordinal -> Loop Stmt Whole	missing/unclosed body typed	empty loop valid; malformed label/body poisoned	Flow=yes; Thread=yes	Stmt root then body scope/items	standalone loop only; let PAT = loop remains F01
F08	While	WhileStatement	While(StmtId)	loop body scope child of statement/body	body locals not visible in condition or after loop	body ordinal -> While Stmt Whole	MissingExpression condition/body recovery	empty body valid; missing condition poisoned	Flow=yes; Thread=yes	Stmt root, condition, body scope/items	condition/site/kind and ordered body freeze
F09	WhileLet	WhileLetStatement	WhileLet(StmtId)	pattern scope owns guard/body	pattern locals visible to guard/body, not scrutinee/outside	body ordinal -> WhileLet Stmt Whole	MissingPattern/Scrutinee/body typed	empty body valid; missing head components poisoned	Flow=yes; Thread=yes	Stmt root, pattern, scrutinee, locals, guard, body	typed variant/kind and local-order freeze
F10	For	ForStatement	For(StmtId)	loop body scope child of statement/body	pattern locals visible only in body	body ordinal -> For Stmt Whole	MissingPattern/source/body typed; iterator synthetic roles retained	empty body valid; missing source poisoned	Flow=yes; Thread=yes	Stmt root, source, iterator/next synthetic children, pattern locals, body	ForIterator/ForNextValue keys and source order validated
F11	Select	SelectStatement (flow-statement family, distinct from dot Select expression)	Select(StmtId)	one statement scope plus source-ordered branch scopes	branch bindings visible only in own branch	body ordinal -> Select Stmt Whole	typed branch-head/body recovery	empty select is semantic error but retains typed statement; malformed heads poisoned	Flow=yes; Thread=yes	Stmt root, branch heads/scopes/bodies in source order	does not use E13 dot-Select payload; branch identity/order freeze
F12	SourceLocale	SourceLocaleStatement	SourceLocale(StmtId)	nested body scope child of statement/body	ordinary nested locals; locale does not create a local	body ordinal -> Stmt Whole; locale component on Stmt	missing/invalid LocaleTag and missing body typed	empty body valid; invalid locale poisons	Flow=yes; Thread=yes	Stmt root, LocaleTag value, nested body scope/items	LocaleTag canonical value and exact source component; no raw String in final HIR
F13	Scope	ScopeStatement	Scope(StmtId)	named or anonymous scope child of body	locals visible only inside; optional name also ID namespace	body ordinal -> Scope Stmt Whole	missing name only when grammar requires; missing/unclosed body typed	empty scope valid	Flow=yes; Thread=yes	Stmt root, scope ID, optional name, nested items	scope parent/name/source/freeze exact; let PAT = scope remains F01
F14	Include	IncludeStatement	Include(StmtId)	no lexical child scope; executes in current body scope	no local	body ordinal -> Include Stmt Whole; target component on Stmt	missing/wrong-family/ambiguous target typed	empty N/A; malformed target poisoned	Flow=yes; Thread=yes	Stmt root then typed HirIdRef target	accepted project Flow identity resolution; no source text normalization
F15	AwaitWith	AwaitWithStatement	AwaitWith(StmtId)	one scope per pending/ready/error/denied branch	branch pattern locals visible only in branch	body ordinal -> AwaitWith Stmt Whole	missing awaited expr, branch pattern/body, close typed	zero branches semantic error but typed; malformed branch poisoned	Flow=yes; Thread=yes	Stmt root, awaited ExprId, branch patterns/scopes/bodies source order	propagating flag, branch kinds, exact order and child liveness frozen; let binding remains F01
F16	Error	ErrorStatement produced by ordinary current-grammar recovery	Error(StmtId)	current body scope; no invented nested scope	no valid local; recovery children may own error locals only under statement rules	body ordinal -> Error Stmt Whole	ErrorNode/typed issue; no raw source string field	unsupported/malformed item retains lossless attached source but final HIR has typed issue only	Flow=yes; Thread=yes	reserve Error StmtId and typed recovery/source issue	whole site and issue owner frozen; no `Raw(String)` or removed-syntax recognizer
