name,kind,versioned,version,fields,variants,key,order,bound,invariants,references,unknown_fields,duplicate_fields,trailing_bytes
RuntimeTaskSchedulerSnapshotV1,struct,True,1,"[[""version"",""RuntimeTaskSchedulerSnapshotVersion""],[""journal"",""RuntimeTaskJournalSnapshotV1""],[""runtime_tasks"",""RuntimeTaskStateSnapshotV1""],[""pending_events"",""Vec<TaskEventSnapshotV1>""],[""replacement"",""ReplacementStateSnapshotV1""]]",[],"[""journal.active_generation""]",fields above; pending_events sorted by event ordering key,RuntimeSnapshotLimits owner,"[""version exactly 1"",""no adapter transaction may be prepared while snapshotting"",""pending events normalized and unique""]","[""RuntimeTaskJournalSnapshotV1"",""RuntimeTaskStateSnapshotV1"",""TaskEventSnapshotV1"",""ReplacementStateSnapshotV1""]",reject,reject,reject
RuntimeTaskJournalSnapshotV1,struct,True,1,"[[""version"",""RuntimeTaskJournalSnapshotVersion""],[""active_generation"",""GenerationId""],[""generations"",""Vec<RuntimeTaskGenerationSnapshotV1>""]]",[],"[""active_generation""]",generations ascending GenerationId,RuntimeSnapshotLimits owner,"[""exactly one generation row matches active_generation"",""generation keys unique""]","[""RuntimeTaskGenerationSnapshotV1""]",reject,reject,reject
RuntimeTaskGenerationSnapshotV1,struct,True,1,"[[""version"",""RuntimeTaskGenerationSnapshotVersion""],[""generation"",""GenerationId""],[""ordinal_counters"",""Vec<AlwaysStartOrdinalCounterSnapshotV1>""],[""groups"",""Vec<TaskGroupSnapshotV1>""],[""launches"",""Vec<TaskLaunchSnapshotV1>""],[""needs"",""Vec<NeedCellSnapshotV1>""],[""observers"",""Vec<TaskObserverSnapshotV1>""],[""replay"",""TaskReplayStateSnapshotV1""]]",[],"[""generation""]",counters by producer; groups by TaskKey; launches by TaskId; needs by NeedId; observers by ObserverId,RuntimeSnapshotLimits owner,"[""all joins stay within this generation except NeedId identity"",""every cross-reference resolves exactly once""]","[""AlwaysStartOrdinalCounterSnapshotV1"",""TaskGroupSnapshotV1"",""TaskLaunchSnapshotV1"",""NeedCellSnapshotV1"",""TaskObserverSnapshotV1"",""TaskReplayStateSnapshotV1""]",reject,reject,reject
AlwaysStartOrdinalCounterSnapshotV1,struct,True,1,"[[""version"",""AlwaysStartOrdinalCounterSnapshotVersion""],[""producer"",""NeedProducerInstanceKey""],[""next_ordinal"",""TaskLaunchOrdinal""]]",[],"[""producer""]",producer byte order,RuntimeSnapshotLimits owner,"[""next_ordinal is at least 1"",""next_ordinal is strictly greater than every persisted launch ordinal for this producer"",""Join rows have no counter""]",[],reject,reject,reject
TaskGroupSnapshotV1,struct,True,1,"[[""version"",""TaskGroupSnapshotVersion""],[""task_key"",""TaskKey""],[""producer"",""NeedProducerInstanceKey""],[""policy"",""TaskPolicy""],[""launches"",""Vec<TaskLaunchMappingSnapshotV1>""]]",[],"[""task_key""]",launches by ascending ordinal,RuntimeSnapshotLimits owner,"[""TaskKey rederives from generation, producer and policy"",""Join has exactly ordinal 0 and at most one launch"",""AlwaysStart has no ordinal 0 and unique positive ordinals""]","[""TaskLaunchMappingSnapshotV1""]",reject,reject,reject
TaskLaunchMappingSnapshotV1,struct,True,1,"[[""version"",""TaskLaunchMappingSnapshotVersion""],[""ordinal"",""TaskLaunchOrdinal""],[""task_id"",""TaskId""],[""need_id"",""NeedId""]]",[],"[""ordinal""]",ascending ordinal,RuntimeSnapshotLimits owner,"[""TaskId/NeedId rederive from group producer/policy/ordinal"",""task and need rows exist""]",[],reject,reject,reject
TaskLaunchSnapshotV1,struct,True,1,"[[""version"",""TaskLaunchSnapshotVersion""],[""correlation"",""TaskCorrelationSnapshotV1""],[""spec"",""TaskSpecSnapshotV1""],[""lifecycle"",""TaskLifecycleSnapshotV1""],[""last_publication"",""Option<TaskPublicationCursorSnapshotV1>""],[""last_event_digest"",""Option<TaskEventDigest>""],[""host_state"",""Option<HostTaskStateSnapshotV1>""]]",[],"[""correlation.task_id""]",TaskId byte order,RuntimeSnapshotLimits owner,"[""correlation rederives from spec and generation"",""host_state present iff TaskExecution::Host"",""runtime state is stored only in RuntimeTaskStateSnapshotV1""]","[""TaskCorrelationSnapshotV1"",""TaskSpecSnapshotV1"",""TaskLifecycleSnapshotV1"",""TaskPublicationCursorSnapshotV1"",""HostTaskStateSnapshotV1""]",reject,reject,reject
TaskSpecSnapshotV1,struct,True,1,"[[""version"",""TaskSpecSnapshotVersion""],[""producer"",""NeedProducerSpecSnapshotV1""],[""class"",""TaskClass""],[""priority"",""TaskPriority""],[""cancel_scope"",""CancelScopeId""],[""policy"",""TaskPolicy""],[""outcome"",""TaskOutcomeContractSnapshotV1""],[""execution"",""TaskExecutionSnapshotV1""],[""debug"",""TaskDebugMetadataSnapshotV1""]]",[],[],fields above,RuntimeSnapshotLimits owner,"[""exactly one execution row"",""family/execution/policy truth table validates"",""debug is excluded from identity""]","[""NeedProducerSpecSnapshotV1"",""TaskOutcomeContractSnapshotV1"",""TaskExecutionSnapshotV1"",""TaskDebugMetadataSnapshotV1""]",reject,reject,reject
NeedProducerSpecSnapshotV1,struct,True,1,"[[""version"",""NeedProducerSpecSnapshotVersion""],[""family"",""NeedProducerFamily""],[""contract"",""NeedProducerContractDigest""],[""plan"",""TaskPlanSemanticDigest""],[""producer_site"",""u32""],[""payload_type"",""RuntimeTypeSemanticDigest""],[""arguments"",""RuntimeValueDigest""]]",[],[],fields above,RuntimeSnapshotLimits owner,"[""NeedProducerInstanceKey is recomputed; stored key is never authoritative"",""arguments is never RuntimeValueDigest::ZERO as an absence sentinel""]",[],reject,reject,reject
TaskCorrelationSnapshotV1,struct,True,1,"[[""version"",""TaskCorrelationSnapshotVersion""],[""generation"",""GenerationId""],[""producer"",""NeedProducerInstanceKey""],[""policy"",""TaskPolicy""],[""ordinal"",""TaskLaunchOrdinal""],[""need_id"",""NeedId""],[""task_key"",""TaskKey""],[""task_id"",""TaskId""]]",[],[],fields above,RuntimeSnapshotLimits owner,"[""all fixed IDs nonzero"",""Join ordinal exactly 0; AlwaysStart ordinal at least 1"",""all three IDs are rederived and compared""]",[],reject,reject,reject
