reference_kind,reference,owner,bounds_and_duplicate_rule,alias_or_cycle_rule,failure_precedence
Runtime type,AwbcTypeId,runtime_types[id],id < len; declaration constructor validated,nested Tuple/Choice/Record/Variant/NominalRecord type IDs use tri-color DFS,cycle -> RuntimeTypeCycle before any root comparison
Constant,AwbcConstantId,constants[id],id < len; typed constant row,Tuple/Sequence/Record/Variant/Range/Opaque child constants use tri-color DFS,cycle -> ConstantCycle before value validation
Signature,AwbcSignatureId,signatures[id],id < len; all param/result type IDs valid,no signature recursion,bounds error
Function,AwbcFunctionId,functions[id],id < len; signature/frame/block ranges valid,function references may alias; no recursive type authority,alias accepted only when resolved signatures equal where equality required
Frame register,AwbcRegisterId,functions[f].frame_layout -> slots[id],register index < slots.len,one sole register type owner,out-of-bounds before opcode type rule
Pattern,AwbcPatternId,typed_patterns[id],id < len; wrapper expected type valid,Tuple/Record/Sequence/Variant/Whole children tri-color DFS,cycle -> PatternCycle before pattern/root correlation
Instruction,AwbcInstructionId,function block instruction range,range checked_end no overflow; ownership exact,no cross-function instruction alias,range/bounds before typed slot resolution
Block,AwbcBlockId,blocks[id],function.block range ownership and terminator refs,block graph cycles allowed for control flow,not a type cycle
Task plan,AwbcTaskPlanId,task_plans[id],id bounds; signature; argument count equals params,same plan may be referenced many times,alias allowed; every call rechecks actual signature
Effect plan,AwbcEffectPlanId,effect_plans[id],"effect bounds; effect kind Audio; effect.audio Some(command); command bounds; exact slot variant; Arg uses effect signature; Const uses typed constant; duplicate only same (effect,slot) origin",command reuse across effects is allowed and independently resolved; command has no effect back-reference; constant/type graph uses retained tri-color cycle check,effect bounds -> kind/audio presence -> command bounds -> slot/optional presence -> signature/constant bounds -> type resolution -> origin equality
Audio Arg,AwbcAudioArg,owning effect signature params[index],"effect bounds; effect kind Audio; effect.audio Some(command); command bounds; exact slot variant; Arg uses effect signature; Const uses typed constant; duplicate only same (effect,slot) origin",command reuse across effects is allowed and independently resolved; command has no effect back-reference; constant/type graph uses retained tri-color cycle check,effect bounds -> kind/audio presence -> command bounds -> slot/optional presence -> signature/constant bounds -> type resolution -> origin equality
Audio Const,AwbcConstantId,typed constants[id].ty,"effect bounds; effect kind Audio; effect.audio Some(command); command bounds; exact slot variant; Arg uses effect signature; Const uses typed constant; duplicate only same (effect,slot) origin",command reuse across effects is allowed and independently resolved; command has no effect back-reference; constant/type graph uses retained tri-color cycle check,effect bounds -> kind/audio presence -> command bounds -> slot/optional presence -> signature/constant bounds -> type resolution -> origin equality
Stream plan,AwbcStreamPlanId,stream_plans[id],item/error types and transform function valid,references alias allowed,transform signature checked against item/error contract
Source plan,AwbcSourcePlanId,source_plans[id],item/error/open/handler references valid,references alias allowed,handler expected type selected by event kind
Entry signature,AwbcSignatureId,entries[id].signature,entry bounds then signature,target function/routes independently validated,signature/target mismatch before origin comparison
Plan type declaration,RuntimePlanTypeId,RuntimePlan.type_declarations[id],id bounds; declaration resolves in admitted generation,no declaration cycles; checked type nominal traversal bounded separately,unknown/conflicting generation fact before site publication
Expression node,RuntimeIndexPath,RuntimeTypedExpr.nodes,"path starts [0], <=64, exact unique complete set",child grammar from RUNTIME_PLAN_EXPR_RESOLUTION.csv,missing/extra/duplicate before semantic root correlation
Pattern node,RuntimeIndexPath,RuntimeTypedPattern.nodes,same path validation,child grammar from RUNTIME_PLAN_PATTERN_RESOLUTION.csv,missing/extra/duplicate before binding publication
Origin,AwbcTypedOrigin,typed_origins[id],plan_site and awbc_site custom Deserialize; sorted unique by pair,no root/type field and therefore no authorization cycle,duplicate/conflicting origin before pair equality
