phase,additions,migrations,same_stage_deletions,focused_gate
P01,"checked core primitives; nominal field constructor; pattern coordinate grammar",none,"duplicate prototype constructors/helpers","cargo check -p arcweft-core"
P02,"RuntimePlanBuilder::intern_type canonical issuer","core plan construction users","append-only type-ID assumptions","cargo check -p arcweft-core && cargo test -p arcweft-core runtime_plan_type"
P03,"exhaustive expression-type projection into RuntimePlanSemanticFacts","compiler FinalSemanticAnalysis projection","partial/copied expression-type side maps","cargo check -p arcweft-lang-sema -p arcweft-runtime-plan -p arcweft-compiler"
P04,"typed final expr/pattern/flow lowering after interning","arcweft-runtime-plan lowerers","untyped node construction success paths","cargo check -p arcweft-runtime-plan -p arcweft-compiler && cargo test -p arcweft-runtime-plan"
P05,"synthetic typed-coordinate derivation","reduction/agent/assignment/block lowering","runtime-value inferred synthetic typing","cargo test -p arcweft-runtime-plan synthetic_type"
P06,"structural generation projection + nominal rows","compiler generation assembly","non-forgeability claims and friend-crate construction assumptions","cargo check -p arcweft-core -p arcweft-compiler"
P07,"AdmittedRuntimeProduct and same-parent plan/AWBC pair","compiler/core pair consumers","raw self-admission and optional-parent paths","cargo check -p arcweft-core -p arcweft-compiler && cargo test -p arcweft-core runtime_product"
P08,"product checked-value context and nominal-domain inherent methods","checked value consumers","pre-product context/domain issuance","cargo test -p arcweft-core checked_value nominal_record"
P09,"AWBC nominal-record-domain table/builder/wire","AWBC lowering verifier codec VM","spelling-derived or duplicate domain maps","cargo check -p arcweft-core -p arcweft-runtime-plan && cargo test -p arcweft-core awbc_nominal_domain"
P10,"CompilerAcceptedRuntimeProduct operational wrapper","compiler publication and AOT handoff","public operational publication from bare structural product","cargo check -p arcweft-compiler -p arcweft-aot"
P11,"VerifiedBundleRuntimeProduct after container trust verification","bundle loader writer restore input","fact-decoder-as-authority and plan/AWBC-first load","cargo check -p arcweft-bundle -p arcweft-save && cargo test -p arcweft-bundle runtime_generation"
P12,"runtime-driver evidence enum and publication/hot-swap","driver VM executor live swap","bare admitted-product public executor constructors","cargo check -p arcweft-runtime-driver -p arcweft-core && cargo test -p arcweft-runtime-driver"
P13,"restore/replay generation-first evidence path","save snapshot replay AOT cache","raw artifact generation issuance and decode-before-context","cargo check -p arcweft-save -p arcweft-runtime-driver -p arcweft-aot && cargo test -p arcweft-runtime-driver restore replay"
P14,"matrix/docs/generated fixture synchronization","all affected consumers","stale contradictory tests aliases fallback readers","cargo test --workspace --all-features"
P15,"physical deletion and workspace closure",none,"all obsolete prototypes/helpers/readers/fallbacks","cargo fmt --all -- --check && cargo check --workspace --all-targets --all-features && cargo clippy --workspace --all-targets --all-features && cargo test --workspace --all-features"
