variant,disposition,recursion,evidence,rejection
Bool,Copy,none,existing scalar RuntimeValue carrier,
I8,Copy,none,existing scalar RuntimeValue carrier,
I16,Copy,none,existing scalar RuntimeValue carrier,
I32,Copy,none,existing scalar RuntimeValue carrier,
I64,Copy,none,existing scalar RuntimeValue carrier,
I128,Copy,none,existing scalar RuntimeValue carrier,
ISize,Copy,none,existing scalar RuntimeValue carrier,
U8,Copy,none,existing scalar RuntimeValue carrier,
U16,Copy,none,existing scalar RuntimeValue carrier,
U32,Copy,none,existing scalar RuntimeValue carrier,
U64,Copy,none,existing scalar RuntimeValue carrier,
U128,Copy,none,existing scalar RuntimeValue carrier,
USize,Copy,none,existing scalar RuntimeValue carrier,
F32,Copy,none,existing scalar RuntimeValue carrier,
F64,Copy,none,existing scalar RuntimeValue carrier,
Char,Copy,none,existing scalar RuntimeValue carrier,
Duration,Copy,none,existing scalar RuntimeValue carrier,
Unit,Copy,none,existing scalar RuntimeValue carrier,
Never,Copy,none,existing scalar RuntimeValue carrier,
String,SnapshotClone,none,owned current runtime/string/progress snapshot owner,
Bytes,SnapshotClone,none,owned current runtime/string/progress snapshot owner,
TextCluster,SnapshotClone,none,owned current runtime/string/progress snapshot owner,
DisplayText,SnapshotClone,none,owned current runtime/string/progress snapshot owner,
DebugStatePath,SnapshotClone,none,owned current runtime/string/progress snapshot owner,
ObservationFieldPath,SnapshotClone,none,owned current runtime/string/progress snapshot owner,
Progress,SnapshotClone,none,owned current runtime/string/progress snapshot owner,
StageApi,Reject,none,compile-time capability only,FrameLocalValue
LineContext,Reject,none,line activation context,FrameLocalValue
StageActorHandle,Reject,none,affine handle semantics,AffineValue
CueHandle,Reject,none,affine handle semantics,AffineValue
VoiceHandle,Reject,none,affine handle semantics,AffineValue
Handle,Reject,none,affine handle semantics,AffineValue
ThreadHandle,Reject,none,affine handle semantics,AffineValue
Range,Reject,none,current RuntimeValue canonical owner has no range replay/save row,MissingRuntimeSnapshotOwner
IteratorState,Reject,none,stateful/frame-local iterator,FrameLocalValue
Ref,SnapshotClone,do not recurse associated payload type,RuntimeValue::EntityRef(String),
Probe,SnapshotClone,recurse checked probe value type where present,current core RuntimeAgentValue canonical owner,
Predicate,SnapshotClone,recurse checked probe value type where present,current core RuntimeAgentValue canonical owner,
Observation,SnapshotClone,closed DTO children in declaration order,current core Agent DTO snapshot owner; no ResourceTypeRegistry lookup,
