row_class,site_variant,slot,current_table_owner,current_field_path,independent_type_resolution,mandatory_final_change,deliberate_exclusion
direct_awbc_typed_site,RuntimeType,Layout,AwbcProgram.runtime_types,runtime_types[ty],read AwbcRuntimeTypeDeclaration; project to exact RuntimeCheckedType; compare semantic/domain to AdmittedRuntimeGeneration,replace Vec<AwbcRuntimeType> with Vec<AwbcRuntimeTypeDeclaration>; declaration fields private; no default,
direct_awbc_typed_site,Constant,Value,AwbcProgram.constants,constants[c],read AwbcTypedConstant.ty then validate value recursively against that declaration,"replace AwbcConstant row with AwbcTypedConstant { value, ty }",
direct_awbc_typed_site,Signature,Parameter(parameter:u32),AwbcProgram.signatures,signatures[s].params[i],bounds s/i; return referenced AwbcTypeId declaration,none,
direct_awbc_typed_site,Signature,Result,AwbcProgram.signatures,signatures[s].result,bounds; absence is exact Unit/no-value ABI and emits no result site,none,
direct_awbc_typed_site,FunctionFrame,Register(register:AwbcRegisterId),AwbcProgram.functions + frame_layouts,functions[function].frame_layout -> frame_layouts[id].slots[register].ty,function/frame/register bounds; frame layout belongs to function; slot.ty resolves one AwbcRuntimeTypeDeclaration,"none; coordinate retains function plus register, never a bare frame-slot ordinal",
indirect_function_frame_signature_invariant,Frame,Slot(register:AwbcRegisterId),AwbcProgram.frame_layouts,frame_layouts[f].slots[register],function -> frame_layout; register index -> slot.ty; role/scope validated,none,
indirect_function_frame_signature_invariant,Function,Parameter(parameter:u32),AwbcProgram.functions,functions[f].signature -> signatures.params,function/signature/frame parameter prefix equality,none,
indirect_function_frame_signature_invariant,Function,Result,AwbcProgram.functions,functions[f].signature -> signatures.result,function signature result; Return/Call destinations must agree,none,
indirect_function_frame_signature_invariant,Function,Register(register:AwbcRegisterId),AwbcProgram.functions,functions[f].frame_layout -> frame slots,single register-type authority for every instruction operand/destination,none,
deliberate_exclusion,Instruction,Nop.NoTypedSlot,AwbcInstruction,Nop,structural/reference checks only,none,no RuntimeValue type field for this variant
direct_awbc_typed_site,Instruction,LoadConst.Destination,AwbcInstruction,LoadConst.dst,frame(dst),MakeFunction/ApplyFunction remain deliberate non-root operational Function values; all other fields need no new slot ordinal because the enum variant names the field,
direct_awbc_typed_site,Instruction,LoadConst.Constant,AwbcInstruction,LoadConst.constant,typed constant type,MakeFunction/ApplyFunction remain deliberate non-root operational Function values; all other fields need no new slot ordinal because the enum variant names the field,
direct_awbc_typed_site,Instruction,Move.Destination,AwbcInstruction,Move.dst,frame(dst),MakeFunction/ApplyFunction remain deliberate non-root operational Function values; all other fields need no new slot ordinal because the enum variant names the field,
direct_awbc_typed_site,Instruction,Move.Source,AwbcInstruction,Move.src,frame(src),MakeFunction/ApplyFunction remain deliberate non-root operational Function values; all other fields need no new slot ordinal because the enum variant names the field,
direct_awbc_typed_site,Instruction,Clear.Register,AwbcInstruction,Clear.register,frame(register),MakeFunction/ApplyFunction remain deliberate non-root operational Function values; all other fields need no new slot ordinal because the enum variant names the field,
deliberate_exclusion,Instruction,EnterScope.NoTypedSlot,AwbcInstruction,EnterScope,structural/reference checks only,none,no RuntimeValue type field for this variant
deliberate_exclusion,Instruction,ExitScope.NoTypedSlot,AwbcInstruction,ExitScope,structural/reference checks only,none,no RuntimeValue type field for this variant
direct_awbc_typed_site,Instruction,BindPattern.PatternExpected,AwbcInstruction,BindPattern.pattern,typed pattern expected,MakeFunction/ApplyFunction remain deliberate non-root operational Function values; all other fields need no new slot ordinal because the enum variant names the field,
direct_awbc_typed_site,Instruction,BindPattern.Value,AwbcInstruction,BindPattern.value,frame(value),MakeFunction/ApplyFunction remain deliberate non-root operational Function values; all other fields need no new slot ordinal because the enum variant names the field,
direct_awbc_typed_site,Instruction,TestPattern.DestinationBool,AwbcInstruction,TestPattern.dst,frame(dst) must Bool,MakeFunction/ApplyFunction remain deliberate non-root operational Function values; all other fields need no new slot ordinal because the enum variant names the field,
direct_awbc_typed_site,Instruction,TestPattern.PatternExpected,AwbcInstruction,TestPattern.pattern,typed pattern expected,MakeFunction/ApplyFunction remain deliberate non-root operational Function values; all other fields need no new slot ordinal because the enum variant names the field,
direct_awbc_typed_site,Instruction,TestPattern.Value,AwbcInstruction,TestPattern.value,frame(value),MakeFunction/ApplyFunction remain deliberate non-root operational Function values; all other fields need no new slot ordinal because the enum variant names the field,
direct_awbc_typed_site,Instruction,MakeTuple.Destination,AwbcInstruction,MakeTuple.dst,frame(dst) tuple,MakeFunction/ApplyFunction remain deliberate non-root operational Function values; all other fields need no new slot ordinal because the enum variant names the field,
direct_awbc_typed_site,Instruction,MakeTuple.Item(item:u32),AwbcInstruction,MakeTuple.items[i],frame(items[i]),MakeFunction/ApplyFunction remain deliberate non-root operational Function values; all other fields need no new slot ordinal because the enum variant names the field,
direct_awbc_typed_site,Instruction,MakeSequence.Destination,AwbcInstruction,MakeSequence.dst,frame(dst) sequence,MakeFunction/ApplyFunction remain deliberate non-root operational Function values; all other fields need no new slot ordinal because the enum variant names the field,
direct_awbc_typed_site,Instruction,MakeSequence.Item(item:u32),AwbcInstruction,MakeSequence.items[i],frame(items[i]),MakeFunction/ApplyFunction remain deliberate non-root operational Function values; all other fields need no new slot ordinal because the enum variant names the field,
direct_awbc_typed_site,Instruction,RepeatSequence.Destination,AwbcInstruction,RepeatSequence.dst,frame(dst) sequence,MakeFunction/ApplyFunction remain deliberate non-root operational Function values; all other fields need no new slot ordinal because the enum variant names the field,
direct_awbc_typed_site,Instruction,RepeatSequence.Value,AwbcInstruction,RepeatSequence.value,frame(value) item,MakeFunction/ApplyFunction remain deliberate non-root operational Function values; all other fields need no new slot ordinal because the enum variant names the field,
direct_awbc_typed_site,Instruction,RepeatSequence.Length,AwbcInstruction,RepeatSequence.len,frame(len) unsigned,MakeFunction/ApplyFunction remain deliberate non-root operational Function values; all other fields need no new slot ordinal because the enum variant names the field,
direct_awbc_typed_site,Instruction,SequenceLen.Destination,AwbcInstruction,SequenceLen.dst,frame(dst) unsigned,MakeFunction/ApplyFunction remain deliberate non-root operational Function values; all other fields need no new slot ordinal because the enum variant names the field,
direct_awbc_typed_site,Instruction,SequenceLen.Sequence,AwbcInstruction,SequenceLen.sequence,frame(sequence),MakeFunction/ApplyFunction remain deliberate non-root operational Function values; all other fields need no new slot ordinal because the enum variant names the field,
direct_awbc_typed_site,Instruction,SequenceGet.Destination,AwbcInstruction,SequenceGet.dst,frame(dst) item,MakeFunction/ApplyFunction remain deliberate non-root operational Function values; all other fields need no new slot ordinal because the enum variant names the field,
direct_awbc_typed_site,Instruction,SequenceGet.Sequence,AwbcInstruction,SequenceGet.sequence,frame(sequence),MakeFunction/ApplyFunction remain deliberate non-root operational Function values; all other fields need no new slot ordinal because the enum variant names the field,
direct_awbc_typed_site,Instruction,SequenceGet.Index,AwbcInstruction,SequenceGet.index,frame(index) unsigned,MakeFunction/ApplyFunction remain deliberate non-root operational Function values; all other fields need no new slot ordinal because the enum variant names the field,
direct_awbc_typed_site,Instruction,SequenceSlice.Destination,AwbcInstruction,SequenceSlice.dst,frame(dst) sequence,MakeFunction/ApplyFunction remain deliberate non-root operational Function values; all other fields need no new slot ordinal because the enum variant names the field,
direct_awbc_typed_site,Instruction,SequenceSlice.Sequence,AwbcInstruction,SequenceSlice.sequence,frame(sequence),MakeFunction/ApplyFunction remain deliberate non-root operational Function values; all other fields need no new slot ordinal because the enum variant names the field,
direct_awbc_typed_site,Instruction,SequenceSlice.Start,AwbcInstruction,SequenceSlice.start,frame(start) unsigned,MakeFunction/ApplyFunction remain deliberate non-root operational Function values; all other fields need no new slot ordinal because the enum variant names the field,
direct_awbc_typed_site,Instruction,SequencePush.Sequence,AwbcInstruction,SequencePush.sequence,frame(sequence),MakeFunction/ApplyFunction remain deliberate non-root operational Function values; all other fields need no new slot ordinal because the enum variant names the field,
direct_awbc_typed_site,Instruction,SequencePush.Value,AwbcInstruction,SequencePush.value,frame(value) item,MakeFunction/ApplyFunction remain deliberate non-root operational Function values; all other fields need no new slot ordinal because the enum variant names the field,
direct_awbc_typed_site,Instruction,MakeRecord.Destination,AwbcInstruction,MakeRecord.dst,frame(dst),MakeFunction/ApplyFunction remain deliberate non-root operational Function values; all other fields need no new slot ordinal because the enum variant names the field,
direct_awbc_typed_site,Instruction,MakeRecord.DeclaredType,AwbcInstruction,MakeRecord.ty,runtime type declaration,MakeFunction/ApplyFunction remain deliberate non-root operational Function values; all other fields need no new slot ordinal because the enum variant names the field,
direct_awbc_typed_site,Instruction,MakeRecord.Field(field:u32),AwbcInstruction,MakeRecord.fields[i],frame(fields[i]); field_names[i] resolves descriptor field,MakeFunction/ApplyFunction remain deliberate non-root operational Function values; all other fields need no new slot ordinal because the enum variant names the field,
