id,request_line,requirement,contract_artifact,closure,status
REQ-0001,20,"This is a design-only request. It must not return production code, a patch, an",FINAL_CONTRACT.md and REQUEST_TRACEABILITY.csv,normatively retained and resolved by the single-authority graph,CLOSED
REQ-0002,29,- one serialized `RuntimeGenerationContractDeclaration` shared by raw,ADMISSION_AND_CONSTRUCTION_STATE_MACHINE.md,pair admission yields one admitted generation; failure is atomic,CLOSED
REQ-0003,31,- non-circular producer payload roots and exact derived-versus-claimed nominal,PRODUCER_CONSUMER_DELETION_INVENTORY.csv,exact owner/caller migration followed by bypass deletion,CLOSED
REQ-0004,33,- one non-Serde `AdmittedRuntimeGeneration` aggregate reused by admitted plan,SERDE_AND_WIRE_BOUNDARY.md,raw assertions only on wire; re-admission required; no admitted-handle serde,CLOSED
REQ-0005,35,- standalone AWBC admission from its complete embedded generation contract;,ADMISSION_AND_CONSTRUCTION_STATE_MACHINE.md,pair admission yields one admitted generation; failure is atomic,CLOSED
REQ-0006,36,- raw plans/programs remain untrusted quarantine and operational publication,FINAL_CONTRACT.md and REQUEST_TRACEABILITY.csv,normatively retained and resolved by the single-authority graph,CLOSED
REQ-0007,38,- `RuntimeGenerationIdentity` is the BLAKE3 digest of the canonical contract,CANONICAL_DIGEST_GRAMMAR.md,"exact domain-separated, acyclic v1 framing and vectors",CLOSED
REQ-0008,40,"- CharacterDialogue uses the exact `std.character_dialogue` producer, derived",PRODUCER_CONSUMER_DELETION_INVENTORY.csv,exact owner/caller migration followed by bypass deletion,CLOSED
REQ-0009,43,- producer-ID lookup returns a non-exclusive admitted-shape view rather than a,PRODUCER_CONSUMER_DELETION_INVENTORY.csv,exact owner/caller migration followed by bypass deletion,CLOSED
REQ-0010,45,- `RuntimeNominalRecordValue::try_from_accepted_layout` remains crate-private;,FINAL_CONTRACT.md and REQUEST_TRACEABILITY.csv,normatively retained and resolved by the single-authority graph,CLOSED
REQ-0011,46,- all A1-A3 record carrier/layout/field-ID results and the accepted exact,FINAL_CONTRACT.md and REQUEST_TRACEABILITY.csv,normatively retained and resolved by the single-authority graph,CLOSED
REQ-0012,48,"- no `Dynamic`, source-name reconstruction, copied operational side table,",API_AND_TYPE_SHAPES.md,non-Serde generation/role/producer-scoped construction capability,CLOSED
REQ-0013,104,1. Define the canonical `CharacterCatalog` digest owner and transcript. Pin,CANONICAL_DIGEST_GRAMMAR.md,"exact domain-separated, acyclic v1 framing and vectors",CLOSED
