byte,hex,name,class,status
0,0x00,Nop,instruction,implemented
1,0x01,LoadConst,instruction,implemented
2,0x02,Move,instruction,implemented
3,0x03,Clear,instruction,implemented
4,0x04,EnterScope,instruction,implemented
5,0x05,ExitScope,instruction,implemented
6,0x06,BindPattern,instruction,implemented
7,0x07,TestPattern,instruction,implemented
8,0x08,MakeTuple,instruction,implemented
9,0x09,MakeSequence,instruction,implemented
10,0x0a,RepeatSequence,instruction,implemented
11,0x0b,SequenceLen,instruction,implemented
12,0x0c,SequenceGet,instruction,implemented
13,0x0d,SequenceSlice,instruction,implemented
14,0x0e,SequencePush,instruction,implemented
15,0x0f,MakeRecord,instruction,implemented
16,0x10,MakeVariant,instruction,implemented
17,0x11,ProjectTuple,instruction,implemented
18,0x12,ProjectRecord,instruction,implemented
19,0x13,ProjectField,instruction,implemented
20,0x14,Unary,instruction,implemented
21,0x15,Binary,instruction,implemented
22,0x16,CallPureHelper,instruction,implemented
23,0x17,CallIntrinsic,instruction,implemented
24,0x18,EnsureContent,instruction,implemented
25,0x19,EmitEffect,instruction,implemented
26,0x1a,StartTask,instruction,implemented
27,0x1b,SpawnFiber,instruction,implemented
28,0x1c,StreamYield,instruction,implemented
29,0x1d,StreamClose,instruction,implemented
30,0x1e,NeedTimeout,instruction,allocated_pending_feature_cut
31,0x1f,Drop,instruction,implemented
32,0x20,CommitDialogueResult,instruction,allocated_pending_feature_cut
33,0x21,AssignRecordField,instruction,implemented
34,0x22,CallTraitMethod,instruction,implemented
35,0x23,RegisterCleanup,instruction,implemented
36,0x24,CancelCleanup,instruction,implemented
37,0x25,MakeFunction,instruction,implemented
38,0x26,ApplyFunction,instruction,implemented
39,0x27,MakeAgent,instruction,implemented
40,0x28,MakeReductionUnchanged,instruction,implemented
41,0x29,MakeNeedHandle,instruction,allocated_pending_feature_cut
42,0x2a,CopyValue,instruction,allocated_pending_feature_cut
43,0x2b,ExecuteLineOperation,instruction,allocated_pending_feature_cut
44,0x2c,OpenStream,instruction,allocated_pending_feature_cut
45,0x2d,FinishStream,instruction,allocated_pending_feature_cut
46,0x2e,ApplyExternalStreamGroup,instruction,allocated_pending_feature_cut
128,0x80,Jump,terminator,implemented
129,0x81,Branch,terminator,implemented
130,0x82,Match,terminator,implemented
131,0x83,CallFunction,terminator,implemented
132,0x84,GotoStatic,terminator,implemented
133,0x85,GotoDynamic,terminator,implemented
134,0x86,Dialogue,terminator,implemented
135,0x87,Choice,terminator,implemented
136,0x88,Await,terminator,implemented
137,0x89,AwaitMany,terminator,implemented
138,0x8a,HostCall,terminator,implemented
139,0x8b,Return,terminator,implemented
140,0x8c,Trap,terminator,implemented
141,0x8d,BudgetYield,terminator,implemented
142,0x8e,Unreachable,terminator,implemented
143,0x8f,NextStream,terminator,allocated_pending_feature_cut
144,0x90,YieldStream,terminator,allocated_pending_feature_cut
