row_id	category	final_variant_or_record	allocation_key	parent_child_roles_and_ordinals	scope_and_local_visibility	known_family_vs_generic_recovery	omitted_tail_missing_tail_missing_operand	clean_query	poisoned_query	stale_query	foreign_query	synthetic_query	rolled_back_query	limits_charged	exact_boundary_assertion	one_over_rollback_assertion	test_ids
E01	expression	Unit	(SyntaxNodeId,HirIdKind::Expr) -> ExprId	none	inherit	known Unit; generic Error	not applicable	accepted expr_source_site => Ok(Some(Span|Insertion)); clean slot state where applicable	accepted expr_source_site => Ok(Some(Span|Insertion)); slot poison retains typed issue	project/source lookup rejects stale generation or revision before module query; no range	expr_source_site => Err(IdResolveError::WrongModule); no range	expr_source_site => Ok(Some(Insertion)); typed SyntheticKey role/ordinal retained	transaction publishes no public ID; committed module has no slot/component/diagnostic/candidate/result	HIR expr slot	all preflight charges pass; one transaction commits IDs, source rows, scopes, diagnostics and results	preflight/checked allocation fails atomically; no prefix/truncation/replay/leak	T-E01; T-Q-01; T-RB-01; none
E02	expression	Literal	(SyntaxNodeId,HirIdKind::Expr) -> ExprId	literal components	inherit	family-specific poisoned literal; generic Error	missing body => family poison	accepted expr_source_site => Ok(Some(Span|Insertion)); clean slot state where applicable	accepted expr_source_site => Ok(Some(Span|Insertion)); slot poison retains typed issue	project/source lookup rejects stale generation or revision before module query; no range	expr_source_site => Err(IdResolveError::WrongModule); no range	expr_source_site => Ok(Some(Insertion)); typed SyntheticKey role/ordinal retained	transaction publishes no public ID; committed module has no slot/component/diagnostic/candidate/result	HIR expr + literal digit budget	all preflight charges pass; one transaction commits IDs, source rows, scopes, diagnostics and results	preflight/checked allocation fails atomically; no prefix/truncation/replay/leak	T-E02; T-Q-02; T-RB-02; literal family
E03	expression	EntityReference	(SyntaxNodeId,HirIdKind::Expr) -> ExprId	ID components	inherit	HirIdRef poison; generic Error	missing ID body => ID poison	accepted expr_source_site => Ok(Some(Span|Insertion)); clean slot state where applicable	accepted expr_source_site => Ok(Some(Span|Insertion)); slot poison retains typed issue	project/source lookup rejects stale generation or revision before module query; no range	expr_source_site => Err(IdResolveError::WrongModule); no range	expr_source_site => Ok(Some(Insertion)); typed SyntheticKey role/ordinal retained	transaction publishes no public ID; committed module has no slot/component/diagnostic/candidate/result	HIR expr	all preflight charges pass; one transaction commits IDs, source rows, scopes, diagnostics and results	preflight/checked allocation fails atomically; no prefix/truncation/replay/leak	T-E03; T-Q-03; T-RB-03; ID ref
E04	expression	LifetimePath	(SyntaxNodeId,HirIdKind::Expr) -> ExprId	RegistryScope; RegistryKeySegment[n]; OptionalMarker	inherit	registry poison; generic Error	missing scope => registry poison	accepted expr_source_site => Ok(Some(Span|Insertion)); clean slot state where applicable	accepted expr_source_site => Ok(Some(Span|Insertion)); slot poison retains typed issue	project/source lookup rejects stale generation or revision before module query; no range	expr_source_site => Err(IdResolveError::WrongModule); no range	expr_source_site => Ok(Some(Insertion)); typed SyntheticKey role/ordinal retained	transaction publishes no public ID; committed module has no slot/component/diagnostic/candidate/result	HIR expr	all preflight charges pass; one transaction commits IDs, source rows, scopes, diagnostics and results	preflight/checked allocation fails atomically; no prefix/truncation/replay/leak	T-E04; T-Q-04; T-RB-04; lifetime registry
E05	expression	Path	(SyntaxNodeId,HirIdKind::Expr) -> ExprId	PathRoot; PathSegment[n]	inherit	path poison; generic Error	missing segment => path poison	accepted expr_source_site => Ok(Some(Span|Insertion)); clean slot state where applicable	accepted expr_source_site => Ok(Some(Span|Insertion)); slot poison retains typed issue	project/source lookup rejects stale generation or revision before module query; no range	expr_source_site => Err(IdResolveError::WrongModule); no range	expr_source_site => Ok(Some(Insertion)); typed SyntheticKey role/ordinal retained	transaction publishes no public ID; committed module has no slot/component/diagnostic/candidate/result	HIR expr/path segments	all preflight charges pass; one transaction commits IDs, source rows, scopes, diagnostics and results	preflight/checked allocation fails atomically; no prefix/truncation/replay/leak	T-E05; T-Q-05; T-RB-05; path roots
E06	expression	ShortVariant	(SyntaxNodeId,HirIdKind::Expr) -> ExprId	ShortVariantName	inherit	invalid name poison; generic Error	missing name => name poison	accepted expr_source_site => Ok(Some(Span|Insertion)); clean slot state where applicable	accepted expr_source_site => Ok(Some(Span|Insertion)); slot poison retains typed issue	project/source lookup rejects stale generation or revision before module query; no range	expr_source_site => Err(IdResolveError::WrongModule); no range	expr_source_site => Ok(Some(Insertion)); typed SyntheticKey role/ordinal retained	transaction publishes no public ID; committed module has no slot/component/diagnostic/candidate/result	HIR expr	all preflight charges pass; one transaction commits IDs, source rows, scopes, diagnostics and results	preflight/checked allocation fails atomically; no prefix/truncation/replay/leak	T-E06; T-Q-06; T-RB-06; short variant
E07	expression	Placeholder	(SyntaxNodeId,HirIdKind::Expr) -> ExprId	PlaceholderMarker	inherit	known placeholder poison; generic Error	missing marker => Error	accepted expr_source_site => Ok(Some(Span|Insertion)); clean slot state where applicable	accepted expr_source_site => Ok(Some(Span|Insertion)); slot poison retains typed issue	project/source lookup rejects stale generation or revision before module query; no range	expr_source_site => Err(IdResolveError::WrongModule); no range	expr_source_site => Ok(Some(Insertion)); typed SyntheticKey role/ordinal retained	transaction publishes no public ID; committed module has no slot/component/diagnostic/candidate/result	HIR expr	all preflight charges pass; one transaction commits IDs, source rows, scopes, diagnostics and results	preflight/checked allocation fails atomically; no prefix/truncation/replay/leak	T-E07; T-Q-07; T-RB-07; both meanings
E08	expression	Tuple	(SyntaxNodeId,HirIdKind::Expr) -> ExprId	Element[n]	inherit	typed Tuple poison; generic Error	missing element => RecoveryOperand[n]	accepted expr_source_site => Ok(Some(Span|Insertion)); clean slot state where applicable	accepted expr_source_site => Ok(Some(Span|Insertion)); slot poison retains typed issue	project/source lookup rejects stale generation or revision before module query; no range	expr_source_site => Err(IdResolveError::WrongModule); no range	expr_source_site => Ok(Some(Insertion)); typed SyntheticKey role/ordinal retained	transaction publishes no public ID; committed module has no slot/component/diagnostic/candidate/result	HIR expr + children	all preflight charges pass; one transaction commits IDs, source rows, scopes, diagnostics and results	preflight/checked allocation fails atomically; no prefix/truncation/replay/leak	T-E08; T-Q-08; T-RB-08; tuple
E09	expression	BracketSequence	(SyntaxNodeId,HirIdKind::Expr) -> ExprId	Element[n]	inherit	typed sequence poison; generic Error	missing element => RecoveryOperand[n]	accepted expr_source_site => Ok(Some(Span|Insertion)); clean slot state where applicable	accepted expr_source_site => Ok(Some(Span|Insertion)); slot poison retains typed issue	project/source lookup rejects stale generation or revision before module query; no range	expr_source_site => Err(IdResolveError::WrongModule); no range	expr_source_site => Ok(Some(Insertion)); typed SyntheticKey role/ordinal retained	transaction publishes no public ID; committed module has no slot/component/diagnostic/candidate/result	HIR expr + children	all preflight charges pass; one transaction commits IDs, source rows, scopes, diagnostics and results	preflight/checked allocation fails atomically; no prefix/truncation/replay/leak	T-E09; T-Q-09; T-RB-09; bracket sequence
E10	expression	NumericBracketSequence	(SyntaxNodeId,HirIdKind::Expr) -> ExprId	NumericElement[n]; NumericCommonSuffix	inherit	typed sequence poison with MissingFinalElement/InvalidElement/ConflictingSuffix	missing final => MissingFinalElement { ordinal }	accepted expr_source_site => Ok(Some(Span|Insertion)); clean slot state where applicable	accepted expr_source_site => Ok(Some(Span|Insertion)); slot poison retains typed issue	project/source lookup rejects stale generation or revision before module query; no range	expr_source_site => Err(IdResolveError::WrongModule); no range	expr_source_site => Ok(Some(Insertion)); typed SyntheticKey role/ordinal retained	transaction publishes no public ID; committed module has no slot/component/diagnostic/candidate/result	leaf element/digit + HIR expr	all preflight charges pass; one transaction commits IDs, source rows, scopes, diagnostics and results	preflight/checked allocation fails atomically; no prefix/truncation/replay/leak	T-E10; T-Q-10; T-RB-10; compact sequence
