id,layer,path,surface,current_state,final_decision,gate,evidence
CVRS-INV-00001,core value path,crates/arcweft-core/src/value/ownership/path.rs,RuntimeValuePathSegment::TupleElement,existing; tuple/anonymous tuple physical edge,canonical tag 0; payload u32; human index:u32; non-human index:u32,P3/P4,RUNTIME_VALUE_PATH_SEGMENTS.csv
CVRS-INV-00002,core value path,crates/arcweft-core/src/value/ownership/path.rs,RuntimeValuePathSegment::SequenceElement,existing; sequence/bytes physical edge,canonical tag 1; payload u64; human index:canonical decimal string; non-human index:u64,P3/P4,RUNTIME_VALUE_PATH_SEGMENTS.csv
CVRS-INV-00003,core value path,crates/arcweft-core/src/value/ownership/path.rs,RuntimeValuePathSegment::TupleColumn,existing; column ownership edge,canonical tag 2; payload u32; human index:u32; non-human index:u32,P3/P4,RUNTIME_VALUE_PATH_SEGMENTS.csv
CVRS-INV-00004,core value path,crates/arcweft-core/src/value/ownership/path.rs,RuntimeValuePathSegment::RecordField,existing; anonymous record field,canonical tag 3; payload RuntimeRecordFieldId; human field:RuntimeRecordFieldId; non-human field:RuntimeRecordFieldId,P3/P4,RUNTIME_VALUE_PATH_SEGMENTS.csv
CVRS-INV-00005,core value path,crates/arcweft-core/src/value/ownership/path.rs,RuntimeValuePathSegment::RecordColumn,existing; record-column edge,canonical tag 4; payload RuntimeRecordFieldId; human field:RuntimeRecordFieldId; non-human field:RuntimeRecordFieldId,P3/P4,RUNTIME_VALUE_PATH_SEGMENTS.csv
CVRS-INV-00006,core value path,crates/arcweft-core/src/value/ownership/path.rs,RuntimeValuePathSegment::NominalRecordField,existing; nominal defining-order field,canonical tag 5; payload RuntimeRecordFieldId; human field:RuntimeRecordFieldId; non-human field:RuntimeRecordFieldId,P3/P4,RUNTIME_VALUE_PATH_SEGMENTS.csv
CVRS-INV-00007,core value path,crates/arcweft-core/src/value/ownership/path.rs,RuntimeValuePathSegment::FunctionCapture,existing; affine capture edge,canonical tag 6; payload RuntimeCaptureSlotId; human capture:RuntimeCaptureSlotId; non-human capture:RuntimeCaptureSlotId,P3/P4,RUNTIME_VALUE_PATH_SEGMENTS.csv
CVRS-INV-00008,core value path,crates/arcweft-core/src/value/ownership/path.rs,RuntimeValuePathSegment::VariantPayload,existing; nominal/Option/Result physical payload,canonical tag 7; payload none; human no payload fields; non-human no payload fields,P3/P4,RUNTIME_VALUE_PATH_SEGMENTS.csv
CVRS-INV-00009,core value path,crates/arcweft-core/src/value/ownership/path.rs,RuntimeValuePathSegment::IteratorRemainder,existing; affine iterator remainder,canonical tag 8; payload u64; human index:canonical decimal string; non-human index:u64,P3/P4,RUNTIME_VALUE_PATH_SEGMENTS.csv
CVRS-INV-00010,core value path,crates/arcweft-core/src/value/ownership/path.rs,RuntimeValuePathSegment::IteratorWitnessState,existing; affine iterator evidence,canonical tag 9; payload none; human no payload fields; non-human no payload fields,P3/P4,RUNTIME_VALUE_PATH_SEGMENTS.csv
CVRS-INV-00011,core value path,crates/arcweft-core/src/value/ownership/path.rs,RuntimeValuePathSegment::OpaquePayload,new; sole opaque physical payload edge,canonical tag 10; payload none; human no payload fields; non-human no payload fields,P3/P4,RUNTIME_VALUE_PATH_SEGMENTS.csv
