id	owner	identity_construction	parent	bindings	visibility	source_origin	allocation_order	failure_and_poison
SL01	module root	existing module ScopeId	database/module root	none	all top-level declarations	module source owner	reserved before item lowering	wrong module/stale input aborts transaction
SL02	Flow callable	source-backed ScopeId keyed by Flow Item syntax identity	module root	generic semantic bindings and parameter locals	all contracts and body resolve outer parameters through this parent	Scope/Whole = Flow item whole	reserve immediately after ItemId	wrong owner/kind/parent is invariant failure
SL03	requires phase	SyntheticOwner::Item(flow ItemId), ContractRequiresScope, ordinal 0	Flow callable	no clause-to-clause authored local publication	requires, invariant, assume, reads, effects, no_effect, modifies, decreases	Scope/SyntheticOrigin = first applicable clause keyword or signature end when empty	after callable scope	one per Flow; descendant and Scope limits preflight
SL04	ensures phase	SyntheticOwner::Item(flow ItemId), ContractEnsuresScope, ordinal 0	Flow callable	optional synthetic result local only	ensures condition rows	Scope/SyntheticOrigin = first ensures keyword or signature end when empty	after requires scope	one per Flow; no result for no_effect
SL05	Flow body	source-backed ScopeId keyed by FlowBody syntax identity	Flow callable	body locals and nested statement roots	body items only; contract-only locals never leak	Scope/Whole/Open/Close from FlowBody	after contract scopes	missing body still reserves stable body scope with Body insertion origin
SL06	ThreadExpression body	source-backed ScopeId keyed by ThreadExpression body syntax identity	thread expression's enclosing expression scope	thread-body locals	its sixteen body item families	ThreadBody Whole/Open/Close	after Thread root ExprId	empty valid; no tail
SL07	nested branch/body scope	existing accepted statement/expression scope owner	nearest owning statement/expression/body scope	locals created by that construct	construct-specific descendants only	child Stmt/Expr/Scope source query	per item lowering contract	substitution/foreign parent rejects before commit
SL08	parameter local	existing LocalId; origin Parameter/PatternBinding	Flow callable	from completion of its parameter pattern through all later parameters/contracts/body	not visible in earlier parameter type/pattern; visible to all contract phases/body after group completes	Local Whole/Name/Pattern/Type	parameter order then pattern preorder	reserved spelling result rejected; duplicate-pattern rules retained
SL09	postcondition result local	SyntheticOwner::Scope(ensures scope), PostconditionResult, ordinal 0	ContractEnsures	only ensures expressions	not visible to no_effect or any other family/body	Local/SyntheticOrigin = signature-end insertion	after all parameter locals, before body locals	exists iff at least one Ensures; SemanticUnit or Authored(TypeId)
SL10	body binding local	existing statement/pattern owner and LocalGeneration	current body or nested scope	normal lexical range after binding	never visible outside owning scope	child Local source roles	body source order; pattern preorder	child transaction rollback with parent Flow
SL11	if-let/while-let/for/match pattern local	accepted pattern owner	construct pattern/arm/loop scope	guard/body of same construct	not scrutinee, sibling branch, or outer continuation	child Pattern/Local source queries	pattern preorder after scrutinee owner reserved as required by construct	exact scope-parent and local slice freeze
SL12	LocalGeneration	existing module allocator per normalized spelling	N/A	identity separation for repeated spelling	N/A	not serialized; source lives on LocalId	module deterministic source order: parameter locals, result, body locals	rollback restores generation ledger; retry reuses same generation
