subtest_id	parent_test_id	covers_row	owner_kind	assertion	exact_boundary	one_over_or_negative	status
T-Q-01	T-SOURCE-01	E01	ExprId	query every applicable role/ordinal for Unit; assert clean, poison, optional, insertion, stale and foreign outcomes	all declared ordinals/components round-trip once	inapplicable role/ordinal one-over returns typed error; no vector fallback	DECLARED_NAMED_SUBTEST
T-RB-01	T-ROLLBACK-01	E01	ExprId	force the row-specific hard allocation/limit failure for Unit	all preflight charges pass; one transaction commits IDs, source rows, scopes, diagnostics and results	preflight/checked allocation fails atomically; no prefix/truncation/replay/leak	DECLARED_NAMED_SUBTEST
T-Q-02	T-SOURCE-01	E02	ExprId	query every applicable role/ordinal for Literal; assert clean, poison, optional, insertion, stale and foreign outcomes	all declared ordinals/components round-trip once	inapplicable role/ordinal one-over returns typed error; no vector fallback	DECLARED_NAMED_SUBTEST
T-RB-02	T-ROLLBACK-01	E02	ExprId	force the row-specific hard allocation/limit failure for Literal	every exact leaf/source limit preflights; one transaction commits ExprId, source rows and canonical payload	each one-over returns exact HirLimitError and publishes no ExprId/source/diagnostic/checked value	DECLARED_NAMED_SUBTEST
T-Q-03	T-SOURCE-01	E03	ExprId	query every applicable role/ordinal for EntityReference; assert clean, poison, optional, insertion, stale and foreign outcomes	all declared ordinals/components round-trip once	inapplicable role/ordinal one-over returns typed error; no vector fallback	DECLARED_NAMED_SUBTEST
T-RB-03	T-ROLLBACK-01	E03	ExprId	force the row-specific hard allocation/limit failure for EntityReference	all preflight charges pass; one transaction commits IDs, source rows, scopes, diagnostics and results	preflight/checked allocation fails atomically; no prefix/truncation/replay/leak	DECLARED_NAMED_SUBTEST
T-Q-04	T-SOURCE-01	E04	ExprId	query every applicable role/ordinal for LifetimePath; assert clean, poison, optional, insertion, stale and foreign outcomes	all declared ordinals/components round-trip once	inapplicable role/ordinal one-over returns typed error; no vector fallback	DECLARED_NAMED_SUBTEST
T-RB-04	T-ROLLBACK-01	E04	ExprId	force the row-specific hard allocation/limit failure for LifetimePath	exact registry counts/bytes and expr slot commit atomically	segment/byte one-over or checked-add overflow publishes no expression or prefix registry source rows	DECLARED_NAMED_SUBTEST
T-Q-05	T-SOURCE-01	E05	ExprId	query every applicable role/ordinal for Path; assert clean, poison, optional, insertion, stale and foreign outcomes	all declared ordinals/components round-trip once	inapplicable role/ordinal one-over returns typed error; no vector fallback	DECLARED_NAMED_SUBTEST
T-RB-05	T-ROLLBACK-01	E05	ExprId	force the row-specific hard allocation/limit failure for Path	exact path counts/bytes and expr slot commit atomically	segment/byte one-over or checked-add overflow publishes no expression or prefix path source rows	DECLARED_NAMED_SUBTEST
T-Q-06	T-SOURCE-01	E06	ExprId	query every applicable role/ordinal for ShortVariant; assert clean, poison, optional, insertion, stale and foreign outcomes	all declared ordinals/components round-trip once	inapplicable role/ordinal one-over returns typed error; no vector fallback	DECLARED_NAMED_SUBTEST
T-RB-06	T-ROLLBACK-01	E06	ExprId	force the row-specific hard allocation/limit failure for ShortVariant	all preflight charges pass; one transaction commits IDs, source rows, scopes, diagnostics and results	preflight/checked allocation fails atomically; no prefix/truncation/replay/leak	DECLARED_NAMED_SUBTEST
T-Q-07	T-SOURCE-01	E07	ExprId	query every applicable role/ordinal for Placeholder; assert clean, poison, optional, insertion, stale and foreign outcomes	all declared ordinals/components round-trip once	inapplicable role/ordinal one-over returns typed error; no vector fallback	DECLARED_NAMED_SUBTEST
T-RB-07	T-ROLLBACK-01	E07	ExprId	force the row-specific hard allocation/limit failure for Placeholder	all preflight charges pass; one transaction commits IDs, source rows, scopes, diagnostics and results	preflight/checked allocation fails atomically; no prefix/truncation/replay/leak	DECLARED_NAMED_SUBTEST
T-Q-08	T-SOURCE-01	E08	ExprId	query every applicable role/ordinal for Tuple; assert clean, poison, optional, insertion, stale and foreign outcomes	all declared ordinals/components round-trip once	inapplicable role/ordinal one-over returns typed error; no vector fallback	DECLARED_NAMED_SUBTEST
