package	member	bytes	sha256	archive_sha256	archive_bytes	authority_status	audit_result
leaf	API_SURFACE.tsv	9419	f3bfaed5c16f0744d99e05627eaca578fc8408047ad1f26e8487e0db4db1af07	61e2ee166bff158fe83dcf1484b7b9380a81f60d865377503400d27d238cc708	64523	RETAINED_LEAF_AUTHORITY_WITH_LATER_SOURCE_OWNER_CORRECTION	DIRECT_MEMBER_INVENTORY_AND_HASH_REUSED_FROM_PREVIOUS_E13_AUDIT
leaf	CORRECTION_REQUEST_COPY.md	12997	57ca90e569ff57a308eb22f4debdff9314c814758229551b04c50c4f877200ce	61e2ee166bff158fe83dcf1484b7b9380a81f60d865377503400d27d238cc708	64523	RETAINED_LEAF_AUTHORITY_WITH_LATER_SOURCE_OWNER_CORRECTION	DIRECT_MEMBER_INVENTORY_AND_HASH_REUSED_FROM_PREVIOUS_E13_AUDIT
leaf	DIALOGUE_RICHTEXT_CONTRACT.md	5272	aac1a01dd0ce62883eff7a0f7506b24ad130aca3933a1d158b03ea1d24cf6d47	61e2ee166bff158fe83dcf1484b7b9380a81f60d865377503400d27d238cc708	64523	RETAINED_LEAF_AUTHORITY_WITH_LATER_SOURCE_OWNER_CORRECTION	DIRECT_MEMBER_INVENTORY_AND_HASH_REUSED_FROM_PREVIOUS_E13_AUDIT
leaf	FINAL_CONTRACT.md	6686	01f3cc141d5afd80e0812df4a7d75ebb2fa5ae4ca7cb6e844fd9475c1c0d5466	61e2ee166bff158fe83dcf1484b7b9380a81f60d865377503400d27d238cc708	64523	RETAINED_LEAF_AUTHORITY_WITH_LATER_SOURCE_OWNER_CORRECTION	DIRECT_MEMBER_INVENTORY_AND_HASH_REUSED_FROM_PREVIOUS_E13_AUDIT
leaf	FINAL_STATUS.md	25	9cfe844241b3057b5b9744ad7fd94d42b90b31f9c96c35dad40a7afb94ed395c	61e2ee166bff158fe83dcf1484b7b9380a81f60d865377503400d27d238cc708	64523	RETAINED_LEAF_AUTHORITY_WITH_LATER_SOURCE_OWNER_CORRECTION	DIRECT_MEMBER_INVENTORY_AND_HASH_REUSED_FROM_PREVIOUS_E13_AUDIT
leaf	IMPLEMENTATION_AND_DELETION_ORDER.md	3406	54ad353a33cd3e623affea16959cc8824d03d65786f66fec1d46c41a2da0d3cf	61e2ee166bff158fe83dcf1484b7b9380a81f60d865377503400d27d238cc708	64523	RETAINED_LEAF_AUTHORITY_WITH_LATER_SOURCE_OWNER_CORRECTION	DIRECT_MEMBER_INVENTORY_AND_HASH_REUSED_FROM_PREVIOUS_E13_AUDIT
leaf	LITERAL_NUMERIC_CONTRACT.md	5464	f8ceaf37b34336461e226c885851941f8ed392eefd1759335638683bba112a1c	61e2ee166bff158fe83dcf1484b7b9380a81f60d865377503400d27d238cc708	64523	RETAINED_LEAF_AUTHORITY_WITH_LATER_SOURCE_OWNER_CORRECTION	DIRECT_MEMBER_INVENTORY_AND_HASH_REUSED_FROM_PREVIOUS_E13_AUDIT
leaf	LOWERING_MATRIX.tsv	81402	247d135d0c750ec7c37f1efbcdceb46212d7414b5f718a9e13ca7c919742dddc	61e2ee166bff158fe83dcf1484b7b9380a81f60d865377503400d27d238cc708	64523	RETAINED_LEAF_AUTHORITY_WITH_LATER_SOURCE_OWNER_CORRECTION	DIRECT_MEMBER_INVENTORY_AND_HASH_REUSED_FROM_PREVIOUS_E13_AUDIT
leaf	MANIFEST.json	3421	a7ed4a16e015ed50407119e0ec8513565b631df5b4d0d137ebd1b48cc3aaf828	61e2ee166bff158fe83dcf1484b7b9380a81f60d865377503400d27d238cc708	64523	RETAINED_LEAF_AUTHORITY_WITH_LATER_SOURCE_OWNER_CORRECTION	DIRECT_MANIFEST_MEMBER_BYTES; SELF_ROW_INTENTIONALLY_OMITTED
leaf	OPEN_QUESTIONS.md	4	140bedbf9c3f6d56a9846d2ba7088798683f4da0c248231336e6a05679e4fdfe	61e2ee166bff158fe83dcf1484b7b9380a81f60d865377503400d27d238cc708	64523	RETAINED_LEAF_AUTHORITY_WITH_LATER_SOURCE_OWNER_CORRECTION	DIRECT_MEMBER_INVENTORY_AND_HASH_REUSED_FROM_PREVIOUS_E13_AUDIT
leaf	PATH_LIFETIME_CALL_THREAD_CONTRACT.md	5791	6eb37987244e23bd75f91661267af0fbe585d01bfec4f180b9cbd07a501e1f31	61e2ee166bff158fe83dcf1484b7b9380a81f60d865377503400d27d238cc708	64523	RETAINED_LEAF_AUTHORITY_WITH_LATER_SOURCE_OWNER_CORRECTION	DIRECT_MEMBER_INVENTORY_AND_HASH_REUSED_FROM_PREVIOUS_E13_AUDIT
leaf	PREDECESSOR_PRECEDENCE.md	4684	772323bd9075a77e073193e726f8a451f667c7a3e70db62d385b0aa9224788af	61e2ee166bff158fe83dcf1484b7b9380a81f60d865377503400d27d238cc708	64523	RETAINED_LEAF_AUTHORITY_WITH_LATER_SOURCE_OWNER_CORRECTION	DIRECT_MEMBER_INVENTORY_AND_HASH_REUSED_FROM_PREVIOUS_E13_AUDIT
leaf	PRIMARY_REQUEST_COPY.md	22460	59b5e893512a6af619d44cb2e99fc80a42e2495209d3e197d9201f3aeaf59bc3	61e2ee166bff158fe83dcf1484b7b9380a81f60d865377503400d27d238cc708	64523	RETAINED_LEAF_AUTHORITY_WITH_LATER_SOURCE_OWNER_CORRECTION	DIRECT_MEMBER_INVENTORY_AND_HASH_REUSED_FROM_PREVIOUS_E13_AUDIT
leaf	README.md	1813	c31b8e459c6e816565f503f4a26fc038708cc93732e6e8a390daadf9fe67c525	61e2ee166bff158fe83dcf1484b7b9380a81f60d865377503400d27d238cc708	64523	RETAINED_LEAF_AUTHORITY_WITH_LATER_SOURCE_OWNER_CORRECTION	DIRECT_MEMBER_INVENTORY_AND_HASH_REUSED_FROM_PREVIOUS_E13_AUDIT
leaf	REPOSITORY_EVIDENCE.md	7284	4d0df9b484ddf80491f78dfcc779c15e2eb2d69f51a01ade85bd36a6159b9df8	61e2ee166bff158fe83dcf1484b7b9380a81f60d865377503400d27d238cc708	64523	RETAINED_LEAF_AUTHORITY_WITH_LATER_SOURCE_OWNER_CORRECTION	DIRECT_MEMBER_INVENTORY_AND_HASH_REUSED_FROM_PREVIOUS_E13_AUDIT
leaf	REQUIREMENTS_TRACEABILITY.tsv	2530	7eec02467e912e03f6917a3a8d2fd3c765705f69b318d021a4d09f816a1550b5	61e2ee166bff158fe83dcf1484b7b9380a81f60d865377503400d27d238cc708	64523	RETAINED_LEAF_AUTHORITY_WITH_LATER_SOURCE_OWNER_CORRECTION	DIRECT_MEMBER_INVENTORY_AND_HASH_REUSED_FROM_PREVIOUS_E13_AUDIT
leaf	RUST_SCHEMAS.md	26856	402f7bfb3dfad3097756b4265f790908d6afcab472a38e5f8ed205379a60048f	61e2ee166bff158fe83dcf1484b7b9380a81f60d865377503400d27d238cc708	64523	RETAINED_LEAF_AUTHORITY_WITH_LATER_SOURCE_OWNER_CORRECTION	DIRECT_MEMBER_INVENTORY_AND_HASH_REUSED_FROM_PREVIOUS_E13_AUDIT
leaf	SOURCE_ROLE_AND_QUERY_CONTRACT.md	5542	e4832ad57f7d1be7ae99816cd28790c5e21427dc3d62cb66c61b8a41ef563c82	61e2ee166bff158fe83dcf1484b7b9380a81f60d865377503400d27d238cc708	64523	RETAINED_LEAF_AUTHORITY_WITH_LATER_SOURCE_OWNER_CORRECTION	DIRECT_MEMBER_INVENTORY_AND_HASH_REUSED_FROM_PREVIOUS_E13_AUDIT
leaf	TEST_MATRIX.tsv	146826	5fedc9b61fa69b263ef1c3d6f32da209ea5a2a56269b1a3fcec6821840b521c4	61e2ee166bff158fe83dcf1484b7b9380a81f60d865377503400d27d238cc708	64523	RETAINED_LEAF_AUTHORITY_WITH_LATER_SOURCE_OWNER_CORRECTION	DIRECT_MEMBER_INVENTORY_AND_HASH_REUSED_FROM_PREVIOUS_E13_AUDIT
leaf	VALIDATION_REPORT.md	2044	9a4e94986714dc8dc04c7e1df59c6c3073f299d77bf410073a4d5dc216075cf0	61e2ee166bff158fe83dcf1484b7b9380a81f60d865377503400d27d238cc708	64523	RETAINED_LEAF_AUTHORITY_WITH_LATER_SOURCE_OWNER_CORRECTION	DIRECT_MEMBER_INVENTORY_AND_HASH_REUSED_FROM_PREVIOUS_E13_AUDIT
source_owner	API_SURFACE.tsv	4526	009bf54a48bbf8ec297ca79acbe1407f044f22ac600a5d9b568ff4713ec0c740	2bcd3f78efb76442c2698a24251c4d874f7a941c5a8985649ea157100908a72e	91023	ACCEPTED_READY_FOR_IMPLEMENTATION	DIRECT_MEMBER_INVENTORY_AND_HASH_REUSED_FROM_PREVIOUS_E13_AUDIT
source_owner	DIALOGUE_RICHTEXT_CONTRACT.md	5272	aac1a01dd0ce62883eff7a0f7506b24ad130aca3933a1d158b03ea1d24cf6d47	2bcd3f78efb76442c2698a24251c4d874f7a941c5a8985649ea157100908a72e	91023	ACCEPTED_READY_FOR_IMPLEMENTATION	DIRECT_MEMBER_INVENTORY_AND_HASH_REUSED_FROM_PREVIOUS_E13_AUDIT
source_owner	FINAL_CORRECTION.md	7824	1bcbfcf2cc56a52c5fef09eda54925917fffdf9cdeccb9cccf07a7cc7d3f3594	2bcd3f78efb76442c2698a24251c4d874f7a941c5a8985649ea157100908a72e	91023	ACCEPTED_READY_FOR_IMPLEMENTATION	DIRECT_MEMBER_INVENTORY_AND_HASH_REUSED_FROM_PREVIOUS_E13_AUDIT
source_owner	FINAL_STATUS.md	25	9cfe844241b3057b5b9744ad7fd94d42b90b31f9c96c35dad40a7afb94ed395c	2bcd3f78efb76442c2698a24251c4d874f7a941c5a8985649ea157100908a72e	91023	ACCEPTED_READY_FOR_IMPLEMENTATION	DIRECT_MEMBER_INVENTORY_AND_HASH_REUSED_FROM_PREVIOUS_E13_AUDIT
source_owner	IMPLEMENTATION_AND_DELETION_ORDER.md	3106	4e5c2b8c7047097c0133427e4967b01c0ca5c2da005308d5a5eb63adc0626467	2bcd3f78efb76442c2698a24251c4d874f7a941c5a8985649ea157100908a72e	91023	ACCEPTED_READY_FOR_IMPLEMENTATION	DIRECT_MEMBER_INVENTORY_AND_HASH_REUSED_FROM_PREVIOUS_E13_AUDIT
source_owner	LIMITS_AND_ACCOUNTING.md	5723	898da187c29bb392b6dd268e5242edc2e96091c383eb1bf9197da02f35b9d904	2bcd3f78efb76442c2698a24251c4d874f7a941c5a8985649ea157100908a72e	91023	ACCEPTED_READY_FOR_IMPLEMENTATION	DIRECT_MEMBER_INVENTORY_AND_HASH_REUSED_FROM_PREVIOUS_E13_AUDIT
