path,bytes,sha256
AGENTS_AND_SKILL_EVIDENCE.csv,1299,54b2d84b68625d8d0db6abe603723190948ad9ca27aa63b7c28f04e259446d73
AWBC_V1_WIRE_GRAMMAR.csv,972,cc000d9641204fa6e97982e9489a1a52f1ad4fd47438f3b2cfc8d6b452b778e1
AWBC_V1_WIRE_GRAMMAR.md,4061,37b4a07dc111cff15a9c308d436d7b833739a769492084fb415217aeee2ced9d
CANONICAL_ORDER_LIMIT_ERROR_PRECEDENCE.md,2418,607c2198e1080807c083b1f4503c0b0ce5add424427ca871818d6ac9507d58e0
CURRENT_SOURCE_EVIDENCE.csv,10670,469d4282fd8403e82d38e3c9a55236f1fa90f629e9753c551adf4bfdb4c69fb5
CURRENT_SOURCE_RECONCILIATION.md,2147,a073c08612f23ab62c4cd6232a00fd6200040f8e077813bce6f314cf0a8b2968
ERROR_API.md,9545,f4735ae8b290b82145efa3819d591d2439e069f8c7f6246c87178aa6c7f40d34
FINAL_CONTRACT.md,9520,4b8177ef5ab68126859d58db03e5ec1e371a2e1cca428f2ead73164e5e18c03f
FINAL_STATUS.md,1339,95f6df69d6b663cbc7c116e13996fec0e24b8684406b627433b9b999da7fe493
IMPLEMENTATION_ORDER.csv,5356,dee65445a9406ab6f50266a06e90f2613eec942246058191bca03f2fed78b58c
IMPLEMENTATION_ORDER.md,7084,0390a75014affe24186d654b343cf36bd21d6066086e7c8c8a26b4c03d5f2bdb
INVALID_RECONCILIATION.csv,1413,272302ffcc7651c529aea8609a9383dfc1c07ab5905d57322e4d1d0c8e22344f
LAYER_DEPENDENCY_OWNER_MAP.csv,2343,3e9b2a45bc1b269c7e668a389ce89a6f3856c6c1730c0b495443afefb6156b6d
LOWERING_AND_SYNTHETIC_FACTS.md,2930,18a6c7ce839142d42eb60126fe50bcffbe4def53eeed960611f10126bc185757
MAIN_GIT_SHA.txt,41,c69defc91fbf13ec45822ec92161ce3048ff40db02c7974986e2bb9b142bf386
NOMINAL_RECORD_FIELD_PROJECTION.md,1243,e8bd106ae9ddaf01b5246466722f3aab613fe709b3d3aceff92dbbe41c9a428a
OPEN_QUESTIONS.md,5,fcf33dfbe13c2354bf0e1b063f9fb422747a46cee00b7420bceff2b81457b345
OPEN_QUESTIONS.txt,17,c0732c5d811104f771c7e45681608932b47ef4efe4aeebe1a30a4e7a0f8779f7
PREVIOUS_INVALID.md,6064,e17112bc1e6a6ce5611e1131448a8cec4efb647cfdabacfc042232d48dc15dc9
PREVIOUS_INVALID.sha256,86,6276481afcb2fe3c6cf15b887fb42188fc861139afeb38f3eb2063cf4b7e6b55
PRODUCER_CONSUMER_DELETION_INVENTORY.csv,67749,265a0608bdf9a2c562993147091af015db23302faf8441e5b78396b18f7f937f
README.md,1803,d169ec8d6f476cefc21f8587894c52f9f0fd425e23dfc59b8afecd01b49e6165
REQUIRED_DECISIONS.csv,3092,8e1b7fd7407b5697663b33491143752d4517475fdabf7e988f10ff96aff49dd4
RUST_API.md,35680,16c8531379bcfecf5a542bd0f98924195513551dc4f74a984bf89b5ebdcbccec
SOURCE_EXPR_TYPE_TABLE.csv,13713,a1193fcee3025e60e82aecb867569f911fbf017ba29071715f198d083d469379
SOURCE_PATTERN_TYPE_TABLE.csv,2835,3ebc2ae2308451ab9b064de86e422b3ff0785aa50f6cc1c7d5f16034053789db
SOURCE_REQUEST.md,13997,1b54121c38f7f957f9c168a02d25fef26ba21e7f50da9fc89e4b390ac9281c65
SOURCE_REQUEST.sha256,84,f12378dd64170bc87ce0c66c700315bd3d5c1b911855b43304a0fa456c69789e
SYNTHETIC_EXPR_TYPE_TABLE.csv,27655,0ad91b8ea52e75487f6d724294e759fdc7f9ffa56988d8f1dda5e0afc093c33b
SYNTHETIC_PATTERN_TYPE_TABLE.csv,2057,c4eaf706c1773a0a250b44fba86b9f4d3f670d7c7c56f24dceec18d140ee7102
TEST_MATRIX.csv,124075,06e8a96a7990118a81167cfca5ac51f1add837e7bcfa91890ab7550eb45e53cc
TRUST_PROVENANCE_AND_PUBLICATION.md,5075,953f8ecb77bfd8dbfe0f3386e1ad6324888159d416e4f8759c2b85655f915767
TYPE_PROJECTION_TABLE.csv,1993,9817d2313dabcfcb1ac12dbc95cafd892cc913287516ebfc222150234d250149
VALIDATION_COMMANDS.md,2719,fcb7ad466efe758f32ff9514746b92c3bf3cd7f0d9016581f86fba75481765d8
VERIFICATION_SCOPE.md,1271,3580679a8193fdd5c77f373f1461b425a2f7a33c0cc09b4aa18326e6abc6b7ac
