path,bytes,physical_lines,code_lines,classification,is_rust,is_test,is_generated,has_embedded_tests
.github/workflows/wasm-browser.yml,5271,144,138,text,false,false,false,false
.github/workflows/zip-gap-platform-validation.yml,1955,65,51,text,false,false,false,false
AGENTS.md,13683,255,205,text,false,false,false,false
Cargo.toml,6522,188,183,text,false,false,false,false
crates/arcweft/Cargo.toml,642,24,21,text,false,false,false,false
crates/arcweft/src/lib.rs,721,41,27,production,true,false,false,false
crates/arcweft-adapter-context/Cargo.toml,473,21,18,text,false,false,false,false
crates/arcweft-adapter-context/src/codec.rs,10911,355,314,production,true,false,false,true
crates/arcweft-adapter-context/src/lib.rs,359,9,3,production,true,false,false,false
crates/arcweft-adapter-context/src/manifest.rs,23000,742,585,production,true,false,false,true
crates/arcweft-adapter-context/src/standard.rs,8938,249,214,production,true,false,false,true
crates/arcweft-adapter-desktop/Cargo.toml,727,23,20,text,false,false,false,false
crates/arcweft-adapter-desktop/src/adapter.rs,15253,432,404,production,true,false,false,false
crates/arcweft-adapter-desktop/src/codec.rs,10597,294,276,production,true,false,false,true
crates/arcweft-adapter-desktop/src/lib.rs,1850,32,25,production,true,false,false,false
crates/arcweft-adapter-desktop/src/manifest.rs,15153,420,388,production,true,false,false,true
crates/arcweft-adapter-desktop/tests/native_integration.rs,2110,54,50,test,true,true,false,false
crates/arcweft-adt/Cargo.toml,210,13,11,text,false,false,false,false
crates/arcweft-adt/src/lib.rs,37422,1486,1052,production,true,false,false,true
crates/arcweft-agent-mcp/Cargo.toml,349,15,13,text,false,false,false,false
crates/arcweft-agent-mcp/src/lib.rs,374,12,5,production,true,false,false,false
crates/arcweft-agent-mcp/src/model.rs,4480,131,102,production,true,false,false,false
crates/arcweft-agent-mcp/src/resources.rs,15973,407,364,production,true,false,false,false
crates/arcweft-agent-mcp/src/tests.rs,42601,1180,1126,test,true,true,false,false
crates/arcweft-agent-mcp/src/tools.rs,45397,792,762,production,true,false,false,false
crates/arcweft-agent-mcp/tests/descriptor_invariants.rs,2149,71,65,test,true,true,false,false
crates/arcweft-agent-mcp-client/Cargo.toml,509,18,16,text,false,false,false,false
crates/arcweft-agent-mcp-client/src/lib.rs,16408,509,457,production,true,false,false,true
crates/arcweft-agent-protocol/Cargo.toml,443,18,16,text,false,false,false,false
crates/arcweft-agent-protocol/src/action.rs,777,29,23,production,true,false,false,false
crates/arcweft-agent-protocol/src/artifact.rs,3957,121,91,production,true,false,false,false
crates/arcweft-agent-protocol/src/diagnostic.rs,758,24,20,production,true,false,false,false
crates/arcweft-agent-protocol/src/geometry.rs,1685,68,56,production,true,false,false,false
crates/arcweft-agent-protocol/src/hit_test.rs,1439,39,35,test,true,true,false,false
crates/arcweft-agent-protocol/src/ids.rs,2320,91,68,production,true,false,false,false
crates/arcweft-agent-protocol/src/image.rs,12606,345,305,production,true,false,false,false
crates/arcweft-agent-protocol/src/lib.rs,665,31,23,production,true,false,false,false
crates/arcweft-agent-protocol/src/object.rs,5026,128,116,production,true,false,false,false
crates/arcweft-agent-protocol/src/observation.rs,7330,191,170,production,true,false,false,false
crates/arcweft-agent-protocol/src/predicate.rs,4800,176,154,production,true,false,false,true
crates/arcweft-agent-protocol/src/presentation.rs,25264,698,649,production,true,false,false,true
crates/arcweft-agent-protocol/src/protocol.rs,9755,309,255,production,true,false,false,true
crates/arcweft-agent-protocol/src/proxy.rs,3483,90,79,production,true,false,false,false
crates/arcweft-agent-protocol/src/resource.rs,1450,53,43,production,true,false,false,false
crates/arcweft-agent-protocol/src/rich_text.rs,3926,111,99,production,true,false,false,false
crates/arcweft-agent-protocol/src/serde_helpers.rs,387,18,15,production,true,false,false,false
crates/arcweft-agent-protocol/src/session.rs,411,15,11,production,true,false,false,false
crates/arcweft-agent-protocol/src/tests.rs,32491,926,894,test,true,true,false,false
crates/arcweft-agent-protocol/src/trace.rs,920,33,29,production,true,false,false,false
crates/arcweft-agent-protocol/src/ui.rs,208,8,6,production,true,false,false,false
crates/arcweft-agent-protocol/src/value.rs,488,18,16,production,true,false,false,false
crates/arcweft-agent-protocol/src/verified_effects.rs,1325,39,28,production,true,false,false,false
crates/arcweft-agent-runner/Cargo.toml,578,22,19,text,false,false,false,false
crates/arcweft-agent-runner/src/assertion.rs,944,26,23,production,true,false,false,false
crates/arcweft-agent-runner/src/budget.rs,4902,146,138,production,true,false,false,false
crates/arcweft-agent-runner/src/config.rs,2161,80,67,production,true,false,false,false
crates/arcweft-agent-runner/src/effect_policy.rs,6158,154,128,production,true,false,false,false
crates/arcweft-agent-runner/src/error.rs,2614,63,60,production,true,false,false,false
crates/arcweft-agent-runner/src/host_request.rs,8006,195,191,production,true,false,false,false
crates/arcweft-agent-runner/src/label_parse.rs,19745,562,532,production,true,false,false,false
crates/arcweft-agent-runner/src/lib.rs,594,24,16,production,true,false,false,false
crates/arcweft-agent-runner/src/policy.rs,1517,53,45,production,true,false,false,false
crates/arcweft-agent-runner/src/predicate.rs,6576,163,153,production,true,false,false,false
crates/arcweft-agent-runner/src/runner.rs,23629,643,606,production,true,false,false,false
crates/arcweft-agent-runner/src/runtime_args.rs,8084,232,213,production,true,false,false,false
crates/arcweft-agent-runner/src/runtime_payload.rs,25161,666,640,production,true,false,false,false
crates/arcweft-agent-runner/src/runtime_value.rs,14332,360,336,production,true,false,false,false
crates/arcweft-agent-runner/src/session.rs,7013,208,172,production,true,false,false,false
crates/arcweft-agent-runner/src/tests.rs,75992,2103,1970,test,true,true,false,false
crates/arcweft-audio-codec/Cargo.toml,630,27,23,text,false,false,false,false
crates/arcweft-audio-codec/README.md,208,5,4,text,false,false,false,false
crates/arcweft-audio-codec/src/lib.rs,9488,255,235,production,true,false,false,false
crates/arcweft-audio-codec/tests/resample.rs,449,11,10,test,true,true,false,false
crates/arcweft-audio-core/Cargo.toml,390,22,18,text,false,false,false,false
crates/arcweft-audio-core/src/graph.rs,23264,659,631,production,true,false,false,false
crates/arcweft-audio-core/src/lib.rs,152,7,4,production,true,false,false,false
crates/arcweft-audio-core/src/prepared.rs,16270,521,493,production,true,false,false,false
crates/arcweft-audio-core/tests/graph.rs,1446,40,38,test,true,true,false,false
crates/arcweft-audio-device-cpal/Cargo.toml,1495,54,49,text,false,false,false,false
crates/arcweft-audio-device-cpal/src/lib.rs,659,19,12,production,true,false,false,false
crates/arcweft-audio-device-cpal/src/native_microphone.rs,5585,155,146,production,true,false,false,false
crates/arcweft-audio-device-cpal/src/output.rs,8380,230,215,production,true,false,false,false
crates/arcweft-audio-device-cpal/src/web_microphone.rs,7918,208,194,production,true,false,false,false
crates/arcweft-audio-mixer/Cargo.toml,376,19,16,text,false,false,false,false
crates/arcweft-audio-mixer/src/effect.rs,16378,486,458,production,true,false,false,false
crates/arcweft-audio-mixer/src/lib.rs,19312,592,560,production,true,false,false,false
crates/arcweft-audio-mixer/tests/mixer.rs,2666,75,73,test,true,true,false,false
