id,layer,path,symbol,lines,commit_pinned_url,finding
E001,Git head,GitHub commits/main,35d42ef is first main commit row,"main first row, 2026-08-14",https://github.com/Sanzentyo/arcweft/commits/main/,confirms latest head used
E002,Git commit,commit page,35d42efdd89fef8fde73f62be2a3e38fd5e81e52,130-145,https://github.com/Sanzentyo/arcweft/commit/35d42efdd89fef8fde73f62be2a3e38fd5e81e52,full selected commit and parent
E003,workspace,Cargo.toml,workspace.members,0-99,https://raw.githubusercontent.com/Sanzentyo/arcweft/35d42efdd89fef8fde73f62be2a3e38fd5e81e52/Cargo.toml,"actual package names; no arcweft-aot, arcweft-lang-vm, or arcweft-lang-aot-rust"
E004,core plan,crates/arcweft-core/src/plan.rs,RuntimePlan,49-60,https://raw.githubusercontent.com/Sanzentyo/arcweft/35d42efdd89fef8fde73f62be2a3e38fd5e81e52/crates/arcweft-core/src/plan.rs,currently Default/Serde with public vectors; final builder/private plan remains residual
E005,core type table,crates/arcweft-core/src/plan/type_table.rs,RuntimePlanTypeDeclaration/Table,10-62,https://raw.githubusercontent.com/Sanzentyo/arcweft/35d42efdd89fef8fde73f62be2a3e38fd5e81e52/crates/arcweft-core/src/plan/type_table.rs,private declaration fields and table accessor already landed
E006,core type issuer,crates/arcweft-core/src/plan/type_table.rs,RuntimePlanTypeTableBuilder::intern/finish,63-169,https://raw.githubusercontent.com/Sanzentyo/arcweft/35d42efdd89fef8fde73f62be2a3e38fd5e81e52/crates/arcweft-core/src/plan/type_table.rs,sole first-seen contiguous issuer; exact duplicate reuse; conflict/overflow
E007,core locals,crates/arcweft-core/src/plan/local_declarations.rs,RuntimeLocalDeclarationTableBuilder,1-85,https://raw.githubusercontent.com/Sanzentyo/arcweft/35d42efdd89fef8fde73f62be2a3e38fd5e81e52/crates/arcweft-core/src/plan/local_declarations.rs,canonical runtime-local table already landed; HIR IDs stay outside core
E008,core pattern binding,crates/arcweft-core/src/pattern/binding.rs,RuntimePatternBindingStep/Path,0-103,https://raw.githubusercontent.com/Sanzentyo/arcweft/35d42efdd89fef8fde73f62be2a3e38fd5e81e52/crates/arcweft-core/src/pattern/binding.rs,closed steps; depth 64; whole/rest validation
E009,core pattern binding,crates/arcweft-core/src/pattern/binding.rs,RuntimePatternBindingCoordinate,104-215,https://raw.githubusercontent.com/Sanzentyo/arcweft/35d42efdd89fef8fde73f62be2a3e38fd5e81e52/crates/arcweft-core/src/pattern/binding.rs,runtime local plus path; v1 tags 0..6; checked decode
E010,semantic facts,crates/arcweft-runtime-plan/src/semantic_facts.rs,RuntimeTypeShape,90-242,https://raw.githubusercontent.com/Sanzentyo/arcweft/35d42efdd89fef8fde73f62be2a3e38fd5e81e52/crates/arcweft-runtime-plan/src/semantic_facts.rs,current complete normalized runtime shape vocabulary
E011,semantic facts,crates/arcweft-runtime-plan/src/semantic_facts.rs,RuntimeNormalizedType::runtime_plan_type_kind,244-474,https://raw.githubusercontent.com/Sanzentyo/arcweft/35d42efdd89fef8fde73f62be2a3e38fd5e81e52/crates/arcweft-runtime-plan/src/semantic_facts.rs,checked/operational classification already landed; composites recurse
E012,semantic staging,crates/arcweft-runtime-plan/src/semantic_facts.rs,RuntimePlanSemanticFactStagingInput,1366-1450,https://raw.githubusercontent.com/Sanzentyo/arcweft/35d42efdd89fef8fde73f62be2a3e38fd5e81e52/crates/arcweft-runtime-plan/src/semantic_facts.rs,local/expression/pattern accepted facts already staged
E013,semantic aggregate,crates/arcweft-runtime-plan/src/semantic_facts.rs,RuntimePlanSemanticFacts,1527-1665,https://raw.githubusercontent.com/Sanzentyo/arcweft/35d42efdd89fef8fde73f62be2a3e38fd5e81e52/crates/arcweft-runtime-plan/src/semantic_facts.rs,canonical BTreeMaps and local table already landed
E014,semantic completeness,crates/arcweft-runtime-plan/src/semantic_facts.rs,validate_complete_expression_types/validate_complete_pattern_types,1906-1912;2403-2485,https://raw.githubusercontent.com/Sanzentyo/arcweft/35d42efdd89fef8fde73f62be2a3e38fd5e81e52/crates/arcweft-runtime-plan/src/semantic_facts.rs,source-backed expression/pattern completeness already landed
E015,semantic accessors,crates/arcweft-runtime-plan/src/semantic_facts.rs,expression_type/pattern_type/local_type,2100-2128,https://raw.githubusercontent.com/Sanzentyo/arcweft/35d42efdd89fef8fde73f62be2a3e38fd5e81e52/crates/arcweft-runtime-plan/src/semantic_facts.rs,accepted type accessors already landed
E016,HIR owner inventory,crates/arcweft-lang-hir/src/final_project/runtime_semantic_owners.rs,HirRuntimeSemanticOwnerInventory,17-62;101-370,https://github.com/Sanzentyo/arcweft/commit/35d42efdd89fef8fde73f62be2a3e38fd5e81e52,current head landed HIR-owned runtime owner closure
E017,expression lowerer,crates/arcweft-runtime-plan/src/final_expr.rs,FinalExprLowerer,23-40,https://raw.githubusercontent.com/Sanzentyo/arcweft/35d42efdd89fef8fde73f62be2a3e38fd5e81e52/crates/arcweft-runtime-plan/src/final_expr.rs,currently module+facts and returns raw RuntimeExpr
E018,expression lowerer,crates/arcweft-runtime-plan/src/final_expr.rs,source expression match,40-256,https://raw.githubusercontent.com/Sanzentyo/arcweft/35d42efdd89fef8fde73f62be2a3e38fd5e81e52/crates/arcweft-runtime-plan/src/final_expr.rs,37 HIR expression families; independent pattern lowerer construction
