requirement_id	request_clause	decision	normative_owner	tests	status
R1	§1 tail roles	ImplicitUnitTail and MissingRequiredTail accept exactly Expr|Scope and ordinal0	RUST_SCHEMAS §3; ROLE_OWNER_ORDINAL_MATRIX rows0x01/0x08	T-ROLE-01; T-ROLE-08; T-ERROR-01; T-ERROR-02; T-ERROR-03	CLOSED
R2	§1 ordinary producer	source-backed block/computation/named/closure/if/if-let root ExprId owns tail	TAIL_PRODUCER_OWNER_MATRIX TP-01..07	T-TAIL-BLOCK-01; T-TAIL-COMPUTE-01; T-TAIL-COMPUTE-02; T-TAIL-NAMED-01; T-TAIL-CLOSURE-01; T-TAIL-IF-01; T-TAIL-IFLET-01	CLOSED
R3	§1 predicate producer	predicate body ScopeId owns MissingRequiredTail0	TP-08; AR-PB01	T-TAIL-PREDICATE-01; T-TAIL-SCOPE-LIVE-01	CLOSED
R4	§1 proof producer	proof body ScopeId owns ImplicitUnitTail0 for Unit or MissingRequiredTail0 for non-Unit	TP-09..10; AR-PB02	T-TAIL-PROOF-UNIT-01; T-TAIL-PROOF-NONUNIT-01; T-TAIL-SCOPE-LIVE-01	CLOSED
R5	§1 match arms	each existing distinct HirMatchArm ScopeId owns MissingRequiredTail0	TP-11; AR-E32	T-TAIL-MATCH-01; T-TAIL-MATCH-02; T-TAIL-SCOPE-LIVE-01	CLOSED
R6	§1 non-circular order	root Expr or Scope reservation precedes tail key/child; no tail self-owner	CONSTRUCTOR_AND_TRANSACTION_CONTRACT §2	T-TAIL-BLOCK-01; T-TAIL-CLOSURE-01; T-TAIL-PREDICATE-01; T-TAIL-PROOF-UNIT-01; T-TAIL-PROOF-NONUNIT-01; T-TAIL-MATCH-01; T-TAIL-SCOPE-LIVE-01	CLOSED
R7	§1 source/reuse	exact insertion anchors; source row belongs to child ExprId; same key+Expr reuses	FINAL_CORRECTION §§3-4; producer matrix	T-TAIL-REUSE-01; T-TAIL-BLOCK-01; T-TAIL-PREDICATE-01; T-TAIL-MATCH-01	CLOSED
R8	§2 RecoveryOperand	direct semantic-child-role lowerer, perturbation, exact/one-over tests	GENERATOR_EVIDENCE_CONTRACT §2	T-GEN-RECOVERY-01; T-GEN-RECOVERY-02; T-GEN-RECOVERY-03	CLOSED
R9	§2 DesugaredTemporary	source-token then immutable recipe-step order with checked counter	GENERATOR_EVIDENCE_CONTRACT §3	T-GEN-TEMP-01; T-GEN-TEMP-STMT-01; T-GEN-TEMP-02; T-GEN-TEMP-03	CLOSED
R10	§2 DestructuredBinding	depth-first authored preorder and first-alternative shared map	GENERATOR_EVIDENCE_CONTRACT §4	T-GEN-BIND-01; T-GEN-BIND-02; T-GEN-BIND-03	CLOSED
