id	path	git_blob_sha1	inspected_locator	classification	evidence
R001	AGENTS.md	3965af50059b87df6aa7735890c831010c399b43	complete at final head	normative	latest root Git-only, ownership, deletion, validation and scoped-instruction rules
R001A	crates/AGENTS.md	155f339fa3c50cd0dfa985a9ade669e6a7f6d620	complete	normative	workspace Rust/parser/deletion/API/testing rules
R001B	docs/AGENTS.md	9ccd3926eba89e055901f32ae6341fe3fb220014	complete	normative	documentation authority and Git evidence rules
R001C	docs/reviews/AGENTS.md	8d6e3831ee0f68061fe3899180140032a4b5665a	complete	normative	design-only readiness, ZIP and predecessor requirements
R001D	docs/implementation/AGENTS.md	9bd29a2f9ec9b2a1602bbeb580fbd6cc1aa985f6	complete	normative	implementation evidence and validation status rules
R001E	docs/README.md	92fc15437663e14e922c1035f85b664f0e3faf68	complete	normative-navigation	documentation structure and maintained chapters
R001F	docs/reviews/README.md	780336582626ecc212354ef8ab23b6d4f3061207	complete	normative	review package intake and sidecar policy
R001G	docs/00-overview/crate-map.md	34048e5135f6a7c4b74997b9ee658c9d43dde4bb	complete relevant language/tooling dependency rules	normative	crate ownership and dependency direction
R001H	docs/implementation/test-execution-policy.md	d384125d20e97df9298729b29bfa680a74d668d4	complete	normative	focused/workspace/Tier2 selection and docs-only evidence
R001I	docs/implementation/structural-audit-policy.md	f2e3573f916fcccca0af256a02d98dc0d5901b64	complete	normative	public-contract and mapping audit triggers
R002	docs/reviews/requests/2026-08-02-seq-proof-01.1.1.2.1.1.1-ordinary-flow-evidence-schema-redelivery-correction.md	15da00ca6de4b9bbc399fc9312c745ab722f531f	complete	normative	correction request
R003	docs/reviews/requests/2026-07-31-seq-proof-01.1.1.2.1.1-ordinary-flow-attached-hir-projection-reconciliation.md	54fa4f14f842085be1e8763a2b0080b255f64a02	complete	normative	primary Flow request
