id,synthetic_site,accepted_type_source,fact_carrier,classification,runtime_node/use,error_precedence
SYN-001,"HirRuntimeSyntheticExprSite::SpreadArgument { call: ExprId, authored_ordinal: u32 }",the exact accepted type of the spread operand ExprId,explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,RuntimeNormalizedType::runtime_plan_type_kind,SpreadArg wrapper and inner have the submitted synthetic row; call signature validates spread legality,MissingSyntheticExpressionType -> DuplicateFact -> WrongProjectGeneration -> WrongOwnerFamily -> SyntheticExpressionTypeMismatch -> UnsupportedRuntimeShape
SYN-002,HirRuntimeSyntheticExprSite::PostfixAlias { postfix: ExprId },"the exact accepted type of the resolved operand and selected postfix result, required equal",explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,RuntimeNormalizedType::runtime_plan_type_kind,alias creates no alternate authority; mismatch is SyntheticExpressionTypeMismatch,MissingSyntheticExpressionType -> DuplicateFact -> WrongProjectGeneration -> WrongOwnerFamily -> SyntheticExpressionTypeMismatch -> UnsupportedRuntimeShape
SYN-003,HirRuntimeSyntheticExprSite::AssignmentTarget { statement: StmtId },accepted target aggregate/local type from checked assignment resolution,explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,RuntimeNormalizedType::runtime_plan_type_kind,AssignField target child,MissingSyntheticExpressionType -> DuplicateFact -> WrongProjectGeneration -> WrongOwnerFamily -> SyntheticExpressionTypeMismatch -> UnsupportedRuntimeShape
SYN-004,HirRuntimeSyntheticExprSite::AssignmentValue { statement: StmtId },accepted selected field/local value type from checked assignment resolution,explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,RuntimeNormalizedType::runtime_plan_type_kind,AssignField value child,MissingSyntheticExpressionType -> DuplicateFact -> WrongProjectGeneration -> WrongOwnerFamily -> SyntheticExpressionTypeMismatch -> UnsupportedRuntimeShape
SYN-005,HirRuntimeSyntheticExprSite::AssignmentContinuation { statement: StmtId },accepted continuation/body type from the enclosing checked block/function/flow role,explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,RuntimeNormalizedType::runtime_plan_type_kind,AssignField root/body,MissingSyntheticExpressionType -> DuplicateFact -> WrongProjectGeneration -> WrongOwnerFamily -> SyntheticExpressionTypeMismatch -> UnsupportedRuntimeShape
SYN-006,HirRuntimeSyntheticExprSite::VariantPayloadTuple { call: ExprId },exact normalized payload type from the retained normalized variant case table,explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,RuntimeNormalizedType::runtime_plan_type_kind,tuple node only when payload arity > 1,MissingSyntheticExpressionType -> DuplicateFact -> WrongProjectGeneration -> WrongOwnerFamily -> SyntheticExpressionTypeMismatch -> UnsupportedRuntimeShape
SYN-007,HirRuntimeSyntheticExprSite::ReductionCommands { call: ExprId },exact accepted command-sequence/tuple type from RuntimeReductionConstructor fact,explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,RuntimeNormalizedType::runtime_plan_type_kind,empty tuple still has explicit semantic identity,MissingSyntheticExpressionType -> DuplicateFact -> WrongProjectGeneration -> WrongOwnerFamily -> SyntheticExpressionTypeMismatch -> UnsupportedRuntimeShape
SYN-008,"HirRuntimeSyntheticExprSite::RecordShorthandLocal { record: ExprId, field_ordinal: u32, local: LocalId }",RuntimePlanSemanticFacts::local_type(local),explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,RuntimeNormalizedType::runtime_plan_type_kind,synthetic RuntimeExpr::Local,MissingSyntheticExpressionType -> DuplicateFact -> WrongProjectGeneration -> WrongOwnerFamily -> SyntheticExpressionTypeMismatch -> UnsupportedRuntimeShape
SYN-009,"HirRuntimeSyntheticExprSite::NominalRecordShorthandLocal { record: ExprId, field_ordinal: u32, local: LocalId }",RuntimePlanSemanticFacts::local_type(local) checked against accepted field projection,explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,RuntimeNormalizedType::runtime_plan_type_kind,synthetic RuntimeExpr::Local,MissingSyntheticExpressionType -> DuplicateFact -> WrongProjectGeneration -> WrongOwnerFamily -> SyntheticExpressionTypeMismatch -> UnsupportedRuntimeShape
SYN-010,"HirRuntimeSyntheticExprSite::PureBlockLetValue { block: ExprId, statement: StmtId }",accepted initializer ExprId type,explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,RuntimeNormalizedType::runtime_plan_type_kind,RuntimeExpr::Let value,MissingSyntheticExpressionType -> DuplicateFact -> WrongProjectGeneration -> WrongOwnerFamily -> SyntheticExpressionTypeMismatch -> UnsupportedRuntimeShape
