path,sha256,bytes,lines,commit,retrieval,evidence,raw_url
AGENTS.md,484636c8d43c002d08c50e535b23d41ffcdfee25370ad16fc7adef374d2d57a3,6046,115,36f83f8509417d1110a34f1b32aee6f4a113dcf3,commit-pinned raw GitHub capture,repository invariants; all Arcweft-owned versions stay 1; deletion-driven migration; Git evidence rule,https://raw.githubusercontent.com/Sanzentyo/arcweft/36f83f8509417d1110a34f1b32aee6f4a113dcf3/AGENTS.md
crates/AGENTS.md,9dc887815ef05b1e7c2f63937926a908cdd7d9e36b916600fe9a278787966565,6943,134,36f83f8509417d1110a34f1b32aee6f4a113dcf3,commit-pinned raw GitHub capture,Rust workspace owner/dependency/API/testing constraints,https://raw.githubusercontent.com/Sanzentyo/arcweft/36f83f8509417d1110a34f1b32aee6f4a113dcf3/crates/AGENTS.md
crates/arcweft-core/src/awbc/codec.rs,d91e649d2eac5daae2e9bee40aa598b70c369b23d364202f3db9c41f7515beb1,7172,208,36f83f8509417d1110a34f1b32aee6f4a113dcf3,commit-pinned raw GitHub capture,current-main owner/dependency/source evidence inspected for this contract,https://raw.githubusercontent.com/Sanzentyo/arcweft/36f83f8509417d1110a34f1b32aee6f4a113dcf3/crates/arcweft-core/src/awbc/codec.rs
crates/arcweft-core/src/awbc/fiber.rs,e4ce8092aa50e454faa09f8bcc821432e6822078701a4ffee9c77ff0a0223df4,75438,2105,36f83f8509417d1110a34f1b32aee6f4a113dcf3,commit-pinned raw GitHub capture,current-main owner/dependency/source evidence inspected for this contract,https://raw.githubusercontent.com/Sanzentyo/arcweft/36f83f8509417d1110a34f1b32aee6f4a113dcf3/crates/arcweft-core/src/awbc/fiber.rs
crates/arcweft-core/src/awbc/schema.rs,1cd41c9e7ec343d6c5aa7e03049077196c3a95fc548582c9b722d643c165d037,65006,2181,36f83f8509417d1110a34f1b32aee6f4a113dcf3,commit-pinned raw GitHub capture,"current AWBC tables, instructions, terminators, task/audio/effect/choice/content owners",https://raw.githubusercontent.com/Sanzentyo/arcweft/36f83f8509417d1110a34f1b32aee6f4a113dcf3/crates/arcweft-core/src/awbc/schema.rs
crates/arcweft-core/src/awbc/type_projection.rs,2ef709d0c81aa7bd5ce05800a8b4a3fb7dacd209430f1c3e567cae05b6f5e695,13742,314,36f83f8509417d1110a34f1b32aee6f4a113dcf3,commit-pinned raw GitHub capture,current AWBC checked-type projection and dense type references,https://raw.githubusercontent.com/Sanzentyo/arcweft/36f83f8509417d1110a34f1b32aee6f4a113dcf3/crates/arcweft-core/src/awbc/type_projection.rs
crates/arcweft-core/src/awbc/verify.rs,b9bc163ab75bb775094e81414c2b66c231bbb0052242f7ec5da780c6b5394fd8,7701,198,36f83f8509417d1110a34f1b32aee6f4a113dcf3,commit-pinned raw GitHub capture,current structural bounds/range/reference verification order,https://raw.githubusercontent.com/Sanzentyo/arcweft/36f83f8509417d1110a34f1b32aee6f4a113dcf3/crates/arcweft-core/src/awbc/verify.rs
crates/arcweft-core/src/awbc/vm.rs,ce39eb8c1858659babf2f2c2b19a5274a91add91a36aef3f950b3f8aae26c1c9,67739,1813,36f83f8509417d1110a34f1b32aee6f4a113dcf3,commit-pinned raw GitHub capture,current-main owner/dependency/source evidence inspected for this contract,https://raw.githubusercontent.com/Sanzentyo/arcweft/36f83f8509417d1110a34f1b32aee6f4a113dcf3/crates/arcweft-core/src/awbc/vm.rs
crates/arcweft-core/src/entry/identity.rs,7a8e585c61cc43e0f62d673c950811f4ffaa71dbc731c5808d8af563982174c4,4935,161,36f83f8509417d1110a34f1b32aee6f4a113dcf3,commit-pinned raw GitHub capture,current-main owner/dependency/source evidence inspected for this contract,https://raw.githubusercontent.com/Sanzentyo/arcweft/36f83f8509417d1110a34f1b32aee6f4a113dcf3/crates/arcweft-core/src/entry/identity.rs
crates/arcweft-core/src/entry/roles.rs,2ee065623a0a633b53d5e140c70d97e5147b91047ee8e8900b63726fbde88e64,8099,244,36f83f8509417d1110a34f1b32aee6f4a113dcf3,commit-pinned raw GitHub capture,current entry/flow/callable parameter and nominal role fields,https://raw.githubusercontent.com/Sanzentyo/arcweft/36f83f8509417d1110a34f1b32aee6f4a113dcf3/crates/arcweft-core/src/entry/roles.rs
crates/arcweft-core/src/pattern.rs,6ff1831a258c87510cb31420ad019cc44b7c62c478fa1322a2ce1e17865e855a,39801,1148,36f83f8509417d1110a34f1b32aee6f4a113dcf3,commit-pinned raw GitHub capture,RuntimeCheckedType algebra and current boolean acceptance/Variant behavior,https://raw.githubusercontent.com/Sanzentyo/arcweft/36f83f8509417d1110a34f1b32aee6f4a113dcf3/crates/arcweft-core/src/pattern.rs
