boundary,error_owner,evidence,variants,precedence_note
Raw plan construction,RuntimePlanBuildError,table/coordinate/index/count evidence,Limit; Duplicate; NonCanonicalOrder; OutOfBounds; MissingTypedNode; MissingRoot; UnexpectedNode; WrongOwner,same error from external builder and custom v1 Deserialize
Raw AWBC construction,AwbcProgramBuildError,table/coordinate/index/count evidence,Limit; Duplicate; NonCanonicalOrder; OutOfBounds; WrongVariant; MissingTypedSite; DuplicateOrigin,same error from external builder and custom v1 Deserialize
Generation projection,RuntimeGenerationProjectionError,row family/key/expected/actual,Limit; NonCanonicalProjectOrder; DuplicateProjectType; NonCanonicalProducerOrder; DuplicateProducerType; ProducerOwnerMustBeExact; NonCanonicalNominalOrder; DuplicateNominal; InvalidNominalFields,no raw artifact variant
Generation fact section,RuntimeGenerationFactSectionError,byte offset/row family/key/expected/actual,BadMagic; UnsupportedSectionVersion; InvalidTranscriptLength; Truncated; UnsupportedTranscriptVersion; Limit; InvalidUtf8; InvalidTypeTag; CheckedType; Duplicate; NonCanonicalOrder; InvalidNominalFields; TrailingBytes; Projection,decoder returns projection only; never an admitted parent
Generation admission,RuntimeGenerationAdmissionError,row family/key/root/catalog evidence,ProjectionLimit; RootProjection; ProducerOwner; MissingReachableType; NominalLayout; Catalog; Transcript,publication is atomic
Generation parent,RuntimeGenerationParentMismatch,left/right scalar identities for evidence only,DifferentIssuedParent,decision is Arc::ptr_eq; byte-equal reissue still fails
Plan declaration mismatch,RuntimePlanAdmissionError,expected/actual generation identity + declaration field,GenerationContractMismatch,before type/site resolution
AWBC declaration mismatch,AwbcAdmissionError,expected/actual generation identity + declaration field,GenerationContractMismatch,before type/site resolution
Plan type/site,RuntimePlanSiteResolutionError,site/type ID/path/expected/actual,UnknownType; MissingNode; ExtraNode; DuplicateNode; OperationalTypeHasNoCheckedContext; RootAuthority; OwnerRelation,wrapped by plan admission
AWBC type/site,AwbcTypedSiteResolutionError,site/type/reference/expected/actual,UnknownType; Bounds; WrongVariant; MissingOptional; AliasConflict; RootAuthority,wrapped by AWBC admission
Audio site,AwbcTypedSiteResolutionError,effect/command/slot/index,AudioEffectOutOfBounds; AudioEffectKindMismatch; AudioEffectHasNoCommand; AudioCommandOutOfBounds; AudioSlotWrongCommandVariant; AbsentOptionalAudioSlot; AudioArgumentOutOfBounds; AudioConstantOutOfBounds,effect first
Pair correlation,RuntimeProductAdmissionError,plan site/AWBC site/expected/actual,GenerationParentMismatch; MissingOrigin; DuplicateOrigin; OperationalOriginForbidden; SemanticIdentityMismatch; CheckedTypeMismatch; AuthorityMismatch,no digest-only success
Checked value,RuntimeCheckedTypeError,value path + checked type path + expected/actual,Limit; Shape; Integer; Nominal; OpaqueProducerMismatch; OpaqueSemanticIdentityMismatch; PayloadPresence; Field; Case,opaque has no payload lookup variant
Product AWFB container,RuntimeGenerationSectionVerificationError,bundle kind/section kind/schema/underlying SectionId,Container; ExternalPayload; WrongBundleKind; MissingRequiredSection; DuplicateRequiredSection; WrongSectionSchemaVersion,Container preserves BadMagic/UnsupportedVersion/Bounds/OverlappingSection/StoredDigestMismatch/ContentDigestMismatch/IndexDigestMismatch/ManifestDigestMismatch
Runtime generation load,RuntimeGenerationLoadError,stage owner plus wrapped structured evidence,GenerationFacts; GenerationAdmission; CatalogAdmission; PlanWire; PlanAdmission; AwbcWire; ProductAdmission; DriverGeneration,first failing ordered stage; no disabled-validation success branch
Driver generation,RuntimeDriverGenerationError,product/catalog parent identities,GenerationParentMismatch; Catalog,before executor/session publication
Hot swap,RuntimeGenerationSwapError,expected/actual parent identity plus migration evidence,Candidate; Migration; StalePreparedSwap,StalePreparedSwap is selected by exact parent comparison even when identities are equal
Restore,RuntimeRestoreError,header identity/path/site,HeaderVersion; GenerationMismatch; Site; ValueDecode; CheckedValue,generation mismatch before nested value
Replay,RuntimeReplayError,header identity/event/path/site,HeaderVersion; GenerationMismatch; Event; Site; ValueDecode; CheckedValue,generation mismatch before event/value
