"path","owner","classification","bytes","physical_loc","base_physical_loc","loc_growth","embedded_test_loc","normal_fan_in","normal_fan_out","dev_fan_in","dev_fan_out","responsibility"
"crates/arcweft-agent-runner/src/tests.rs","arcweft-agent-runner","test","128534","3554","3551","3","0","4","4","1","4","Agent execution tests consume immutable named record values"
"crates/arcweft-core/src/engine/suspend.rs","arcweft-core","production","50383","1239","1239","0","0","29","6","3","6","Typed suspension argument conversion including HTTP header records"
"crates/arcweft-core/src/entry/schema.rs","arcweft-core","production","61115","1755","1679","76","237","29","6","3","6","Persistence schemas and one bounded canonical value visitor"
"crates/arcweft-core/src/pattern.rs","arcweft-core","production","103140","2835","2835","0","633","29","6","3","6","Runtime predicates over accepted plan domains"
"crates/arcweft-core/src/value.rs","arcweft-core","production","132093","3687","3798","-111","0","29","6","3","6","Runtime value algebra and typed storage dispatch"
"crates/arcweft-core/src/value/awbc_save.rs","arcweft-core","production","35485","883","898","-15","28","29","6","3","6","Recursive AWBC snapshot projection and typed live-value admission"
"crates/arcweft-core/src/value/record.rs","arcweft-core","production","10978","340","0","340","81","29","6","3","6","Immutable structural record inventory and shared ordered field admission"
"crates/arcweft-core/src/value/sequence_impls.rs","arcweft-core","production","58965","1760","1772","-12","142","29","6","3","6","Sequence storage operations and rectangular column admission"
"crates/arcweft-core/tests/api_compile.rs","arcweft-core","test","871","14","13","1","0","29","6","3","6","Core public boundary compile-fixture runner"
"crates/arcweft-core/tests/record_admission.rs","arcweft-core","test","5470","169","130","39","0","29","6","3","6","Public row and column inventory admission and snapshot rejection"
"crates/arcweft-core/tests/ui/runtime_structural_storage_is_private.rs","arcweft-core","test","246","7","0","7","0","29","6","3","6","Negative construction of structural storage inventories"
"crates/arcweft-core/tests/ui/runtime_structural_storage_is_private.stderr","arcweft-core","diagnostic fixture","902","21","0","21","0","29","6","3","6","Compiler diagnostics for private structural storage"
"crates/arcweft-dialogue/src/character_dialogue/typed_value.rs","arcweft-dialogue","production","20924","603","623","-20","0","8","9","8","0","Dialogue typed-value admission and value normalization"
"crates/arcweft-dialogue/src/tests/character_dialogue.rs","arcweft-dialogue","test","33651","951","958","-7","0","8","9","8","0","Dialogue value order and normalization behavior"
"crates/arcweft-runtime-accelerator/src/external.rs","arcweft-runtime-accelerator","production","65691","1623","1623","0","0","3","11","0","0","External data and acceleration value conversions"
