id	layer	path	evidence_locator	current_old_authority	final_typed_authority	migration_order	required_deletion
U001	syntax producer	crates/arcweft-lang-syntax/src/parser/headers.rs	aa983fda6b0de36d2f6867085ecdc95e630c5d99:crates/arcweft-lang-syntax/src/parser/headers.rs#L1-EOF; symbols=parse_flow_signature; parse_contract_clause; split_contract_mode	detached IdRef/name/signature and ContractClause with expression clones	FlowItemNode identity/signature and dedicated attached clauses	Cut 1	delete string clause parser outputs and family vectors after central event emission
U002	syntax producer	crates/arcweft-lang-syntax/src/parser/flow.rs	aa983fda6b0de36d2f6867085ecdc95e630c5d99:crates/arcweft-lang-syntax/src/parser/flow.rs#L1-EOF; symbols=parse_flow; parse_flow_body; parse_flow_item_until_indent	detached Flow/FlowItem/Stmt, Raw fallback, body vector	attached FlowItemNode and statement-only body sequence	Cut 1	emit typed roles; no attached-to-detached projection
U003	syntax producer	crates/arcweft-lang-syntax/src/parser/await_.rs	aa983fda6b0de36d2f6867085ecdc95e630c5d99:crates/arcweft-lang-syntax/src/parser/await_.rs#L1-EOF; symbols=parse_await_with; parse_await_branch_body_line_range	AwaitWith with FlowItem clone bodies	AwaitWithStatement plus AttachedThreadFlowItem bodies	Cut 1	retain propagation/branch recovery in attached nodes
U004	syntax producer	crates/arcweft-lang-syntax/src/parser/control_flow.rs	aa983fda6b0de36d2f6867085ecdc95e630c5d99:crates/arcweft-lang-syntax/src/parser/control_flow.rs#L1-EOF; symbols=if/match/loop/while/for parsing	mixed detached expression/block carriers	dedicated statement roots and typed nested bodies	Cut 1	context selects typed statement kind, never text in HIR
U005	syntax producer	crates/arcweft-lang-syntax/src/parser/dialogue.rs	aa983fda6b0de36d2f6867085ecdc95e630c5d99:crates/arcweft-lang-syntax/src/parser/dialogue.rs#L1-EOF; symbols=speaker/content-call parsing	SpeakerLine and string ContentCall	DialogueContentApplicationExpression	Cut 1	delete legacy carriers in same public syntax series
U006	syntax producer	crates/arcweft-lang-syntax/src/parser/line_plan.rs	aa983fda6b0de36d2f6867085ecdc95e630c5d99:crates/arcweft-lang-syntax/src/parser/line_plan.rs#L1-EOF; symbols=thread and line-plan body parsing	ThreadBlock and FlowItem clone lists	AttachedThreadExpressionBody and accepted line-plan typed owner	Cut 1	share item grammar without value tail
U007	syntax classifier	crates/arcweft-lang-syntax/src/cst.rs	aa983fda6b0de36d2f6867085ecdc95e630c5d99:crates/arcweft-lang-syntax/src/cst.rs#L1-EOF; symbols=CstFlowItemKind; CstStructuredFlowBlockKind	coarse line classification feeding detached AST	final event kinds and typed contextual grammar	Cut 1	retain only lexer/CST responsibilities required by event parser
U008	syntax classifier	crates/arcweft-lang-syntax/src/cst/classify.rs	aa983fda6b0de36d2f6867085ecdc95e630c5d99:crates/arcweft-lang-syntax/src/cst/classify.rs#L1-EOF; symbols=flow_item_kind	string/coarse classification	typed SyntaxKind emission	Cut 1	no spelling gate; parser grammar remains authority
U009	syntax kind owner	crates/arcweft-lang-syntax/src/grammar/kinds.rs	aa983fda6b0de36d2f6867085ecdc95e630c5d99:crates/arcweft-lang-syntax/src/grammar/kinds.rs#L1-EOF; symbols=SyntaxKind; classifiers	Requires/Ensures only; DialogueCallExpression; missing dedicated body kinds	in-place exact variants in ATTACHED_SYNTAX_RUST_SCHEMA.md	Cut 1	delete old dialogue variant and exhaustive arms together
U010	syntax role owner	crates/arcweft-lang-syntax/src/grammar/roles.rs	aa983fda6b0de36d2f6867085ecdc95e630c5d99:crates/arcweft-lang-syntax/src/grammar/roles.rs#L1-EOF; symbols=SyntaxRole; SyntaxRoleClass; class; ordinal	family-split contract roles and Statement body order	ContractClause, ContractOperand, ThreadFlowItem, TrailingRecovery	Cut 1	extend original enums; no helper/extension trait
