role_tag	role	accepted_owner_variants	accepted_hir_id_kinds	rejected_owner_kinds	arbitrary_u32_predicate	exact_boundary	canonical_generator	source_anchor	owner_rationale
0x01	ImplicitUnitTail	SyntheticOwner::Expr	HirIdKind::Expr	Item, Scope, Local, Stmt, Type, Pattern, Capture	ordinal == 0	0 succeeds; 1 and u32::MAX fail	The source-backed block-like or conditional expression that requires the implicit Unit child owns one key at ordinal 0.	The checked zero-width omitted-tail or omitted-else insertion point.	The final typed block/conditional ExprId replaces the former syntax-node owner.
0x02	PredicateBoolReturn	SyntheticOwner::Item	HirIdKind::Item	Scope, Local, Expr, Stmt, Type, Pattern, Capture	ordinal == 0	0 succeeds; 1 and u32::MAX fail	The source-backed predicate ItemId owns its one synthetic Bool return type/value child at ordinal 0.	End of the fixed parameter group.	The predicate declaration ItemId replaces the former predicate syntax-node owner.
0x03	ProofUnitReturn	SyntheticOwner::Item	HirIdKind::Item	Scope, Local, Expr, Stmt, Type, Pattern, Capture	ordinal == 0	0 succeeds; 1 and u32::MAX fail	The source-backed proof ItemId owns its one synthetic Unit return type/value child at ordinal 0.	End of the fixed parameter group.	The proof declaration ItemId replaces the former proof syntax-node owner.
0x04	ElidedRegion	SyntheticOwner::Type	HirIdKind::Type	Item, Scope, Local, Expr, Stmt, Pattern, Capture	ordinal == 0	0 succeeds; 1 and u32::MAX fail	The source-backed reference TypeId owns exactly one elided region key at ordinal 0.	The parser-owned elision insertion immediately after the ampersand and before the next region/mutability/referent token.	Preserves the accepted v6.1.1.4.1.1 TypeId-owned elision contract.
0x05	RecoveryOperand	SyntheticOwner::Expr | SyntheticOwner::Stmt	HirIdKind::Expr | HirIdKind::Stmt	Item, Scope, Local, Type, Pattern, Capture	ordinal <= 1_023	0 and 1_023 succeed; 1_024 and u32::MAX fail	Use the exhaustive lowering matrix semantic child-role ordinal. Unary/single-child families use 0; binary left/right use 0/1; optional absent children consume no key. The ordinal is not reconstructed from vector position.	The exact missing-child insertion point owned by the recovered expression or statement.	Both expression and statement families have typed missing operands; no erased generic owner is introduced.
0x06	PostconditionResult	SyntheticOwner::Scope	HirIdKind::Scope	Item, Local, Expr, Stmt, Type, Pattern, Capture	ordinal == 0	0 succeeds; 1 and u32::MAX fail	The accepted ensures contract ScopeId owns exactly one synthetic result local at ordinal 0.	First ensures expression start; otherwise return-type end or fixed-parameter close when ensures exist but all expressions are recovered.	The result local is scoped to the ensures scope, not to syntax or an item-wide sentinel.
0x07	DesugaredTemporary	SyntheticOwner::Expr | SyntheticOwner::Stmt	HirIdKind::Expr | HirIdKind::Stmt	Item, Scope, Local, Type, Pattern, Capture	ordinal <= 1_023	0 and 1_023 succeed; 1_024 and u32::MAX fail	Within each owner and produced HirIdKind, enumerate lowering-recipe temporaries in semantic source order. Source-causing operators/tokens order the groups; a fixed recipe step order breaks ties. Counters use checked addition.	End of the source operator or token that requires the desugaring.	Current desugaring owners are typed expressions or statements; item/scope/pattern/type-specific syntheses use dedicated roles.
0x08	MissingRequiredTail	SyntheticOwner::Expr	HirIdKind::Expr	Item, Scope, Local, Stmt, Type, Pattern, Capture	ordinal == 0	0 succeeds; 1 and u32::MAX fail	The source-backed requiring expression owns one poisoned missing-tail child at ordinal 0.	The exact omitted required-tail insertion point.	The final requiring ExprId replaces the former block syntax-node owner.
0x09	DestructuredBinding	SyntheticOwner::Pattern	HirIdKind::Pattern	Item, Scope, Local, Expr, Stmt, Type, Capture	ordinal <= 1_023	0 and 1_023 succeed; 1_024 and u32::MAX fail	Depth-first preorder: tuple/sequence elements left-to-right, record fields in authored order, whole binding before its nested pattern; the first or-pattern alternative fixes ordinals.	Binding-name start.	The source-backed outer PatternId is the accepted local-allocation owner.
0x0a	ClosureEnvironment	SyntheticOwner::Expr	HirIdKind::Expr	Item, Scope, Local, Stmt, Type, Pattern, Capture	ordinal == 0	0 succeeds; 1 and u32::MAX fail	The source-backed closure ExprId owns exactly one environment child at ordinal 0.	Closure introducer end.	The environment is a semantic child of one closure expression.
0x0b	ClosureCapture	SyntheticOwner::Expr	HirIdKind::Expr	Item, Scope, Local, Stmt, Type, Pattern, Capture	ordinal <= 1_023	0 and 1_023 succeed; 1_024 and u32::MAX fail	Assign the next ordinal at the first source-ordered use of each distinct outer LocalId. Later uses reuse the CaptureId; hash-map iteration never assigns ordinals.	First captured use start.	The closure ExprId remains the accepted owner even though the allocated child is a CaptureId.
0x0c	ContractRequiresScope	SyntheticOwner::Item	HirIdKind::Item	Scope, Local, Expr, Stmt, Type, Pattern, Capture	ordinal == 0	0 succeeds; 1 and u32::MAX fail	The source-backed callable ItemId owns at most one requires ScopeId at ordinal 0.	First requires keyword start; fixed-parameter close when every requires clause is missing/recovered.	One callable declaration owns its requires contract scope.
0x0d	ContractEnsuresScope	SyntheticOwner::Item	HirIdKind::Item	Scope, Local, Expr, Stmt, Type, Pattern, Capture	ordinal == 0	0 succeeds; 1 and u32::MAX fail	The source-backed callable ItemId owns at most one ensures ScopeId at ordinal 0.	First ensures keyword start; return-type end or fixed-parameter close when every ensures clause is missing/recovered.	One callable declaration owns its ensures contract scope.
0x0e	ForIterator	SyntheticOwner::Stmt	HirIdKind::Stmt	Item, Scope, Local, Expr, Type, Pattern, Capture	ordinal == 0	0 succeeds; 1 and u32::MAX fail	The source-backed for StmtId owns one iterator temporary at ordinal 0.	End of the in token.	The iterator desugaring is statement-owned and has a dedicated role.
0x0f	ForNextValue	SyntheticOwner::Stmt	HirIdKind::Stmt	Item, Scope, Local, Expr, Type, Pattern, Capture	ordinal == 0	0 succeeds; 1 and u32::MAX fail	The source-backed for StmtId owns one next-value temporary at ordinal 0.	Loop body opening brace start.	The next-value desugaring is statement-owned and has a dedicated role.
0x10	IfLetScrutinee	SyntheticOwner::Expr | SyntheticOwner::Stmt	HirIdKind::Expr | HirIdKind::Stmt	Item, Scope, Local, Type, Pattern, Capture	ordinal == 0	0 succeeds; 1 and u32::MAX fail	The source-backed if-let expression or statement owns one scrutinee temporary at ordinal 0 when the lowering requires storage.	End of the equals token.	Arcweft retains both expression and statement if-let families.
0x11	WhileLetScrutinee	SyntheticOwner::Stmt	HirIdKind::Stmt	Item, Scope, Local, Expr, Type, Pattern, Capture	ordinal == 0	0 succeeds; 1 and u32::MAX fail	The source-backed while-let StmtId owns one scrutinee temporary at ordinal 0 when required.	End of the equals token.	While-let is statement-only in the accepted inventory.
0x12	MatchScrutinee	SyntheticOwner::Expr | SyntheticOwner::Stmt	HirIdKind::Expr | HirIdKind::Stmt	Item, Scope, Local, Type, Pattern, Capture	ordinal == 0	0 succeeds; 1 and u32::MAX fail	The source-backed match expression or statement owns one scrutinee temporary at ordinal 0 when required.	End of the match keyword.	Arcweft retains expression and statement match families.
0x13	PatternRest	SyntheticOwner::Pattern	HirIdKind::Pattern	Item, Scope, Local, Expr, Stmt, Type, Capture	ordinal == 0	0 succeeds; 1 and u32::MAX fail	The source-backed rest PatternId owns its one synthetic rest child at ordinal 0.	End of the rest token.	Rest identity is pattern-local and never inferred from a containing vector.
0x14	PostfixIndexCandidateExpression	SyntheticOwner::Expr	HirIdKind::Expr	Item, Scope, Local, Stmt, Type, Pattern, Capture	ordinal <= 1_023	0 and 1_023 succeed; 1_024 and u32::MAX fail	The source-backed postfix parent ExprId owns the index interpretation. Root ExprId is ordinal 0. Further candidate-only nodes use checked deterministic preorder within each produced HirIdKind; Expr descendants begin at 1 because the Expr root occupies 0. The shared target is excluded.	The accepted candidate component insertion/span inherited from AW-AH-009.4.2.	This is candidate-only identity; it never becomes the selected committed expression key.
