path_or_surface	current_evidence	required_change	delete	replacement	test_rows
crates/arcweft-lang-hir/src/final_project/runtime_semantic_owners.rs	Current complement-of-presentation inventory includes every non-presentation owner.	Replace in place with generation-bound root/edge/closure owner; retain one structural index/fixed point.	Delete HirRuntimeSemanticOwnerInventory, old error, zero-arg method.	HirRuntimeSemanticReachability and typed errors.	T011-T020,T053-T056
crates/arcweft-lang-hir/src/final_project/selected_expressions.rs	Selected expression traversal accepts old inventory outer set and callbacks.	Bind traversal to accepted reachability object and captured semantic decisions.	Delete impl on old inventory and repeated callbacks downstream.	Reachability::selected_expression_type_owners().	T018,T058-T059
crates/arcweft-lang-hir/src/final_project.rs	Exports old owner inventory symbols.	Export new owner/input/root/edge/path/identity types.	Delete old exports; no alias.	New HIR reachability API.	T053
crates/arcweft-lang-hir/src/final_project/tests.rs	Tests presentation subtraction/all-owner behavior.	Replace/add root, edge, closure, first-path, stale/missing/duplicate tests.	Delete assumptions that all non-presentation functions are runtime owners.	Graph tests.	T011-T020
crates/arcweft-lang-sema/src/final_analysis/model.rs	Owns CheckedFunctionExecution, CheckedSuspensionRole, CheckedItemRole.	Add exhaustive inherent runtime-emission classification on owner enum.	Delete compiler-local duplicate matches/helpers.	CheckedOrdinaryFunctionEmission.	T007-T010,T057-T060
crates/arcweft-lang-sema/src/callable/checked_catalog.rs	Single generation-bound callable/effect authority.	Expose exact project executable owner mapping through inherent catalog/fact method.	Delete any reachability mapping reconstructed from names.	CheckedRuntimeExecutableOwner projection.	T014-T016,T055
crates/arcweft-lang-sema/src/callable/facts.rs	CallTargetFact retains selected ResolvedCallable and exact call ID.	Use as sole direct-call edge source; no schema change required unless accessor needed.	No copied call-target side table.	Compiler edge projection.	T014-T016,T057
crates/arcweft-lang-sema/src/final_analysis/nominal_schema.rs	Persistence schema expander returns string path/reason for unsupported types.	Add typed path and OpaqueLeaf/UnsupportedLeaf errors; keep closed-schema projection.	Delete opaque failures collapsed to generic strings.	NominalSchemaPath and typed errors.	T021-T037,T061-T064
crates/arcweft-lang-sema/src/final_analysis/report.rs	Complete immutable facts/generation validation.	Retain completeness; optionally expose exact first direct suspension site from existing facts.	No reachability filtering in sema report.	Whole-project report remains.	T002-T005,T050
crates/arcweft-lang-sema/src/final_analysis/tests.rs	Whole-project semantic tests.	Prove unreachable functions still receive exact Await/Try/callable/opaque facts.	No dead-code semantic exemption.	Semantic retention tests.	T002-T006
crates/arcweft-compiler/src/lower.rs	Creates zero-arg all-owner inventory; runtime_nominal always schema-projects every retained owner reached by broad set.	Require accepted reachability; filter every fact loop; map typed opaque schema error; preflight before runtime_type.	Delete old inventory creation/import, unconditional Flow publication, skip/fallback behavior.	project_runtime_semantic_facts(..., reachability).	T001,T007-T049
crates/arcweft-compiler/src/lower/reachability.rs	New design module; no mod.rs.	Own root/edge projection, edge completeness proof, callable preflight.	N/A	RuntimeEmissionMode and RuntimeReachabilityProjectionError.	T007-T020,T053-T060
crates/arcweft-compiler/src/project.rs	Runtime facts currently projected before Entry runtime input; no reachability preflight.	Reorder checked Entry -> selection -> reachability -> preflight -> facts/full Entry projection.	Delete direct old project_runtime_semantic_facts call signature.	Atomic compile pipeline.	T001,T008-T010,T052
crates/arcweft-compiler/src/project/entry_runtime.rs	Builds complete Entry runtime snapshots and schema roles.	Add lightweight checked root/binding projection; full projection filtered by mode after preflight.	Delete any independent root scan/fallback.	Reachability roots + filtered RuntimeEntryLoweringInput.	T008-T010,T052,T069
crates/arcweft-compiler/src/project/registration.rs	Owns ProjectEntrySelection.	Map validated selection exactly to SelectedEntry mode.	No missing-selection fallback to all entries.	RuntimeEmissionMode::SelectedEntry.	T012,T052
crates/arcweft-compiler/tests and fixture harness	Fixture 013 currently blocked in runtime projection.	Keep source unchanged; add graph and diagnostic fixture variants.	No fixture-name/source gate.	CLI/check integration tests.	T001,T007-T010,T075
crates/arcweft-runtime-plan/src/semantic_facts.rs	Consumes old owner inventory; stores facts keyed by HIR IDs.	Admit one reachability identity and reject owner-outside-closure/missing reached facts.	Delete old inventory imports and any all-owner assumptions.	Reachability-bound RuntimePlanSemanticFacts.	T042-T049,T053-T060
crates/arcweft-runtime-plan/src/semantic_facts/tests.rs	Fact completeness/generation tests.	Add closure membership, digest, missing edge/owner, deterministic order tests.	Delete fixtures constructing facts without reachability identity.	New admission fixtures.	T011-T020,T048-T049
crates/arcweft-runtime-plan/src/final_flow.rs	Lowers all Flow facts and scans calls; skips unrelated effectful ordinary functions.	Consume filtered facts; defensively reject any reached unsupported callable rather than continue.	Delete silent continue for reached project function.	Exact reached helper inventory.	T042,T057-T060
crates/arcweft-runtime-plan/src/final_expr.rs	Consumes call/type facts.	Require every project call target to resolve inside admitted reachable callable set.	No name fallback.	Typed missing target error.	T014-T016,T045
crates/arcweft-runtime-plan/src/awbc_lower/inventory.rs	Builds AWBC inventory from RuntimePlan.	Emit only reached plan rows; preserve canonical order.	No source-declaration scan.	Filtered AWBC inventory.	T042,T046,T048
crates/arcweft-core/src/pattern.rs	Owns RuntimeCheckedType::Nominal/Opaque recursive acceptance.	No representation change; add parity/forgery regression tests only.	No Dynamic/Named success fallback.	Existing enum remains owner.	T028-T038,T043-T044,T062
crates/arcweft-core/src/value/nominal_record.rs	Owns schema-derived layout/value validation.	No layout split; test wrong layout/order and unreachable absence through callers.	No transient layout/witness type.	Existing RuntimeNominalRecordLayout/Value.	T025,T039,T044,T063-T064
crates/arcweft-core/src/value/opaque.rs	Owns producer and semantic identity for opaque values.	No schema fabrication; retain exact save/runtime checks.	No producer-wide fallback beyond existing admission contract.	Existing RuntimeOpaqueValue.	T038,T043,T066-T067
crates/arcweft-core/src/awbc/schema.rs	AWBC ABI/codec 1; Nominal/NominalRecord/Opaque rows.	No schema/version change; unreachable functions/types simply absent.	No V2/compatibility fields.	Existing schema.	T042-T047,T074,T076
crates/arcweft-core/src/awbc/type_projection.rs	Projects AWBC types/descriptors to checked runtime types.	Consume filtered rows; parity tests for closed nominal and opaque composites.	No alternate opaque-nominal projection.	Existing projection.	T043-T047
crates/arcweft-core/src/awbc/verify/structure.rs	Verifies table structure.	Permit absence of unreferenced source declarations; reject dangling emitted references.	No source-name recovery.	Existing structural verifier plus tests.	T045,T047
crates/arcweft-core/src/awbc/verify/code.rs	Verifies function/instruction type contracts.	Assert all CallFunction targets and frame types are present/exact.	No missing target fallback.	Existing code verifier.	T045-T047
crates/arcweft-core/src/awbc/vm.rs	Executes verified AWBC.	No HIR/sema reachability reader; execute emitted rows only.	No dynamic source function resolution.	Existing VM.	T042-T047
crates/arcweft-core/src/awbc/product_step/snapshot.rs	Owns AWBC executor live/save snapshot projection.	Prove unreachable frame/state absent and typed values validated.	No unreachable metadata serialization.	Existing snapshot DTOs.	T065-T069
crates/arcweft-core/src/value/awbc_save.rs	Owns recursive AwbcRuntimeValueSnapshot including nominal/opaque.	Retain exact producer/semantic/layout data; validate against active program before publication.	No generic live RuntimeValue deserialize bypass.	Existing typed DTO.	T065-T069
crates/arcweft-runtime-driver/src/session_save.rs	Bundle session schema version 1; validates AWBC snapshot against program.	Add regression coverage for filtered frames and forged identities/layouts.	No version bump/dual reader.	Existing save contract.	T065-T074
native RuntimePlan/AWBC execution consumers	Consume admitted runtime products.	Use same filtered inventory and checked-type/layout descriptors; add parity assertions.	No native-only reachability scan or layout fallback.	Same RuntimePlan/AWBC owners.	T042-T047
crates/arcweft-lsp/src/profiles/accepted_project.rs and semantic index consumers	Expose complete accepted project.	Add display-only RuntimeEmissionDisposition derived from compiler result.	No tooling-owned reachability computation.	Root/Reachable/NotSelected projection.	T050-T052,T056
crates/arcweft-cli/src/app/project.rs	Creates compile context and Entry selection.	Select CheckAll vs SelectedEntry explicitly; render typed diagnostics.	No fixture/source special case.	RuntimeEmissionMode mapping.	T001,T008-T010,T052,T075
tests/fixtures/arcw/current_pass/check/013_task_fn_await_shape.arcw	Maintained positive fixture.	No source change.	No gate/skip annotation.	Graph-based success.	T001-T003
