id,layer,owner_path,current_evidence,required_final_action,disposition,cut,acceptance
OWN-001,syntax AST,crates/arcweft-lang-syntax/src/expr.rs,source-less Expr::Try and typed Await coexist,add TryOperatorSource/TryExprSource/TryExpr; replace variant directly; leave Await types unchanged,replace,Cut 1,"SYN-001,SYN-002,SYN-026,SYN-027"
OWN-002,strict prefix parser,crates/arcweft-lang-syntax/src/expr/prefix.rs,general prefix Try constructs old node; direct try-await constructs typed Await,construct typed prefix Try for non-Await; preserve direct Await sugar and exact Await source,migrate,Cut 1,"SYN-002,SYN-003,SYN-007,SYN-024"
OWN-003,strict Pratt parser,crates/arcweft-lang-syntax/src/expr/pratt.rs,postfix ? constructs old node,construct typed postfix Try at token consumption with BP=100,migrate,Cut 1,"SYN-001,SYN-005,SYN-006"
OWN-004,expression source collector,crates/arcweft-lang-syntax/src/expr/source_ranges.rs,recovers Try spelling by strip_prefix/strip_suffix,delete spelling recovery; recurse using TryExprSource.operand and typed source slicing,delete+replace,Cut 1,"SYN-021,NOC-003"
OWN-005,private lossless expression grammar,crates/arcweft-lang-syntax/src/parser/expression.rs,ordinary prefix grammar lacks Try; dialogue owns separate prefix flag/wrapper,add ordinary prefix Try; remove has_try_prefix/wrapper; retain dialogue disambiguation only,delete+replace,Cut 1,"SYN-019,SYN-020,REC-011"
OWN-006,dialogue rescue parser,crates/arcweft-lang-syntax/src/parser/helpers.rs,strip_prefix(try) constructs old node and traversal helpers destructure it,delete Try rescue; parse full expression ordinarily; migrate accessors for plan attachment/traversal,delete+replace,Cut 1,"SYN-020,TOOL-006,NOC-002"
OWN-007,dialogue parser,crates/arcweft-lang-syntax/src/parser/dialogue.rs,old Try exhaustive matches,use TryExpr accessors only; no spelling recognition,migrate,Cut 1,TOOL-006
OWN-008,syntax view AST traversal,crates/arcweft-lang-syntax/src/ast/view.rs,old Try exhaustive matches,use operand()/into_parts(); ignore spelling semantically,migrate,Cut 1,TOOL-001
OWN-009,flow syntax source,crates/arcweft-lang-syntax/src/ast/flow.rs,Flow has signature but no exact signature/result source,add FlowSignatureSource field/accessors; parser fills exact ranges,extend,Cut 2,"HIR-002,BND-009,BND-010"
OWN-010,method syntax source,crates/arcweft-lang-syntax/src/ast/items.rs,ImplMember::Function lacks signature source,reuse FunctionSignatureSource on method member; do not create parallel source type,extend,Cut 2,"HIR-003,BND-008"
OWN-011,closure syntax source,crates/arcweft-lang-syntax/src/expr.rs; crates/arcweft-lang-syntax/src/expr/closure_parse.rs,closure return/body ranges are not retained,add ClosureExprSource to existing closure variant and construct exact whole/header/result/body ranges,extend,Cut 2,"HIR-004,BND-004,BND-006"
OWN-012,syntax tests,crates/arcweft-lang-syntax/src/expr/tests.rs,Await substrate tests exist; Try source tests absent,keep Await assertions; add complete Try/grouping/trivia/UTF-8/base/malformed matrix,extend,Cut 1,"SYN-*,REC-*"
OWN-013,call syntax tests,crates/arcweft-lang-syntax/src/expr/call_syntax_tests.rs,old Try pattern in call recovery coverage,migrate typed node and preserve recovery boundaries,migrate,Cut 1,REC-007
OWN-014,private bound fragment tests,crates/arcweft-lang-syntax/src/incremental/* and parser grammar tests,new typed fragment substrate is current main,consume existing BoundExpressionFragment/span and test exact Try CST/recovery; no redesign,test only,Cut 1,"SYN-022,REC-005"
OWN-015,HIR model,crates/arcweft-lang-hir/src/model.rs,HirFunction retains source; HirFlow lacks it; expressions carry old Try shape,retain FlowSignatureSource; migrate exhaustive Try matches; preserve function source,migrate+extend,Cuts 1-2,"HIR-001,HIR-002,HIR-005"
OWN-016,HIR lowering/project,crates/arcweft-lang-hir/src/project.rs and lowering owners,must carry new source fields without reparsing,copy typed syntax source facts through existing source map; no new catalog,migrate,Cut 2,HIR-001..HIR-007
OWN-017,HIR callable source,crates/arcweft-lang-hir/src/callable_source.rs,accepted declaration/signature/result evidence exists,consume unchanged; no new identity or duplicate record,reuse unchanged,Cut 2,"HIR-005,HIR-006"
OWN-018,checker context,crates/arcweft-lang-sema/src/checker.rs,expected_returns is type-only,replace atomically with return_propagation_frames; return checking shares it,replace,Cut 2,BND-*
OWN-019,module/function/flow/method entry,crates/arcweft-lang-sema/src/checker/module.rs,pushes type-only expected returns; stream path bypasses it,push exact boundary or generator barrier with typed evidence,migrate,Cut 2,BND-001..BND-016
OWN-020,closure checker,crates/arcweft-lang-sema/src/checker/expr/closure.rs,pushes declared/expected/None without source,push closure boundary with Known or Unconstrained plus exact source; shadow outer frame,migrate,Cut 2,BND-004..BND-007
OWN-021,expression checker dispatch,crates/arcweft-lang-sema/src/checker/expr.rs,destructures old Try and drops Await source before check,accept TryExpr/AwaitExpr nodes; pass typed operator/source evidence,migrate,Cut 3,"SEM-*,DIA-*"
OWN-022,Await checker,crates/arcweft-lang-sema/src/checker/suspension.rs,PropagateError returns ready type without boundary/error check,reuse existing Await node; invoke shared propagation checker with typed source,extend,Cut 3,"SEM-013..SEM-017,DIA-001..DIA-004"
OWN-023,propagation semantics,crates/arcweft-lang-sema/src/checker/propagation.rs (new responsibility module),no single owner exists,"own frame selection, Result/Option envelope rules, barrier handling, and compatibility; no extension trait",new final owner,Cuts 2-3,"SEM-*,BND-*"
OWN-024,sema source ranges,crates/arcweft-lang-sema/src/checker/source_ranges.rs,delegates to syntax source collector,consume typed Try ranges/source map; remove any Try spelling dependency,migrate,Cut 1,"DIA-*,NOC-003"
OWN-025,diagnostic payloads,crates/arcweft-lang-sema/src/diagnostics/propagation.rs (new responsibility module),no propagation evidence types,own boundary/target/operand typed diagnostic payloads,new final owner,Cut 3,DIA-*
OWN-026,diagnostic catalog,crates/arcweft-lang-sema/src/diagnostics/error.rs,existing structured enum/code mapping lacks propagation variants,"add four variants, inherent constructors, codes, primary/related conversion",extend existing,Cut 3,DIA-*
OWN-027,type compatibility,crates/arcweft-lang-sema/src/types/compatibility.rs,directional accepts exists,reuse after existing substitution/resolution; no implicit conversion or ad hoc helper,reuse unchanged unless concrete gap,Cut 3,SEM-002..SEM-012
OWN-028,callable catalog,crates/arcweft-lang-sema/src/callable/catalog.rs; publication.rs; schema.rs,accepted AW-AH-009.3 catalog/source exists,read existing record by same CallableDeclarationId; do not add catalog/resolver/table,reuse unchanged,Cut 2,"HIR-006,HIR-007,NOC-005"
OWN-029,Agent entry checker,crates/arcweft-lang-sema/src/entry/checker.rs,controller already resolves ordinary callable,leave role resolution unchanged; test same ID/source boundary; no name/role special case,reuse+test,Cuts 2-3,"BND-011,BND-012"
OWN-030,sema traversal/facts,crates/arcweft-lang-sema/src/fact_layer.rs; semantic.rs; semantic/traversal.rs; checker/expr/support.rs; checker/expr/partial.rs,old Try exhaustive matches,migrate to TryExpr accessors; source-facing facts may retain source variant,migrate,Cut 1,"TOOL-001,NOC-001"
OWN-031,project index,crates/arcweft-lang-sema/src/project_index/entities.rs; relations.rs; flow_control.rs,old Try exhaustive matches,migrate traversal only; no semantic spelling branch,migrate,Cut 1,TOOL-001
OWN-032,style token graph,crates/arcweft-lang-sema/src/style/token_graph.rs,old Try traversal,migrate AST traversal only; do not add CSS/Takumi route,migrate,Cut 1,"TOOL-001,NOC-007"
OWN-033,runtime-plan expression lowering,crates/arcweft-runtime-plan/src/expr.rs; expr/desugar.rs; expr/tests.rs,old Try pattern,use operand/into_parts and preserve existing semantic plan; do not branch on spelling,migrate,Cut 1,TOOL-002
OWN-034,runtime-plan flow/helpers,crates/arcweft-runtime-plan/src/flow/syntax_helpers.rs; host_request.rs; function_values.rs; line_task.rs,old Try traversal,migrate accessor/exhaustive matches; no Stream/wire redesign,migrate,Cut 1,TOOL-002
OWN-035,verifier,crates/arcweft-verify/src/lib.rs,old Try exhaustive match,migrate to one semantic Try; ignore spelling except source diagnostics,migrate,Cut 1,TOOL-003
OWN-036,Agent REPL,crates/arcweft-agent-repl/src/binding.rs,old Try traversal,migrate typed node; preserve diagnostics/source payload,migrate,"Cuts 1,4",TOOL-004
OWN-037,CLI bundle/view tooling,crates/arcweft-cli/src/app/bundle/view_mounts.rs,old Try traversal,migrate accessor; no CSS/Takumi path,migrate,Cut 1,"TOOL-005,NOC-007"
OWN-038,CLI Agent snapshot,crates/arcweft-cli/src/app/agent/native/repl_snapshot.rs,old Try traversal/snapshot,migrate typed payload; update snapshots only to final diagnostic contract,migrate,"Cuts 1,4","TOOL-005,DIA-012"
OWN-039,language docs,docs/01-language/result-option-context.md; docs/01-language/grammar.md,prefix/postfix are described but conversion/formatter prose may overstate production,"document both canonical spellings, no implicit conversion, no canonicalizing rewrite, exact grouping",update,Cut 4,DOC-001
OWN-040,implementation note,docs/implementation/2026-07-20-lang-01.1.1-await-source-slice.md and new implementation record,current note describes Await slice and old Try gap,"record correction, validation evidence, and unchanged Await substrate",update,Cut 4,DOC-002
OWN-041,formatter owner,no dedicated production Arcweft formatter found at pinned main,no current owner,do not create broad subsystem; bind any existing printer/refactoring to precedence rules and retain future parse-format-parse acceptance,no-op unless owner exists,Cut 4,FMT-*
OWN-042,LSP diagnostic adapter,crates/arcweft-lsp/src/diagnostics.rs,generic TypeCheckError -> shared ArcDiagnostic -> LSP projection already exists,reuse unchanged adapter shape; add exact code/primary/related UTF-8 and UTF-16 projection coverage and expected/actual-derived message coverage; no new LSP data schema or spelling recognizer,reuse+test,Cut 4,"TOOL-007,DIA-012"
