producer_id	retained_payload_or_family	tail_case	owner_variant	owner_identity	allocation_order	role	ordinal	child_kind	source_insertion_anchor	uniqueness_and_non_circularity	liveness_and_reuse	direct_tests
TP-01	HirBlockExpr { scope, statements, tail }	authored tail absent	SyntheticOwner::Expr	source-backed block ExprId	reserve block ExprId; reserve/create block ScopeId; lower statements; allocate tail; fill block payload	ImplicitUnitTail	0	HirIdKind::Expr	opening byte of authored close brace; recovered missing-close insertion otherwise	block root ExprId exists before tail and differs from child; one key per block	same transaction accepts reserved root; same (key,Expr) reuses one Unit ExprId and charges once	T-TAIL-BLOCK-01; T-TAIL-REUSE-01
TP-02	HirComputationBlockExpr { kind, scope, statements, tail }	allowed omission	SyntheticOwner::Expr	source-backed computation-block ExprId	reserve root ExprId and ScopeId; lower statements; classify expected result; allocate implicit tail; fill payload	ImplicitUnitTail	0	HirIdKind::Expr	close-brace start or recovered missing-close insertion	root exists before child; role 0 is unique under root	reserved/live root required; repeated pair reuses one Unit ExprId	T-TAIL-COMPUTE-01
TP-03	HirComputationBlockExpr { kind, scope, statements, tail }	required result absent	SyntheticOwner::Expr	source-backed computation-block ExprId	reserve root and scope; lower statements; determine required result; allocate poisoned tail; fill payload only after child/source staging	MissingRequiredTail	0	HirIdKind::Expr	close-brace start or recovered missing-close insertion	root is not the tail; only one required tail under root	same (key,Expr) reuses poisoned child and diagnostic identity; rollback removes both	T-TAIL-COMPUTE-02
TP-04	HirNamedBlockExpr { name, scope, statements, tail }	authored tail absent	SyntheticOwner::Expr	source-backed named-block ExprId	reserve root and named block scope; lower ordered statements; allocate tail; fill payload	ImplicitUnitTail	0	HirIdKind::Expr	close-brace start or recovered missing-close insertion	distinct source-backed named-block root owns one child	reserved/live root; pair reuse counts once	T-TAIL-NAMED-01
TP-05	HirClosureExpr { scope, parameters, result_type, body, captures }	required closure body missing	SyntheticOwner::Expr	source-backed closure ExprId	reserve closure ExprId and closure ScopeId; lower parameters/result type; allocate missing body ExprId; fill closure payload	MissingRequiredTail	0	HirIdKind::Expr	attached closure Body missing-component insertion immediately after the closure header separator	closure root exists before body; body child cannot own itself	reserved/live closure root; repeated pair reuses one poisoned body child	T-TAIL-CLOSURE-01
TP-06	HirIfExpr { condition, then_branch, else_branch }	else omitted under retained Unit-producing rule	SyntheticOwner::Expr	source-backed if ExprId	reserve if ExprId; lower condition/then branch; allocate implicit else; fill payload	ImplicitUnitTail	0	HirIdKind::Expr	zero-width end of the then branch from attached ElseBranch component	if root exists before else child; nested branch tails have different block roots	reserved/live if root; exact pair reuse	T-TAIL-IF-01
TP-07	HirIfLetExpr { scope, pattern, scrutinee, guard, then_branch, else_branch }	required branch/body component missing where retained matrix classifies MissingRequiredTail	SyntheticOwner::Expr	source-backed if-let ExprId	reserve if-let ExprId and binding scope; lower pattern/scrutinee/guard; allocate missing branch child; fill payload	MissingRequiredTail	0	HirIdKind::Expr	attached required branch component insertion; never a vector-derived position	if-let root exists before child and owns at most one MissingRequiredTail key; other missing operands use RecoveryOperand	reserved/live root; exact pair reuse and atomic rollback	T-TAIL-IFLET-01
TP-08	HirPredicateBody::Block { scope, statements, tail }	predicate tail omitted	SyntheticOwner::Scope	predicate body ScopeId	reserve body ScopeId; lower ordered predicate statements; determine required Bool tail; allocate poisoned tail ExprId; construct Block variant	MissingRequiredTail	0	HirIdKind::Expr	close-brace start or recovered missing-close insertion	body has no root ExprId; pre-existing body scope is allocated first and is not the tail	same-transaction staged scope is accepted only after reservation; pair reuses one poisoned tail	T-TAIL-PREDICATE-01; T-TAIL-SCOPE-LIVE-01
TP-09	HirProofBody::Block { scope, statements, tail }	Unit-return proof tail omitted	SyntheticOwner::Scope	proof body ScopeId	reserve body ScopeId; lower ordered proof statements; establish Unit return; allocate clean Unit tail ExprId; construct Block variant	ImplicitUnitTail	0	HirIdKind::Expr	close-brace start or recovered missing-close insertion	body scope exists before child and replaces former body syntax owner	staged/live scope required; repeated pair reuses clean Unit tail	T-TAIL-PROOF-UNIT-01; T-TAIL-SCOPE-LIVE-01
TP-10	HirProofBody::Block { scope, statements, tail }	non-Unit proof tail omitted	SyntheticOwner::Scope	proof body ScopeId	reserve body ScopeId; lower statements and expected return; allocate poisoned missing tail ExprId; construct Block variant	MissingRequiredTail	0	HirIdKind::Expr	close-brace start or recovered missing-close insertion	one body scope owns one exact-zero tail and is distinct from child	staged/live scope required; repeated pair reuses poisoned child; rollback removes scope and child	T-TAIL-PROOF-NONUNIT-01
TP-11	HirMatchArm { scope, pattern, guard, value, locals }	required arm value missing	SyntheticOwner::Scope	that arm's distinct ScopeId	reserve match root ExprId; for each arm reserve arm ScopeId in authored order; lower pattern/guard; allocate missing value under that scope; append arm record	MissingRequiredTail	0	HirIdKind::Expr	zero-width immediately after the arm fat arrow, or parser-owned missing-value insertion when recovered	each arm has a distinct pre-existing ScopeId, so multiple ordinal-zero keys under one match never collide	arm scope must be staged/live first; same arm reuses pair, different arms allocate distinct keys	T-TAIL-MATCH-01; T-TAIL-MATCH-02; T-TAIL-SCOPE-LIVE-01
