owner_crate_module	type	lowering_only_constructor	read_only_accessors	constructor_validation	visibility
arcweft-lang-hir::expr	HirName	try_new(Box<str>)	as_str	one canonical identifier; no normalization	public read-only; constructor pub(crate)
arcweft-lang-hir::expr	HirProjectSymbolSegment	try_new(Box<str>)	as_str	non-empty; Unicode letters/numbers/_/-; no control/separator	public read-only; constructor pub(crate)
arcweft-lang-hir::expr	HirPath	try_new(HirPathRoot, Box<[HirPathSegment]>)	root, segments	non-empty; valid typed segments	public read-only; constructor pub(crate)
arcweft-lang-hir::expr	HirPathResolutionContext	new(HirSnapshotId, ScopeId)	snapshot, owner_scope	scope module equals snapshot module	public read-only; constructor pub(crate)
arcweft-lang-hir::expr	HirTypeRegion	named | elided	variant access	named valid; elided owner TypeId/role/ordinal	public read-only; constructor pub(crate)
arcweft-lang-hir::expr	HirLifetimeRegistryPath	try_new(scope, segments, optional)	scope, segments, optional	valid scope/key; optional read only	public read-only; constructor pub(crate)
arcweft-lang-hir::expr	HirBigUint	try_new(Box<[u32]>)	limbs_le, is_zero	canonical limbs	public read-only; constructor pub(crate)
arcweft-lang-hir::expr	HirDecimalDigits	try_new(Box<[u8]>)	digits	0..9; canonical zero/no edge zeros	public read-only; constructor pub(crate)
arcweft-lang-hir::expr	HirDecimal	try_new(coefficient, scale, exponent10)	coefficient, scale, exponent10	all decimal limits	public read-only; constructor pub(crate)
arcweft-lang-hir::expr	HirCallExpr	try_new(callee, arguments, limit)	callee, arguments	same module; ordering; context limit	public read-only; constructor pub(crate)
arcweft-lang-hir::expr	HirAssociatedTypeReceiver	try_new(TypeId)	root	live same-module TypeId	public read-only; constructor pub(crate)
arcweft-lang-hir::expr	HirClosureParameter	try_new(pattern, ty, scope)	pattern, ty, local_scope	same module and scope ownership	public read-only; constructor pub(crate)
arcweft-lang-hir::expr	HirMatchArm	try_new(scope, pattern, guard, value, locals)	scope, pattern, guard, value, locals	same module; bindings visible guard/value only	public read-only; constructor pub(crate)
arcweft-lang-hir::expr	HirThreadExpr	try_new(name, mode, scope, body)	name, mode, scope, body	same module; detached capture policy	public read-only; constructor pub(crate)
arcweft-lang-hir::expr	HirDialogueContent	try_new(id, nodes, tags)	id, nodes, tags	contiguous node/tag IDs; node-to-tag references; argument locality; limits	public read-only; constructor pub(crate)
arcweft-lang-hir::expr	HirRichTextTag	try_new(id, identity, arguments, payload)	id, identity, arguments, payload	local IDs; payload child type; <=32 args	public read-only; constructor pub(crate)
arcweft-lang-hir::expr	HirRichTextArgument	positional | named | invalid	id, name?, value?/issue?	local ID; no default-on-error	public read-only; constructor pub(crate)
arcweft-lang-hir::expr::dialogue_application	HirEntityReference	preserved accepted constructor	preserved accepted accessors	preserved AW-AH-009.4.2 invariants	public read-only; constructor pub(crate)
arcweft-lang-hir::expr::dialogue_application	HirIdSuffix	preserved accepted constructor	preserved accepted accessors	preserved AW-AH-009.4.2 invariants	public read-only; constructor pub(crate)
arcweft-lang-hir::expr::dialogue_application	HirIdFamily	preserved accepted constructor	preserved accepted accessors	preserved AW-AH-009.4.2 invariants	public read-only; constructor pub(crate)
arcweft-lang-hir::expr::dialogue_application	HirRelativeId	preserved accepted constructor	preserved accepted accessors	preserved AW-AH-009.4.2 invariants	public read-only; constructor pub(crate)
arcweft-lang-hir::expr::dialogue_application	HirFamilyRelativeId	preserved accepted constructor	preserved accepted accessors	preserved AW-AH-009.4.2 invariants	public read-only; constructor pub(crate)
arcweft-lang-hir::expr::dialogue_application	HirIdRef	preserved accepted constructor	preserved accepted accessors	preserved AW-AH-009.4.2 invariants	public read-only; constructor pub(crate)
arcweft-lang-hir::expr::dialogue_application	HirDialogueCoordinate	preserved accepted constructor	preserved accepted accessors	preserved AW-AH-009.4.2 invariants	public read-only; constructor pub(crate)
arcweft-lang-hir::expr::dialogue_application	HirCallArgumentOrdinal	preserved accepted constructor	preserved accepted accessors	preserved AW-AH-009.4.2 invariants	public read-only; constructor pub(crate)
arcweft-lang-hir::expr::dialogue_application	HirLinePlan	preserved accepted constructor	preserved accepted accessors	preserved AW-AH-009.4.2 invariants	public read-only; constructor pub(crate)
arcweft-lang-hir::expr::dialogue_application	HirPostfixBracketCandidates	preserved accepted constructor	preserved accepted accessors	preserved AW-AH-009.4.2 invariants	public read-only; constructor pub(crate)
arcweft-lang-hir::expr::dialogue_application	HirPostfixCandidateFailure	preserved accepted constructor	preserved accepted accessors	preserved AW-AH-009.4.2 invariants	public read-only; constructor pub(crate)
arcweft-lang-hir::expr::dialogue_application	HirSourceSite	preserved accepted constructor	preserved accepted accessors	preserved AW-AH-009.4.2 invariants	public read-only; constructor pub(crate)
arcweft-lang-hir::expr::dialogue_application	HirInsertionPoint	preserved accepted constructor	preserved accepted accessors	preserved AW-AH-009.4.2 invariants	public read-only; constructor pub(crate)
arcweft-lang-hir::expr	HirTupleExpr	try_new(exact fields)	one accessor per field	all child IDs live, same module, required scope rule	public read-only; constructor pub(crate)
arcweft-lang-hir::expr	HirBracketSequenceExpr	try_new(exact fields)	one accessor per field	all child IDs live, same module, required scope rule	public read-only; constructor pub(crate)
arcweft-lang-hir::expr	HirArrayRepeatExpr	try_new(exact fields)	one accessor per field	all child IDs live, same module, required scope rule	public read-only; constructor pub(crate)
arcweft-lang-hir::expr	HirSelectExpr	try_new(exact fields)	one accessor per field	all child IDs live, same module, required scope rule	public read-only; constructor pub(crate)
arcweft-lang-hir::expr	HirIndexExpr	try_new(exact fields)	one accessor per field	all child IDs live, same module, required scope rule	public read-only; constructor pub(crate)
arcweft-lang-hir::expr	HirPipeExpr	try_new(exact fields)	one accessor per field	all child IDs live, same module, required scope rule	public read-only; constructor pub(crate)
arcweft-lang-hir::expr	HirTryExpr	try_new(exact fields)	one accessor per field	all child IDs live, same module, required scope rule	public read-only; constructor pub(crate)
arcweft-lang-hir::expr	HirAwaitExpr	try_new(exact fields)	one accessor per field	all child IDs live, same module, required scope rule	public read-only; constructor pub(crate)
arcweft-lang-hir::expr	HirRangeExpr	try_new(exact fields)	one accessor per field	all child IDs live, same module, required scope rule	public read-only; constructor pub(crate)
arcweft-lang-hir::expr	HirRecordExpr	try_new(exact fields)	one accessor per field	all child IDs live, same module, required scope rule	public read-only; constructor pub(crate)
arcweft-lang-hir::expr	HirRecordLiteralExpr	try_new(exact fields)	one accessor per field	all child IDs live, same module, required scope rule	public read-only; constructor pub(crate)
arcweft-lang-hir::expr	HirBinaryExpr	try_new(exact fields)	one accessor per field	all child IDs live, same module, required scope rule	public read-only; constructor pub(crate)
arcweft-lang-hir::expr	HirBorrowExpr	try_new(exact fields)	one accessor per field	all child IDs live, same module, required scope rule	public read-only; constructor pub(crate)
arcweft-lang-hir::expr	HirDereferenceExpr	try_new(exact fields)	one accessor per field	all child IDs live, same module, required scope rule	public read-only; constructor pub(crate)
