row_id	category	final_variant_or_record	allocation_key	parent_child_roles_and_ordinals	scope_and_local_visibility	known_family_vs_generic_recovery	omitted_tail_missing_tail_missing_operand	clean_query	poisoned_query	stale_query	foreign_query	synthetic_query	rolled_back_query	limits_charged	exact_boundary_assertion	one_over_rollback_assertion	test_ids
E01	expression	Unit	(SyntaxNodeId,HirIdKind::Expr) -> ExprId	none	inherit	known Unit; generic Error	not applicable	source_site(expected_source, HirSourceQuery::Expr { owner, role }) => Present(Span), owner_status Clean	source_site(expected_source, HirSourceQuery::Expr { owner, role }) => Present(Span|Insertion), owner_status Poisoned; typed issue retained	source_site(expected_source, HirSourceQuery::Expr { owner, role }) => WrongSourceDocument/StaleSourceRevision/SourceLengthMismatch; no projection	source_site(expected_source, HirSourceQuery::Expr { owner, role }) => owner-specific Resolve(WrongModule); no projection	source_site(expected_source, HirSourceQuery::Expr { owner, role }) => Present(Insertion) only for an accepted synthetic owner and applicable insertion role; otherwise owner-specific RoleNotApplicable or AbsentOptional; no insertion is fabricated	transaction returns no public owner ID; rollback receipt NotPublished; committed source index has no key	HIR expr slot	all preflight charges pass; one transaction commits IDs, source rows, scopes, diagnostics and results	preflight/checked allocation fails atomically; no prefix/truncation/replay/leak	T-E01; T-Q-01; T-RB-01; none
E02	expression	Literal	(SyntaxNodeId,HirIdKind::Expr) -> ExprId	LiteralBody/Prefix/Suffix/Unit through HirExprSourceRole; no source text in payload	inherit	malformed under limits => family-specific poisoned literal; hard limit => HirLowerError::Limit and no ID; unclassified => Error	missing body => family poison	source_site(expected_source, HirSourceQuery::Expr { owner, role }) => Present(Span), owner_status Clean	source_site(expected_source, HirSourceQuery::Expr { owner, role }) => Present(Span|Insertion), owner_status Poisoned; typed issue retained	source_site(expected_source, HirSourceQuery::Expr { owner, role }) => WrongSourceDocument/StaleSourceRevision/SourceLengthMismatch; no projection	source_site(expected_source, HirSourceQuery::Expr { owner, role }) => owner-specific Resolve(WrongModule); no projection	source_site(expected_source, HirSourceQuery::Expr { owner, role }) => Present(Insertion) only for an accepted synthetic owner and applicable insertion role; otherwise owner-specific RoleNotApplicable or AbsentOptional; no insertion is fabricated	transaction returns no public owner ID; rollback receipt NotPublished; committed source index has no key	SourceDocumentBytes 8,388,608; DecodedStringBytes 8,388,608; NumericDigits 65,536; DecimalCoefficient 65,536; scale 65,536; exponent abs 1,000,000	every exact leaf/source limit preflights; one transaction commits ExprId, source rows and canonical payload	each one-over returns exact HirLimitError and publishes no ExprId/source/diagnostic/checked value	T-E02; T-Q-02; T-RB-02; T-FLOAT-01; T-DUR-01; T-DURATION-IDENTITY-01; T-CHECKER-OVERFLOW-01; T-HIR-LIMIT-01
E03	expression	EntityReference	(SyntaxNodeId,HirIdKind::Expr) -> ExprId	ID components	inherit	HirIdRef poison; generic Error	missing ID body => ID poison	source_site(expected_source, HirSourceQuery::Expr { owner, role }) => Present(Span), owner_status Clean	source_site(expected_source, HirSourceQuery::Expr { owner, role }) => Present(Span|Insertion), owner_status Poisoned; typed issue retained	source_site(expected_source, HirSourceQuery::Expr { owner, role }) => WrongSourceDocument/StaleSourceRevision/SourceLengthMismatch; no projection	source_site(expected_source, HirSourceQuery::Expr { owner, role }) => owner-specific Resolve(WrongModule); no projection	source_site(expected_source, HirSourceQuery::Expr { owner, role }) => Present(Insertion) only for an accepted synthetic owner and applicable insertion role; otherwise owner-specific RoleNotApplicable or AbsentOptional; no insertion is fabricated	transaction returns no public owner ID; rollback receipt NotPublished; committed source index has no key	HIR expr	all preflight charges pass; one transaction commits IDs, source rows, scopes, diagnostics and results	preflight/checked allocation fails atomically; no prefix/truncation/replay/leak	T-E03; T-Q-03; T-RB-03; ID ref
E04	expression	LifetimePath	(SyntaxNodeId,HirIdKind::Expr) -> ExprId	RegistryScope; RegistryKeySegment[n]; OptionalMarker	inherit	registry poison; generic Error	missing scope => registry poison	source_site(expected_source, HirSourceQuery::Expr { owner, role }) => Present(Span), owner_status Clean	source_site(expected_source, HirSourceQuery::Expr { owner, role }) => Present(Span|Insertion), owner_status Poisoned; typed issue retained	source_site(expected_source, HirSourceQuery::Expr { owner, role }) => WrongSourceDocument/StaleSourceRevision/SourceLengthMismatch; no projection	source_site(expected_source, HirSourceQuery::Expr { owner, role }) => owner-specific Resolve(WrongModule); no projection	source_site(expected_source, HirSourceQuery::Expr { owner, role }) => Present(Insertion) only for an accepted synthetic owner and applicable insertion role; otherwise owner-specific RoleNotApplicable or AbsentOptional; no insertion is fabricated	transaction returns no public owner ID; rollback receipt NotPublished; committed source index has no key	RegistrySegments 256; RegistrySemanticBytes 65,536; NameBytes 1,024; HIR expr slot	exact registry counts/bytes and expr slot commit atomically	segment/byte one-over or checked-add overflow publishes no expression or prefix registry source rows	T-E04; T-Q-04; T-RB-04; lifetime registry
E05	expression	Path	(SyntaxNodeId,HirIdKind::Expr) -> ExprId	PathRoot; PathSegment[n]	inherit	path poison; generic Error	missing segment => path poison	source_site(expected_source, HirSourceQuery::Expr { owner, role }) => Present(Span), owner_status Clean	source_site(expected_source, HirSourceQuery::Expr { owner, role }) => Present(Span|Insertion), owner_status Poisoned; typed issue retained	source_site(expected_source, HirSourceQuery::Expr { owner, role }) => WrongSourceDocument/StaleSourceRevision/SourceLengthMismatch; no projection	source_site(expected_source, HirSourceQuery::Expr { owner, role }) => owner-specific Resolve(WrongModule); no projection	source_site(expected_source, HirSourceQuery::Expr { owner, role }) => Present(Insertion) only for an accepted synthetic owner and applicable insertion role; otherwise owner-specific RoleNotApplicable or AbsentOptional; no insertion is fabricated	transaction returns no public owner ID; rollback receipt NotPublished; committed source index has no key	PathSegments 256; PathSemanticBytes 65,536; NameBytes 1,024; HIR expr slot	exact path counts/bytes and expr slot commit atomically	segment/byte one-over or checked-add overflow publishes no expression or prefix path source rows	T-E05; T-Q-05; T-RB-05; path roots
E06	expression	ShortVariant	(SyntaxNodeId,HirIdKind::Expr) -> ExprId	ShortVariantName	inherit	invalid name poison; generic Error	missing name => name poison	source_site(expected_source, HirSourceQuery::Expr { owner, role }) => Present(Span), owner_status Clean	source_site(expected_source, HirSourceQuery::Expr { owner, role }) => Present(Span|Insertion), owner_status Poisoned; typed issue retained	source_site(expected_source, HirSourceQuery::Expr { owner, role }) => WrongSourceDocument/StaleSourceRevision/SourceLengthMismatch; no projection	source_site(expected_source, HirSourceQuery::Expr { owner, role }) => owner-specific Resolve(WrongModule); no projection	source_site(expected_source, HirSourceQuery::Expr { owner, role }) => Present(Insertion) only for an accepted synthetic owner and applicable insertion role; otherwise owner-specific RoleNotApplicable or AbsentOptional; no insertion is fabricated	transaction returns no public owner ID; rollback receipt NotPublished; committed source index has no key	HIR expr	all preflight charges pass; one transaction commits IDs, source rows, scopes, diagnostics and results	preflight/checked allocation fails atomically; no prefix/truncation/replay/leak	T-E06; T-Q-06; T-RB-06; short variant
E07	expression	Placeholder	(SyntaxNodeId,HirIdKind::Expr) -> ExprId	PlaceholderMarker	inherit	known placeholder poison; generic Error	missing marker => Error	source_site(expected_source, HirSourceQuery::Expr { owner, role }) => Present(Span), owner_status Clean	source_site(expected_source, HirSourceQuery::Expr { owner, role }) => Present(Span|Insertion), owner_status Poisoned; typed issue retained	source_site(expected_source, HirSourceQuery::Expr { owner, role }) => WrongSourceDocument/StaleSourceRevision/SourceLengthMismatch; no projection	source_site(expected_source, HirSourceQuery::Expr { owner, role }) => owner-specific Resolve(WrongModule); no projection	source_site(expected_source, HirSourceQuery::Expr { owner, role }) => Present(Insertion) only for an accepted synthetic owner and applicable insertion role; otherwise owner-specific RoleNotApplicable or AbsentOptional; no insertion is fabricated	transaction returns no public owner ID; rollback receipt NotPublished; committed source index has no key	HIR expr	all preflight charges pass; one transaction commits IDs, source rows, scopes, diagnostics and results	preflight/checked allocation fails atomically; no prefix/truncation/replay/leak	T-E07; T-Q-07; T-RB-07; both meanings
E08	expression	Tuple	(SyntaxNodeId,HirIdKind::Expr) -> ExprId	Element[n]	inherit	typed Tuple poison; generic Error	missing element => RecoveryOperand[n]	source_site(expected_source, HirSourceQuery::Expr { owner, role }) => Present(Span), owner_status Clean	source_site(expected_source, HirSourceQuery::Expr { owner, role }) => Present(Span|Insertion), owner_status Poisoned; typed issue retained	source_site(expected_source, HirSourceQuery::Expr { owner, role }) => WrongSourceDocument/StaleSourceRevision/SourceLengthMismatch; no projection	source_site(expected_source, HirSourceQuery::Expr { owner, role }) => owner-specific Resolve(WrongModule); no projection	source_site(expected_source, HirSourceQuery::Expr { owner, role }) => Present(Insertion) only for an accepted synthetic owner and applicable insertion role; otherwise owner-specific RoleNotApplicable or AbsentOptional; no insertion is fabricated	transaction returns no public owner ID; rollback receipt NotPublished; committed source index has no key	HIR expr + children	all preflight charges pass; one transaction commits IDs, source rows, scopes, diagnostics and results	preflight/checked allocation fails atomically; no prefix/truncation/replay/leak	T-E08; T-Q-08; T-RB-08; tuple
E09	expression	BracketSequence	(SyntaxNodeId,HirIdKind::Expr) -> ExprId	Element[n]	inherit	typed sequence poison; generic Error	missing element => RecoveryOperand[n]	source_site(expected_source, HirSourceQuery::Expr { owner, role }) => Present(Span), owner_status Clean	source_site(expected_source, HirSourceQuery::Expr { owner, role }) => Present(Span|Insertion), owner_status Poisoned; typed issue retained	source_site(expected_source, HirSourceQuery::Expr { owner, role }) => WrongSourceDocument/StaleSourceRevision/SourceLengthMismatch; no projection	source_site(expected_source, HirSourceQuery::Expr { owner, role }) => owner-specific Resolve(WrongModule); no projection	source_site(expected_source, HirSourceQuery::Expr { owner, role }) => Present(Insertion) only for an accepted synthetic owner and applicable insertion role; otherwise owner-specific RoleNotApplicable or AbsentOptional; no insertion is fabricated	transaction returns no public owner ID; rollback receipt NotPublished; committed source index has no key	HIR expr + children	all preflight charges pass; one transaction commits IDs, source rows, scopes, diagnostics and results	preflight/checked allocation fails atomically; no prefix/truncation/replay/leak	T-E09; T-Q-09; T-RB-09; bracket sequence
E10	expression	NumericBracketSequence	(SyntaxNodeId,HirIdKind::Expr) -> ExprId	NumericElement[n]; NumericCommonSuffix	inherit	typed sequence poison with MissingFinalElement/InvalidElement/ConflictingSuffix	missing final => MissingFinalElement { ordinal }	source_site(expected_source, HirSourceQuery::Expr { owner, role }) => Present(Span), owner_status Clean	source_site(expected_source, HirSourceQuery::Expr { owner, role }) => Present(Span|Insertion), owner_status Poisoned; typed issue retained	source_site(expected_source, HirSourceQuery::Expr { owner, role }) => WrongSourceDocument/StaleSourceRevision/SourceLengthMismatch; no projection	source_site(expected_source, HirSourceQuery::Expr { owner, role }) => owner-specific Resolve(WrongModule); no projection	source_site(expected_source, HirSourceQuery::Expr { owner, role }) => Present(Insertion) only for an accepted synthetic owner and applicable insertion role; otherwise owner-specific RoleNotApplicable or AbsentOptional; no insertion is fabricated	transaction returns no public owner ID; rollback receipt NotPublished; committed source index has no key	leaf element/digit + HIR expr	all preflight charges pass; one transaction commits IDs, source rows, scopes, diagnostics and results	preflight/checked allocation fails atomically; no prefix/truncation/replay/leak	T-E10; T-Q-10; T-RB-10; compact sequence
