Path	Baseline	Access	Repository-aware finding
AGENTS.md	4fd6331dc342d30a7f4ac7774852b60801866ef7	GitHub connector read at exact commit	repository-wide architecture, direct-final change, owned-enum behavior, behavior tests, artifact packaging rules
Cargo.toml	4fd6331dc342d30a7f4ac7774852b60801866ef7	GitHub connector read at exact commit	workspace members, edition 2024, rust-version 1.96, dependency directions
docs/implementation/2026-07-22-lang-01-1-1-2-project-nominal-resolution-intake.md	4fd6331dc342d30a7f4ac7774852b60801866ef7	GitHub connector read at exact commit	implemented nominal resolver boundary and pending adapter projection split
crates/arcweft-rust-abi/Cargo.toml	4fd6331dc342d30a7f4ac7774852b60801866ef7	GitHub connector read at exact commit	Sans I/O dependency surface
crates/arcweft-rust-abi/src/lib.rs	4fd6331dc342d30a7f4ac7774852b60801866ef7	GitHub connector read at exact commit	current Named carrier, package/type/function metadata, JSON codec, trait boundary
crates/arcweft-rust-abi-macros/src/lib.rs	4fd6331dc342d30a7f4ac7774852b60801866ef7	GitHub connector read at exact commit	derive/export emission and current generic limitations
crates/arcweft-adapter-context/Cargo.toml	4fd6331dc342d30a7f4ac7774852b60801866ef7	GitHub connector read at exact commit	optional sema dependency direction
crates/arcweft-adapter-context/src/manifest.rs	4fd6331dc342d30a7f4ac7774852b60801866ef7	GitHub connector read at exact commit	AdapterTypeKind, Rust manifest ingestion, current context-free conversion
crates/arcweft-adapter-context/src/callable.rs	4fd6331dc342d30a7f4ac7774852b60801866ef7	GitHub connector read at exact commit	curried parameter groups and method receiver carrier
crates/arcweft-adapter-context/src/publication.rs	4fd6331dc342d30a7f4ac7774852b60801866ef7	GitHub connector read at exact commit	current pre-world publication construction and Rust provenance
crates/arcweft-adapter-context/src/codec.rs	4fd6331dc342d30a7f4ac7774852b60801866ef7	GitHub connector read at exact commit	current string type carrier and schema version
crates/arcweft-adapter-context/src/manifest/registration.rs	4fd6331dc342d30a7f4ac7774852b60801866ef7	GitHub connector read at exact commit	source-backed fact generation and current fact split
crates/arcweft-adapter-context/src/manifest/tests.rs	4fd6331dc342d30a7f4ac7774852b60801866ef7	GitHub connector read at exact commit	current Rust type/publication expectations
crates/arcweft-adapter-context/src/standard.rs	4fd6331dc342d30a7f4ac7774852b60801866ef7	GitHub connector read at exact commit	current standard Named nominal uses
