id	component_or_case	query_or_owner	outcome	attached_authority	applicability	validation_or_precedence	diagnostic_or_atomic_behavior
Q01	Flow item whole	Item{ItemId,Whole}	Span	attached FlowItem node	always	qualified ID/liveness -> role -> expected document/revision -> lookup	wrong/stale/foreign typed error; no source fallback
Q02	keyword	Item Keyword	Span	flow keyword token	always	same	missing impossible after Flow family recognition; invariant failure if absent
Q03	visibility	Item Visibility	Span or RoleNotApplicable	attached visibility node	optional	role applicability before expected source	absence is not insertion and not poison
Q04	public ID	Item PublicId	Span or RoleNotApplicable	DeclarationPublicId node/marker	identity-dependent	role applicability before source check	wrong family remains semantic identity issue, site retained
Q05	name	Item Name	Span or Insertion	NameDefinition or MissingName insertion	all identity states	same	missing identity query returns insertion
Q06	generic group/parameter	Item GenericGroup / GenericParameter{n}	Span	attached generic nodes	optional/bounded	ordinal bounds before source identity	bad ordinal typed error
Q07	parameter group/part	Item ParameterGroup / Parameter{n,part}	Span or Insertion	attached parameter/pattern/type/token	optional/bounded	ordinal then part applicability	missing colon/type returns insertion/child site
Q08	return	Item Return{Whole|Arrow|Type}	Span, Insertion, or RoleNotApplicable	attached ReturnType or MissingType	authored only	role applicability then source	OmittedUnit has no Return role and no fake insertion
Q09	where	Item WhereClause / WherePredicate{n}	Span	attached typed where nodes	optional	ordinal before source	malformed predicate child source remains Type owner
Q10	contract whole/keyword/mode/operand/delimiter	Item ContractClause{ordinal,part}	Span, Insertion, or RoleNotApplicable	heterogeneous attached clause role	clause-dependent	contract ordinal -> part applicability -> source	missing operand/close returns insertion; absent mode RoleNotApplicable
Q11	body whole/open/close	Item Body/BodyOpen/BodyClose	Span or Insertion	FlowBody/MissingBody/close recovery	always after Flow recognition	same	missing body/body close insertion owned by Item role
Q12	trailing recovery	Item TrailingRecovery{n}	Span or Insertion	attached recovery node	optional	ordinal before source	only committed recovery rows queryable
Q13	callable scope	Scope{callable,Whole}	Span	Flow item whole	always	scope liveness then source	no copied item range; index relation points to same SourceSpan identity
Q14	contract scopes	Scope{requires|ensures,SyntheticOrigin}	Insertion or clause keyword Span	first applicable clause or signature end	always	scope liveness then source	empty phase uses signature-end insertion
Q15	body scope	Scope{body,Whole/Open/Close}	Span or Insertion	FlowBody source	always	scope liveness then source	missing body uses Body insertion
Q16	parameter/body local	Local roles	Span or Insertion	pattern/name/type attached child	local-dependent	Local liveness then role/source	child poison retained without copied diagnostic
Q17	result local	Local{result,SyntheticOrigin}	Insertion	signature end	iff Ensures exists	Local liveness then role/source	query absent when result local not published
Q18	Thread body whole/open/close	ThreadBody owner + role	Span or Insertion	context-specific attached body	always for committed body	owner liveness then role/source	no tail role exists
Q19	Thread body item relation	ThreadBody Item{n,Whole|ChildWhole}	Span	attached item whole; ChildWhole must equal child whole site	per item	ordinal -> discriminant/child kind -> source	substitution, duplicate or reorder fails source freeze transaction
Q20	child components	Stmt/Expr/Pattern/Type existing role enums	Span or Insertion	child attached owner	kind-specific	accepted query order	Flow does not copy child sites
