row_class,site_variant,slot,current_owner,current_field_path,mandatory_final_field_or_wrapper,lowering_source,admission_resolution,deliberate_exclusion
independent_type_declaration_prerequisite,TypeDeclaration,Declaration(type_id),RuntimePlan,type_declarations (absent today),RuntimePlan.type_declarations: Vec<RuntimePlanTypeDeclaration>,RuntimePlanSemanticFacts.types + accepted producer facts,index bounds; declaration semantic/root/check type must resolve exactly in AdmittedRuntimeGeneration,
direct_runtime_plan_typed_site,Entry,State,RuntimeEntrySpec,"roles.Stateful.state.{identity,layout,schema}",RuntimeNominalRole.ty: RuntimePlanTypeId,accepted state nominal HIR fact,resolve ty declaration; nominal/layout/schema projection must equal declaration,
direct_runtime_plan_typed_site,Entry,Event,RuntimeEntrySpec,"roles.Stateful.event.{identity,layout,schema}",RuntimeNominalRole.ty: RuntimePlanTypeId,accepted event nominal HIR fact,same as State,
direct_runtime_plan_typed_site,Entry,CommandPayload(command:u32),RuntimeEntrySpec,"roles.Stateful.command_policy.admitted[i].{payload_layout,payload_schema}",RuntimeCommandContract.payload_ty: RuntimePlanTypeId,accepted command payload semantic fact,command index bounds; declaration layout/schema must equal current fields,
direct_runtime_plan_typed_site,FlowExecutable,Parameter(parameter:u32),RuntimeFlowExecutable,"parameters[i].{nominal,layout}",RuntimeFlowExecutableParameter.ty: RuntimePlanTypeId,accepted flow signature parameter fact,position equals i; declaration nominal/layout equals metadata; function lowering uses same ID,
direct_runtime_plan_typed_site,PureHelper,Parameter(parameter:u32),RuntimePureHelper,input_types[i] coarse ABI,input_type_ids: Vec<RuntimePlanTypeId>,accepted callable signature,length equals input_names/input_types; checked projection matches coarse ABI,
direct_runtime_plan_typed_site,PureHelper,Result,RuntimePureHelper,output_type coarse ABI,output_type_id: RuntimePlanTypeId,accepted callable result,checked projection matches coarse ABI,
direct_runtime_plan_typed_site,PureHelperExpression,Node(path),RuntimePureHelper,expr: RuntimeExpr,expr: RuntimeTypedExpr,final expression semantic facts,complete exact RuntimeExpr node table; root equals output_type_id,
direct_runtime_plan_typed_site,TraitMethod,Receiver,RuntimeTraitMethod,receiver mode only,receiver_type_id: RuntimePlanTypeId,accepted impl method receiver,checked type and ownership mode validated together,
direct_runtime_plan_typed_site,TraitMethod,Parameter(parameter:u32),RuntimeTraitMethod,input_types[i] coarse ABI,input_type_ids: Vec<RuntimePlanTypeId>,accepted method signature,length/name/ABI projection exact,
direct_runtime_plan_typed_site,TraitMethod,Result,RuntimeTraitMethod,output_type coarse ABI,output_type_id: RuntimePlanTypeId,accepted method result,checked projection matches coarse ABI,
direct_runtime_plan_typed_site,TraitMethodExpression,Node(path),RuntimeTraitMethod,body: RuntimeExpr,body: RuntimeTypedExpr,final method expression facts,complete exact RuntimeExpr node table; root equals output_type_id,
direct_runtime_plan_typed_site,FlowConstant,Binding(binding:u32),FlowOp::Bind,bindings[i].value: RuntimeValue,"bindings[i]: RuntimeTypedBinding { name, value, ty }",lowered binding semantic fact,derive actual value shape/descriptor; compare exact declaration,
direct_runtime_plan_typed_site,FlowExpression,Let.Value,FlowOp::Let,expr,expr: RuntimeTypedExpr,final_flow lowering fact for Let.expr,resolve Flow coordinate then wrapper root/node rows; optional field absence emits no site,
direct_runtime_plan_typed_site,FlowExpression,LetElse.Value,FlowOp::LetElse,expr,expr: RuntimeTypedExpr,final_flow lowering fact for LetElse.expr,resolve Flow coordinate then wrapper root/node rows; optional field absence emits no site,
direct_runtime_plan_typed_site,FlowExpression,AwaitMany.Source,FlowOp::AwaitMany,target.source,target.source: RuntimeTypedExpr,final_flow lowering fact for AwaitMany.target.source,resolve Flow coordinate then wrapper root/node rows; optional field absence emits no site,
direct_runtime_plan_typed_site,FlowExpression,If.Condition,FlowOp::If,condition,condition: RuntimeTypedExpr,final_flow lowering fact for If.condition,resolve Flow coordinate then wrapper root/node rows; optional field absence emits no site,
direct_runtime_plan_typed_site,FlowExpression,IfLet.Scrutinee,FlowOp::IfLet,expr,expr: RuntimeTypedExpr,final_flow lowering fact for IfLet.expr,resolve Flow coordinate then wrapper root/node rows; optional field absence emits no site,
direct_runtime_plan_typed_site,FlowExpression,IfLet.Guard,FlowOp::IfLet,guard,guard: RuntimeTypedExpr,final_flow lowering fact for IfLet.guard,resolve Flow coordinate then wrapper root/node rows; optional field absence emits no site,
direct_runtime_plan_typed_site,FlowExpression,Match.Scrutinee,FlowOp::Match,scrutinee,scrutinee: RuntimeTypedExpr,final_flow lowering fact for Match.scrutinee,resolve Flow coordinate then wrapper root/node rows; optional field absence emits no site,
direct_runtime_plan_typed_site,FlowExpression,Match.ArmGuard(arm:u32),FlowOp::Match,arms[arm].guard,arms[arm].guard: RuntimeTypedExpr,final_flow lowering fact for Match.arms[arm].guard,resolve Flow coordinate then wrapper root/node rows; optional field absence emits no site,
direct_runtime_plan_typed_site,FlowExpression,While.Condition,FlowOp::While,condition,condition: RuntimeTypedExpr,final_flow lowering fact for While.condition,resolve Flow coordinate then wrapper root/node rows; optional field absence emits no site,
direct_runtime_plan_typed_site,FlowExpression,WhileNext.Condition,FlowOp::WhileNext,condition,condition: RuntimeTypedExpr,final_flow lowering fact for WhileNext.condition,resolve Flow coordinate then wrapper root/node rows; optional field absence emits no site,
direct_runtime_plan_typed_site,FlowExpression,WhileLet.Scrutinee,FlowOp::WhileLet,expr,expr: RuntimeTypedExpr,final_flow lowering fact for WhileLet.expr,resolve Flow coordinate then wrapper root/node rows; optional field absence emits no site,
direct_runtime_plan_typed_site,FlowExpression,WhileLet.Guard,FlowOp::WhileLet,guard,guard: RuntimeTypedExpr,final_flow lowering fact for WhileLet.guard,resolve Flow coordinate then wrapper root/node rows; optional field absence emits no site,
direct_runtime_plan_typed_site,FlowExpression,WhileLetNext.Scrutinee,FlowOp::WhileLetNext,expr,expr: RuntimeTypedExpr,final_flow lowering fact for WhileLetNext.expr,resolve Flow coordinate then wrapper root/node rows; optional field absence emits no site,
direct_runtime_plan_typed_site,FlowExpression,WhileLetNext.Guard,FlowOp::WhileLetNext,guard,guard: RuntimeTypedExpr,final_flow lowering fact for WhileLetNext.guard,resolve Flow coordinate then wrapper root/node rows; optional field absence emits no site,
direct_runtime_plan_typed_site,FlowExpression,For.Source,FlowOp::For,source,source: RuntimeTypedExpr,final_flow lowering fact for For.source,resolve Flow coordinate then wrapper root/node rows; optional field absence emits no site,
direct_runtime_plan_typed_site,FlowExpression,LetScope.Value,FlowOp::LetScope,value,value: RuntimeTypedExpr,final_flow lowering fact for LetScope.value,resolve Flow coordinate then wrapper root/node rows; optional field absence emits no site,
direct_runtime_plan_typed_site,FlowExpression,Break.Value,FlowOp::Break,0,0: RuntimeTypedExpr,final_flow lowering fact for Break.0,resolve Flow coordinate then wrapper root/node rows; optional field absence emits no site,
direct_runtime_plan_typed_site,FlowExpression,GotoExpr.Target,FlowOp::GotoExpr,0,0: RuntimeTypedExpr,final_flow lowering fact for GotoExpr.0,resolve Flow coordinate then wrapper root/node rows; optional field absence emits no site,
direct_runtime_plan_typed_site,FlowExpression,ReturnExpr.Value,FlowOp::ReturnExpr,0,0: RuntimeTypedExpr,final_flow lowering fact for ReturnExpr.0,resolve Flow coordinate then wrapper root/node rows; optional field absence emits no site,
