owner_enum,tag,tag_hex,variant,payload_grammar
AwbcPatternTypedSlot,0,0x00,BindExpected,none
AwbcPatternTypedSlot,1,0x01,DiscardExpected,none
AwbcPatternTypedSlot,2,0x02,LiteralExpected,none
AwbcPatternTypedSlot,3,0x03,EntityExpected,none
AwbcPatternTypedSlot,4,0x04,TupleExpected,none
AwbcPatternTypedSlot,5,0x05,RecordExpected,none
AwbcPatternTypedSlot,6,0x06,SequenceExpected,none
AwbcPatternTypedSlot,7,0x07,VariantExpected,none
AwbcPatternTypedSlot,8,0x08,WholeExpected,none
AwbcSignatureTypedSlot,0,0x00,Parameter,parameter:u32_le
AwbcSignatureTypedSlot,1,0x01,Result,none
AwbcTaskPlanTypedSlot,0,0x00,Parameter,parameter:u32_le
AwbcTaskPlanTypedSlot,1,0x01,Result,none
AwbcTaskPlanTypedSlot,2,0x02,AwaitManyItem,none
AwbcEffectPlanTypedSlot,0,0x00,Parameter,parameter:u32_le
AwbcEffectPlanTypedSlot,1,0x01,Result,none
AwbcEffectPlanTypedSlot,2,0x02,StaticArgument,argument:u32_le
AwbcLineTaskGroupTypedSlot,0,0x00,OptionValue,option:u32_le
AwbcLineTaskGroupTypedSlot,1,0x01,BindingsParameter,parameter:u32_le
AwbcLineTaskGroupTypedSlot,2,0x02,BindingsResult,none
AwbcLineTaskGroupTypedSlot,3,0x03,OutParameter,parameter:u32_le
AwbcLineTaskGroupTypedSlot,4,0x04,OutResult,none
AwbcLineTaskGroupTypedSlot,5,0x05,CancelHandlerParameter,handler:u32_le || parameter:u32_le
AwbcLineTaskGroupTypedSlot,6,0x06,CancelHandlerResult,handler:u32_le
AwbcStreamPlanTypedSlot,0,0x00,Item,none
AwbcStreamPlanTypedSlot,1,0x01,Error,none
AwbcStreamPlanTypedSlot,2,0x02,TransformParameter,parameter:u32_le
AwbcStreamPlanTypedSlot,3,0x03,TransformResult,none
AwbcSourcePlanTypedSlot,0,0x00,Item,none
AwbcSourcePlanTypedSlot,1,0x01,Error,none
AwbcSourcePlanTypedSlot,2,0x02,OpenParameter,parameter:u32_le
AwbcSourcePlanTypedSlot,3,0x03,OpenResult,none
AwbcSourcePlanTypedSlot,4,0x04,HandlerPattern,handler:u32_le
AwbcSourcePlanTypedSlot,5,0x05,HandlerParameter,handler:u32_le || parameter:u32_le
AwbcSourcePlanTypedSlot,6,0x06,HandlerResult,handler:u32_le
AwbcPureHelperTypedSlot,0,0x00,Parameter,parameter:u32_le
AwbcPureHelperTypedSlot,1,0x01,Result,none
AwbcTraitMethodTypedSlot,0,0x00,Parameter,parameter:u32_le
AwbcTraitMethodTypedSlot,1,0x01,Result,none
AwbcTraitMethodTypedSlot,2,0x02,ReceiverState,none
AwbcFlowExecutableTypedSlot,0,0x00,Parameter,parameter:u32_le
AwbcEntryTypedSlot,0,0x00,Parameter,parameter:u32_le
AwbcEntryTypedSlot,1,0x01,Result,none
