id,source_owner,runtime_nodes,accepted_type_source,classification,error_precedence,disposition
SRC-001,HirExprKind::Unit,source root [0] and every present child,RuntimePlanSemanticFacts::expression_type(owner); child source ExprId uses its own accepted expression_type,RuntimeNormalizedType::runtime_plan_type_kind,MissingExpressionType / DuplicateFact / WrongProjectGeneration / WrongOwnerFamily / UnsupportedRuntimeShape,lower and seal RuntimeTypedExpr
SRC-002,HirExprKind::Literal,source root [0] and every present child,RuntimePlanSemanticFacts::expression_type(owner); child source ExprId uses its own accepted expression_type,RuntimeNormalizedType::runtime_plan_type_kind,MissingExpressionType / DuplicateFact / WrongProjectGeneration / WrongOwnerFamily / UnsupportedRuntimeShape,lower and seal RuntimeTypedExpr
SRC-003,HirExprKind::NumericBracketSequence,source root [0] and every present child,RuntimePlanSemanticFacts::expression_type(owner); child source ExprId uses its own accepted expression_type,RuntimeNormalizedType::runtime_plan_type_kind,MissingExpressionType / DuplicateFact / WrongProjectGeneration / WrongOwnerFamily / UnsupportedRuntimeShape,lower and seal RuntimeTypedExpr
SRC-004,HirExprKind::EntityReference,source root [0] and every present child,RuntimePlanSemanticFacts::expression_type(owner); child source ExprId uses its own accepted expression_type,RuntimeNormalizedType::runtime_plan_type_kind,MissingExpressionType / DuplicateFact / WrongProjectGeneration / WrongOwnerFamily / UnsupportedRuntimeShape,lower and seal RuntimeTypedExpr
SRC-005,HirExprKind::Path,source root [0] and every present child,RuntimePlanSemanticFacts::expression_type(owner); child source ExprId uses its own accepted expression_type,RuntimeNormalizedType::runtime_plan_type_kind,MissingExpressionType / DuplicateFact / WrongProjectGeneration / WrongOwnerFamily / UnsupportedRuntimeShape,lower and seal RuntimeTypedExpr
SRC-006,HirExprKind::ShortVariant,source root [0] and every present child,RuntimePlanSemanticFacts::expression_type(owner); child source ExprId uses its own accepted expression_type,RuntimeNormalizedType::runtime_plan_type_kind,MissingExpressionType / DuplicateFact / WrongProjectGeneration / WrongOwnerFamily / UnsupportedRuntimeShape,lower and seal RuntimeTypedExpr
SRC-007,HirExprKind::Tuple,source root [0] and every present child,RuntimePlanSemanticFacts::expression_type(owner); child source ExprId uses its own accepted expression_type,RuntimeNormalizedType::runtime_plan_type_kind,MissingExpressionType / DuplicateFact / WrongProjectGeneration / WrongOwnerFamily / UnsupportedRuntimeShape,lower and seal RuntimeTypedExpr
SRC-008,HirExprKind::BracketSequence,source root [0] and every present child,RuntimePlanSemanticFacts::expression_type(owner); child source ExprId uses its own accepted expression_type,RuntimeNormalizedType::runtime_plan_type_kind,MissingExpressionType / DuplicateFact / WrongProjectGeneration / WrongOwnerFamily / UnsupportedRuntimeShape,lower and seal RuntimeTypedExpr
SRC-009,HirExprKind::ArrayRepeat,source root [0] and every present child,RuntimePlanSemanticFacts::expression_type(owner); child source ExprId uses its own accepted expression_type,RuntimeNormalizedType::runtime_plan_type_kind,MissingExpressionType / DuplicateFact / WrongProjectGeneration / WrongOwnerFamily / UnsupportedRuntimeShape,lower and seal RuntimeTypedExpr
SRC-010,HirExprKind::Call,source root [0] and every present child,RuntimePlanSemanticFacts::expression_type(owner); child source ExprId uses its own accepted expression_type,RuntimeNormalizedType::runtime_plan_type_kind,MissingExpressionType / DuplicateFact / WrongProjectGeneration / WrongOwnerFamily / UnsupportedRuntimeShape,lower and seal RuntimeTypedExpr
SRC-011,HirExprKind::Select,source root [0] and every present child,RuntimePlanSemanticFacts::expression_type(owner); child source ExprId uses its own accepted expression_type,RuntimeNormalizedType::runtime_plan_type_kind,MissingExpressionType / DuplicateFact / WrongProjectGeneration / WrongOwnerFamily / UnsupportedRuntimeShape,lower and seal RuntimeTypedExpr
SRC-012,HirExprKind::Range,source root [0] and every present child,RuntimePlanSemanticFacts::expression_type(owner); child source ExprId uses its own accepted expression_type,RuntimeNormalizedType::runtime_plan_type_kind,MissingExpressionType / DuplicateFact / WrongProjectGeneration / WrongOwnerFamily / UnsupportedRuntimeShape,lower and seal RuntimeTypedExpr
SRC-013,HirExprKind::RecordLiteral,source root [0] and every present child,RuntimePlanSemanticFacts::expression_type(owner); child source ExprId uses its own accepted expression_type,RuntimeNormalizedType::runtime_plan_type_kind,MissingExpressionType / DuplicateFact / WrongProjectGeneration / WrongOwnerFamily / UnsupportedRuntimeShape,lower and seal RuntimeTypedExpr
SRC-014,HirExprKind::Record,source root [0] and every present child,RuntimePlanSemanticFacts::expression_type(owner); child source ExprId uses its own accepted expression_type,RuntimeNormalizedType::runtime_plan_type_kind,MissingExpressionType / DuplicateFact / WrongProjectGeneration / WrongOwnerFamily / UnsupportedRuntimeShape,lower and seal RuntimeTypedExpr
SRC-015,HirExprKind::Binary,source root [0] and every present child,RuntimePlanSemanticFacts::expression_type(owner); child source ExprId uses its own accepted expression_type,RuntimeNormalizedType::runtime_plan_type_kind,MissingExpressionType / DuplicateFact / WrongProjectGeneration / WrongOwnerFamily / UnsupportedRuntimeShape,lower and seal RuntimeTypedExpr
SRC-016,HirExprKind::Unary,source root [0] and every present child,RuntimePlanSemanticFacts::expression_type(owner); child source ExprId uses its own accepted expression_type,RuntimeNormalizedType::runtime_plan_type_kind,MissingExpressionType / DuplicateFact / WrongProjectGeneration / WrongOwnerFamily / UnsupportedRuntimeShape,lower and seal RuntimeTypedExpr
SRC-017,HirExprKind::Closure,source root [0] and every present child,RuntimePlanSemanticFacts::expression_type(owner); child source ExprId uses its own accepted expression_type,RuntimeNormalizedType::runtime_plan_type_kind,MissingExpressionType / DuplicateFact / WrongProjectGeneration / WrongOwnerFamily / UnsupportedRuntimeShape,lower and seal RuntimeTypedExpr
SRC-018,HirExprKind::Block,source root [0] and every present child,RuntimePlanSemanticFacts::expression_type(owner); child source ExprId uses its own accepted expression_type,RuntimeNormalizedType::runtime_plan_type_kind,MissingExpressionType / DuplicateFact / WrongProjectGeneration / WrongOwnerFamily / UnsupportedRuntimeShape,lower and seal RuntimeTypedExpr
SRC-019,HirExprKind::ComputationBlock,source root [0] and every present child,RuntimePlanSemanticFacts::expression_type(owner); child source ExprId uses its own accepted expression_type,RuntimeNormalizedType::runtime_plan_type_kind,MissingExpressionType / DuplicateFact / WrongProjectGeneration / WrongOwnerFamily / UnsupportedRuntimeShape,lower and seal RuntimeTypedExpr
SRC-020,HirExprKind::NamedBlock,source root [0] and every present child,RuntimePlanSemanticFacts::expression_type(owner); child source ExprId uses its own accepted expression_type,RuntimeNormalizedType::runtime_plan_type_kind,MissingExpressionType / DuplicateFact / WrongProjectGeneration / WrongOwnerFamily / UnsupportedRuntimeShape,lower and seal RuntimeTypedExpr
SRC-021,HirExprKind::If,source root [0] and every present child,RuntimePlanSemanticFacts::expression_type(owner); child source ExprId uses its own accepted expression_type,RuntimeNormalizedType::runtime_plan_type_kind,MissingExpressionType / DuplicateFact / WrongProjectGeneration / WrongOwnerFamily / UnsupportedRuntimeShape,lower and seal RuntimeTypedExpr
