id,layer,path,surface,current_state,final_decision,gate,evidence
GBA-INV-001,core plan,crates/arcweft-core/src/plan.rs,RuntimePlan fields,No generation contract/catalog authority,Add required private generation_contract; raw remains quarantine,G4,exact pinned source
GBA-INV-002,core plan,crates/arcweft-core/src/plan.rs,RuntimePlan::new,Builds raw plan without generation facts,Bridge must attach canonical declaration; no executable return,G3/G4,exact pinned source
GBA-INV-003,core plan,crates/arcweft-core/src/plan.rs,RuntimePlan::verify,Structural diagnostic,Retain diagnostic only; never admission token,G4,exact pinned source
GBA-INV-004,core plan,crates/arcweft-core/src/plan.rs,RuntimePlan::try_admit,Absent,Add consuming whole-generation admission,G4,request + source gap
GBA-INV-005,core plan,crates/arcweft-core/src/plan.rs,AdmittedRuntimePlan,Absent,Add non-Serde wrapper sharing one admitted aggregate,G4,request + source gap
GBA-INV-006,core plan,crates/arcweft-core/src/plan/entry_inventory.rs,RuntimePlanError,Existing owner for plan failures,Extend original enum with typed generation/root correlation sources,G4,exact pinned source
GBA-INV-007,core generation,crates/arcweft-core/src/plan/generation_contract.rs,RuntimeGenerationIdentity,Absent,Add BLAKE3 canonical-body identity newtype,G1,design owner
GBA-INV-008,core generation,crates/arcweft-core/src/plan/generation_contract.rs,RuntimeGenerationContractDeclaration,Absent,Add sole raw serialized authority declaration,G1,design owner
GBA-INV-009,core generation,crates/arcweft-core/src/plan/generation_contract.rs,AdmittedRuntimeGeneration,Absent,Add private Arc-backed operational aggregate,G4,design owner
GBA-INV-010,core producer,crates/arcweft-core/src/plan/producer_contract.rs,RuntimeProjectRootDeclaration,Absent,Add typed independent project root,G1,design owner
GBA-INV-011,core producer,crates/arcweft-core/src/plan/producer_contract.rs,RuntimeProducerPayloadContractDeclaration,Parent proposed ID+keys only,Replace with independent payload roots plus claimed closure,G1,returned package defect
GBA-INV-012,core producer,crates/arcweft-core/src/plan/producer_contract.rs,RuntimeProducerPayloadRootSet,Absent,Add Checked and CharacterDialogue typed variants,G1,design owner
GBA-INV-013,core producer,crates/arcweft-core/src/plan/producer_contract.rs,producer authorization comparison,Parent row could self-authorize,Derive closure from roots; require exact claimed-set equality,G4,request split reason
GBA-INV-014,core producer,crates/arcweft-core/src/plan/producer_contract.rs,root traversal limits,Not defined for producer admission,Use exact depth/work/root/catalog limits,G1/G4,request decision
GBA-INV-015,core producer,crates/arcweft-core/src/plan/producer_contract.rs,root traversal errors,Absent,Add typed root/path/limit/lookup errors,G1,design owner
GBA-INV-016,core producer,crates/arcweft-core/src/plan/producer_contract.rs,claimed key ordering,Parent sorted keys but circular,Retain canonical sorted diagnostic set; never traversal seed,G1/G4,corrected parent
GBA-INV-017,core catalog,crates/arcweft-core/src/value/nominal_record.rs,RuntimeNominalRecordCatalogDeclaration,Parent design included producer rows,Layouts only; move producer contracts to generation owner,G1,parent package correction
GBA-INV-018,core catalog,crates/arcweft-core/src/value/nominal_record.rs,RuntimeNominalRecordProducerDeclaration,Parent ID+keys declaration,Delete without alias,G1/G9,parent package correction
GBA-INV-019,core catalog,crates/arcweft-core/src/value/nominal_record.rs,RuntimeNominalRecordCatalog,Absent operational catalog,Build only inside admitted aggregate,G4,parent design retained
