id	area	authored_state	attached_owner	final_hir	scope_local_effect	source_projection	recovery_or_issue	project_semantics	accounting
I01	identity	ordinary name	AttachedFlowIdentity::Name	HirFlowIdentity::Name; qualified ItemId is internal identity	four fixed Flow scopes; no local from identity	Item/Name span	none	module-scoped Flow public ID derived once by accepted project transaction	1 item identity state; no extra HIR ID
I02	identity	authored public ID only	AttachedFlowIdentity::PublicId	HirFlowIdentity::PublicId(HirIdRef)	four fixed Flow scopes	Item/PublicId span	wrong family or unresolved ID poisons	authored ID is public identity; no presentation name	1 identity state
I03	identity	authored public ID plus name	AttachedFlowIdentity::PublicIdAndName	HirFlowIdentity::PublicIdAndName	four fixed Flow scopes	Item/PublicId and Item/Name spans	ID/name binding mismatch poisons; both retained	ID publishes only when coherent; name is presentation/local lookup	1 identity state
I04	identity	missing identity	AttachedFlowIdentity::Missing with MissingName and insertion	HirFlowIdentity::Missing	four fixed Flow scopes still permit typed recovery	Item/Name insertion	flow.identity.missing	no project/callable candidate	1 MissingName syntax node; 1 HIR issue
I05	identity	empty @. marker plus following name	PublicIdAndName + AttachedFlowIdSyntax::DerivedFromEmptyMarker(None)	PublicIdAndName with grammar-derived family-local HirIdRef	same as I03	marker PublicId span + Name span	missing following name becomes I04	explicit declaration marker supplies public-ID intent	no detached text parse
I06	identity	empty @flow:. marker plus following name	PublicIdAndName + DerivedFromEmptyMarker(Some(flow))	PublicIdAndName with exact flow-family relative HirIdRef	same as I03	marker and name components	wrong marker family is identity poison	explicit marker supplies public-ID intent	no extra identity
I07	identity	public ID/name mismatch	PublicIdAndName	both values retained; HirFlowPoison::Identity primary	scopes and diagnostic HIR commit; no candidate	name primary, public ID related	identity.decl_binding_mismatch	candidate suppressed atomically	diagnostic charge 1
S01	generics	omitted	None	empty generic slice	no generic binding	no GenericGroup site	none	callable signature has no generics	0 GenericParameters
S02	generics	one closed group	AttachedFlowGenericGroup	source-ordered HirFlowGenericParameter slice	generic semantic bindings in callable record	group + each GenericParameter ordinal	invalid child becomes Error generic row	checked callable record uses same parameters	one SyntaxLimit::GenericParameters per parameter
S03	generics	missing close angle	AttachedDelimiterState::Missing	generic slice plus signature poison	same as S02	close insertion	syntax.signature.missing_close	candidate suppressed until signature valid	diagnostic 1; no fake parameter
S04	generics	exact 256 / first 257	same owner	256 commits; 257 rejects syntax transaction	none published on 257	normal sites only on commit	SyntaxLimit::GenericParameters	no candidate on failed syntax transaction	inclusive 256
S05	parameters	zero groups	None	empty parameter slice	no parameter local	no ParameterGroup site	none	valid non-curried Flow	0 FixedParameters
S06	parameters	one empty group	AttachedFlowParameterGroup with zero parameters	empty parameter slice	callable scope exists, no parameter local	ParameterGroup/open/close	unclosed close is typed recovery	valid	1 group; 0 FixedParameters
S07	parameters	one typed parameter	AttachedFlowParameter	HirFlowParameter(pattern, type, locals)	pattern locals in callable scope	Parameter whole/pattern/colon/type	child poison propagates rolefully	candidate only if signature accepted	1 FixedParameter + pattern/type/node charges
S08	parameters	destructuring parameter	AttachedFlowParameter with composite PatternNode	one HirFlowParameter; locals pattern preorder	all binding locals in callable scope; visibility starts after complete group	Pattern child source query	duplicate/reserved binding diagnostics owned by pattern/local	same checked signature	local charges per binding; SyntheticRole::DestructuredBinding order
S09	parameters	missing type after colon	real MissingType child	HirFlowParameter with error TypeId	locals allocated but type is poisoned	Parameter/Type insertion + Type query	flow.signature.missing_parameter_type	candidate suppressed	1 Type slot and diagnostic
S10	parameters	second group	AttachedFlowSignatureRecovery::SecondParameterGroup	no HIR parameter/group/local from second group	first group locals only	Trailing signature recovery site	flow.signature.curried_flow	candidate suppressed	recovery/diagnostic only; no parameter charge for rejected group in HIR
S11	parameters	parameter default	unexpected header recovery	no default field and no value ExprId	normal parameter local if pattern/type valid	recovery site at equals/value	flow.signature.parameter_default_not_admitted	candidate suppressed	ordinary recovery charges only
S12	parameters	exact 256 / first 257	one group	256 parameters commit; 257 syntax transaction rejects	up to 256 parameter local trees subject to local limits	normal parameter sites	SyntaxLimit::FixedParameters	no partial candidate	inclusive 256
S13	parameters	authored parameter named result	typed parameter/pattern retained	parameter local is poisoned and reserved result not published	callable scope	pattern name site	flow.signature.reserved_result_name	candidate suppressed; ensures still uses synthetic result if present	diagnostic 1
S14	return	omitted	AttachedFlowReturnSyntax::Omitted	HirFlowReturn::OmittedUnit	ensures result local type SemanticUnit when needed	no Return source row; signature-end insertion exists	none	callable semantic return Unit	0 TypeId
S15	return	authored type	AttachedFlowReturnSyntax::Authored	HirFlowReturn::Authored(TypeId)	ensures result local references Authored TypeId	Return whole/arrow/type	type poison propagates	candidate only if type accepted	1+ type-node charges
