name,kind,path,line,crate_count
Action,struct,crates/arcweft-interaction-model/src/action.rs,48,2
Action,struct,crates/arcweft-presentation/src/input.rs,100,2
ActionBatch,struct,crates/arcweft-interaction-model/src/action.rs,76,2
ActionBatch,struct,crates/arcweft-presentation/src/input.rs,117,2
ActionTarget,enum,crates/arcweft-interaction-model/src/action.rs,29,2
ActionTarget,enum,crates/arcweft-presentation/src/input.rs,109,2
BuiltReleaseTrustFixture,struct,crates/arcweft-cli/tests/support/release_trust_fixture.rs,42,2
BuiltReleaseTrustFixture,struct,crates/arcweft-project-loader/tests/support/release_trust_fixture.rs,54,2
Bytes,struct,crates/arcweft-data/src/value.rs,28,2
Bytes,struct,crates/arcweft-memory/src/lib.rs,9,2
CallableKind,enum,crates/arcweft-lang-sema/src/effect_model.rs,16,2
CallableKind,enum,crates/arcweft-lang-syntax/src/ast/items.rs,601,2
CallableSymbol,struct,crates/arcweft-lang-hir/src/symbol/identity.rs,41,2
CallableSymbol,struct,crates/arcweft-lang-sema/src/project_index.rs,168,2
CaptureRequest,struct,crates/arcweft-agent-protocol/src/protocol.rs,185,2
CaptureRequest,struct,crates/arcweft-render-wgpu/src/offscreen.rs,60,2
CaptureScope,enum,crates/arcweft-layout/src/lib.rs,279,2
CaptureScope,enum,crates/arcweft-render-wgpu/src/offscreen.rs,42,2
CaptureTarget,enum,crates/arcweft-agent-protocol/src/protocol.rs,168,2
CaptureTarget,enum,crates/arcweft-desktop-native/src/persistent_grants.rs,158,2
CompiledPureF32Inputs,struct,crates/arcweft-lang-jit-cranelift/src/lib.rs,373,2
CompiledPureF32Inputs,struct,crates/arcweft-runtime-accelerator/src/lib.rs,93,2
CompiledPureF64Inputs,struct,crates/arcweft-lang-jit-cranelift/src/lib.rs,382,2
CompiledPureF64Inputs,struct,crates/arcweft-runtime-accelerator/src/lib.rs,94,2
CompiledPureI128BatchInputs,struct,crates/arcweft-lang-jit-cranelift/src/lib.rs,274,2
CompiledPureI128BatchInputs,struct,crates/arcweft-runtime-accelerator/src/lib.rs,87,2
CompiledPureI16Inputs,struct,crates/arcweft-lang-jit-cranelift/src/lib.rs,293,2
CompiledPureI16Inputs,struct,crates/arcweft-runtime-accelerator/src/lib.rs,85,2
CompiledPureI32Inputs,struct,crates/arcweft-lang-jit-cranelift/src/lib.rs,306,2
CompiledPureI32Inputs,struct,crates/arcweft-runtime-accelerator/src/lib.rs,86,2
CompiledPureI64Inputs,struct,crates/arcweft-lang-jit-cranelift/src/lib.rs,74,2
CompiledPureI64Inputs,struct,crates/arcweft-runtime-accelerator/src/lib.rs,83,2
CompiledPureI8Inputs,struct,crates/arcweft-lang-jit-cranelift/src/lib.rs,283,2
CompiledPureI8Inputs,struct,crates/arcweft-runtime-accelerator/src/lib.rs,84,2
CompiledPureU128BatchInputs,struct,crates/arcweft-lang-jit-cranelift/src/lib.rs,364,2
CompiledPureU128BatchInputs,struct,crates/arcweft-runtime-accelerator/src/lib.rs,92,2
CompiledPureU16Inputs,struct,crates/arcweft-lang-jit-cranelift/src/lib.rs,339,2
CompiledPureU16Inputs,struct,crates/arcweft-runtime-accelerator/src/lib.rs,90,2
CompiledPureU32Inputs,struct,crates/arcweft-lang-jit-cranelift/src/lib.rs,319,2
CompiledPureU32Inputs,struct,crates/arcweft-runtime-accelerator/src/lib.rs,88,2
CompiledPureU64Inputs,struct,crates/arcweft-lang-jit-cranelift/src/lib.rs,351,2
CompiledPureU64Inputs,struct,crates/arcweft-runtime-accelerator/src/lib.rs,91,2
CompiledPureU8Inputs,struct,crates/arcweft-lang-jit-cranelift/src/lib.rs,329,2
CompiledPureU8Inputs,struct,crates/arcweft-runtime-accelerator/src/lib.rs,89,2
CraneliftPureFunctionBackend,struct,crates/arcweft-lang-jit-cranelift/src/lib.rs,50,2
CraneliftPureFunctionBackend,struct,crates/arcweft-runtime-accelerator/src/lib.rs,81,2
DialogueContent,struct,crates/arcweft-dialogue/src/lib.rs,48,2
DialogueContent,struct,crates/arcweft-lang-syntax/src/ast/dialogue.rs,16,2
DialogueTag,enum,crates/arcweft-dialogue/src/lib.rs,61,2
DialogueTag,struct,crates/arcweft-lang-syntax/src/ast/dialogue.rs,49,2
EffectCapability,struct,crates/arcweft-agent-protocol/src/artifact.rs,15,2
EffectCapability,struct,crates/arcweft-lang-sema/src/env/effects.rs,3,2
EnterKeyHint,enum,crates/arcweft-bundle/src/resource_codec/view/model.rs,1116,2
EnterKeyHint,enum,crates/arcweft-presentation/src/text_input.rs,347,2
EntityStore,struct,crates/arcweft-adt/src/lib.rs,307,2
EntityStore,struct,crates/arcweft-view/src/entity.rs,35,2
FragmentKind,enum,crates/arcweft-lang-syntax/src/parser/fragment.rs,18,2
FragmentKind,enum,crates/arcweft-view/src/fragment.rs,63,2
FxCatalog,struct,crates/arcweft-lang-sema/src/checker/fx.rs,30,2
FxCatalog,struct,crates/arcweft-runtime-plan/src/render_text/fx.rs,32,2
HostEvent,enum,crates/arcweft-interaction-model/src/audio.rs,843,2
HostEvent,struct,crates/arcweft-presentation/src/input.rs,124,2
HostEventBatch,struct,crates/arcweft-interaction-model/src/audio.rs,863,2
HostEventBatch,struct,crates/arcweft-presentation/src/input.rs,142,2
HoverHit,struct,crates/arcweft-cli/tests/check/agent_observe_native/core.rs,267,2
HoverHit,struct,crates/arcweft-cli/tests/check/agent_observe_native/core.rs,846,2
HoverHit,struct,crates/arcweft-cli/tests/check/agent_observe_native/core.rs,1046,2
HoverHit,struct,crates/arcweft-runtime-plan/src/render_text/tests.rs,644,2
HoverHit,struct,crates/arcweft-runtime-plan/src/render_text/tests.rs,746,2
IdentifierError,struct,crates/arcweft-agent-protocol/src/ids.rs,7,2
IdentifierError,struct,crates/arcweft-interaction-model/src/id.rs,58,2
InputEpoch,struct,crates/arcweft-interaction-model/src/input.rs,12,2
InputEpoch,struct,crates/arcweft-presentation/src/input.rs,15,2
InputEventKind,enum,crates/arcweft-dialogue/src/lib.rs,116,3
InputEventKind,enum,crates/arcweft-interaction-model/src/input.rs,108,3
InputEventKind,enum,crates/arcweft-presentation/src/input.rs,88,3
InteractionTarget,struct,crates/arcweft-interaction-model/src/input.rs,48,2
InteractionTarget,struct,crates/arcweft-presentation/src/input.rs,9,2
KeywordHit,struct,crates/arcweft-cli/tests/check/agent_observe_native/core.rs,262,2
KeywordHit,struct,crates/arcweft-cli/tests/check/agent_observe_native/core.rs,841,2
KeywordHit,struct,crates/arcweft-cli/tests/check/agent_observe_native/core.rs,1041,2
