path,capture_sha256,bytes,lines,source_status,evidence
AGENTS.md,484636c8d43c002d08c50e535b23d41ffcdfee25370ad16fc7adef374d2d57a3,6046,115,current-head raw/capture or production-equivalent snapshot,"repository invariants, versions, deletion-driven migration, Git-only evidence"
crates/AGENTS.md,9dc887815ef05b1e7c2f63937926a908cdd7d9e36b916600fe9a278787966565,6943,134,current-head raw/capture or production-equivalent snapshot,"Rust workspace ownership, typed APIs, structural/test gates"
docs/AGENTS.md,40ef407718c7b6f44b1f79d8dcd92c562d3ff4649557ecfeff37a33d7fd86c2d,2247,51,current-head raw/capture or production-equivalent snapshot,documentation authority and performed/not-run evidence
docs/implementation/AGENTS.md,2874d75d223345eb8bbbf7d25b3474d4f8a9023ae7807acb7ed8ebbbe1b15da4,1866,31,current-head raw/capture or production-equivalent snapshot,implementation evidence requirements
docs/reviews/AGENTS.md,711dad4ccf1f90f61052e0fa8d3b82ab49c20908919b43d795bed3f65596abab,4082,72,current-head raw/capture or production-equivalent snapshot,design-only package readiness and ZIP validation
crates/arcweft-character/src/catalog.rs,5636608a766a4851b85e85c945cc52df38cedec99f8d6bfa842723ad88262385,2672,79,current-head raw/capture or production-equivalent snapshot,"BTreeMap catalog, validated construction, duplicate owner, ordered manifests"
crates/arcweft-character/src/manifest/model.rs,94a18a0349956afdcaf9afdc53e388ef2a82b8816ec74e923960bdc51ffaaff2,26839,873,current-head raw/capture or production-equivalent snapshot,"runtime manifest fields, validation, blend stable code, source-only evidence"
crates/arcweft-interaction-model/src/dialogue.rs,93d87c10572185ffc9b903c6bcddadbe77380bdafd62326b4f4884f8d9eff4dc,5205,149,current-head raw/capture or production-equivalent snapshot,lower custom-field ID and fixed role enum ordinals/serde names
crates/arcweft-core/src/pattern.rs,6ff1831a258c87510cb31420ad019cc44b7c62c478fa1322a2ce1e17865e855a,39801,1148,current-head raw/capture or production-equivalent snapshot,"RuntimeSemanticTypeId, RuntimeCheckedType, boolean Choice/Variant acceptance"
crates/arcweft-core/src/value/nesting.rs,9a6cdc77da6c95fc5ef1eeaafd62a8531aaeb5cb475ced651f1939474290db11,4443,127,current-head raw/capture or production-equivalent snapshot,existing nesting limit 64 and recursive runtime traversal
crates/arcweft-core/src/plan/generation_contract.rs,88f98d683651242d499d2f43ccab41413d8706690487cb396000dd691dc0809a,3380,98,current-head raw/capture or production-equivalent snapshot,current generation/root/catalog scalar newtypes
crates/arcweft-core/src/plan.rs,89ae205329ac9297a11b5bbfe676f02be55334e52acc2c17125067ed3c841340,36172,1096,current-head raw/capture or production-equivalent snapshot,current RuntimePlan tables and raw Serde shape
crates/arcweft-core/src/awbc/schema.rs,1cd41c9e7ec343d6c5aa7e03049077196c3a95fc548582c9b722d643c165d037,65006,2181,current-head raw/capture or production-equivalent snapshot,"current AWBC tables, MakeRecord, Record constant and opcode surfaces"
crates/arcweft-lang-sema/src/types.rs,d61db35cb5f2629a55bdc4598c3e688fd0df653b86f828d7b8ce4c9780c99ec6,32401,1013,current-head raw/capture or production-equivalent snapshot,"TypeKind, AcceptedNominal and current Named carrier"
crates/arcweft-lang-sema/src/character_dialogue.rs,a7353e6ad3351e38e52a98d119de1c467043d0619c35a3c5e4f7d79bba4b49f1,11435,349,current-head raw/capture or production-equivalent snapshot,custom field registry/world/source evidence and caller-computed digest state
crates/arcweft-lang-sema/src/callable/schema/families.rs,ac856c46fb3d31b2309a25acb53fe1b724b3fcc216d44cfd015ab50bef974df6,48751,1368,current-head raw/capture or production-equivalent snapshot,six current dialogue Named placeholders
crates/arcweft-runtime-plan/src/semantic_facts.rs,37ca1d3f0816f211ef6dc96dd0c553dea9496a532e3c029a01506932dea0d71f,90451,2527,current-head raw/capture or production-equivalent snapshot,"normalized types, semantic identities, checked projection and source facts"
crates/arcweft-character/src/manifest/fingerprint.rs,web-current-head,137 lines,137,commit-pinned raw,"exact semantic fingerprint domain, fields, sorting, LE grammar"
crates/arcweft-view/src/view/registry.rs,web-current-head,250 lines,250,commit-pinned raw,"public/anonymous descriptors, BTreeMap, tombstones, implementation fields"
crates/arcweft-view/src/view/identity.rs,web-current-head,373 lines,373,commit-pinned raw,ViewId families and AcceptedViewProgramRevision
crates/arcweft-view/src/view.rs,web-current-head,91 lines,91,commit-pinned raw,"ViewSchemaId, RustViewId and module exports"
