path,old_authority,final_action,cut,proof
crates/arcweft-core/src/task.rs,String-backed NeedId/TaskKey/TaskId and caller-supplied identity,replace original owners with fixed private-field newtypes and inherent derivation; delete String constructors/accessors,5,API compile-fail; fixed-byte codec tamper; no String fallback
crates/arcweft-core/src/task.rs,"TaskSpec.id, TaskSpec.key, unconditional TaskSpec.request",replace the original struct with producer/class/priority/cancel_scope/policy/outcome/execution/debug; no parallel Option request,5,structural API test and package validator
crates/arcweft-core/src/task.rs,TaskHandle/Need state without complete correlation,replace with RuntimeNeedHandle and TaskCorrelation; implement Eq/Hash/Ord by NeedId only in the original impl,5,"semantic-equality, stale-generation and tamper tests"
crates/arcweft-core/src/task.rs,partial TaskEvent and String infrastructure failure,replace with complete correlation/cursor and typed RuntimeTaskFailure,5,event digest/replay/tamper tests
crates/arcweft-core/src/value.rs,derived structural PartialEq for final RuntimeValue::NeedHandle carrier,add NeedHandle in the original RuntimeValue enum and ensure contained RuntimeNeedHandle implements semantic equality manually,5,same NeedId/different debug/spec equality tests
crates/arcweft-core/src/value.rs,contains_nonconstant_opaque used as identity policy,retain only as a compatibility-free internal refactor target and replace constant callers with validate_constant_admission,4/5,Plain+SnapshotOnly paired tests
crates/arcweft-core/src/value/opaque.rs,implicit coupling of persistence and canonical identity,keep the original enums; add inherent identity/constant-admission behavior without extension traits or side helpers,4,exhaustive enum tests
crates/arcweft-core/src/entry/schema.rs,opaque SnapshotOnly rejection inside the sole canonical visitor and byte-only allocation path,make the original exhaustive visitor sink-parametric; admit Plain SnapshotOnly; add direct BLAKE3 sink,4/5,byte/digest differential and first-error property tests
crates/arcweft-core/src/value/awbc_save.rs,AWBC-only duplicate RuntimeValue snapshot authority,move/generalize the original codec to core RuntimeValueSnapshotV1 and make AWBC save consume it; add NeedHandle row,5,exhaustive RuntimeValue round-trip and structural absence
crates/arcweft-core/src/plan/construction/lower.rs,runtime-plan expression constants relying on canonical encoder rejection,call the explicit constant-admission fence before canonicalization/publication,4/5,SnapshotOnly constant negative
