path,owner,bytes,physical_lines,code_lines,classification,is_rust,embedded_test_lines
crates/arcweft/Cargo.toml,arcweft,645,26,23,text,false,0
crates/arcweft/src/lib.rs,arcweft,845,49,33,facade,true,0
crates/arcweft-adapter-context/Cargo.toml,arcweft-adapter-context,471,22,19,text,false,0
crates/arcweft-adapter-context/src/callable.rs,arcweft-adapter-context,16900,543,488,production,true,84
crates/arcweft-adapter-context/src/codec.rs,arcweft-adapter-context,42321,1203,1109,production,true,254
crates/arcweft-adapter-context/src/lib.rs,arcweft-adapter-context,393,11,5,facade,true,0
crates/arcweft-adapter-context/src/manifest/nominal.rs,arcweft-adapter-context,12748,386,311,production,true,35
crates/arcweft-adapter-context/src/manifest/registry.rs,arcweft-adapter-context,2087,74,52,production,true,0
crates/arcweft-adapter-context/src/manifest/tests.rs,arcweft-adapter-context,5352,155,143,test,true,0
crates/arcweft-adapter-context/src/manifest.rs,arcweft-adapter-context,30835,922,729,production,true,0
crates/arcweft-adapter-context/src/standard.rs,arcweft-adapter-context,21879,617,557,production,true,112
crates/arcweft-adapter-context/src/symbol.rs,arcweft-adapter-context,5300,163,132,production,true,56
crates/arcweft-adapter-context/tests/public_symbol_api.rs,arcweft-adapter-context,713,20,17,test,true,0
crates/arcweft-adapter-desktop/Cargo.toml,arcweft-adapter-desktop,564,22,19,text,false,0
crates/arcweft-adapter-desktop/src/adapter.rs,arcweft-adapter-desktop,15488,436,408,production,true,0
crates/arcweft-adapter-desktop/src/codec.rs,arcweft-adapter-desktop,12538,344,326,production,true,86
crates/arcweft-adapter-desktop/src/lib.rs,arcweft-adapter-desktop,1850,32,25,facade,true,0
crates/arcweft-adapter-desktop/src/manifest.rs,arcweft-adapter-desktop,22168,600,551,production,true,124
crates/arcweft-adapter-desktop/tests/native_integration.rs,arcweft-adapter-desktop,2878,77,73,test,true,0
crates/arcweft-adapter-metadata/Cargo.toml,arcweft-adapter-metadata,366,17,15,text,false,0
crates/arcweft-adapter-metadata/src/codec.rs,arcweft-adapter-metadata,9599,277,249,production,true,0
crates/arcweft-adapter-metadata/src/lib.rs,arcweft-adapter-metadata,874,19,15,facade,true,0
crates/arcweft-adapter-metadata/src/model.rs,arcweft-adapter-metadata,7914,268,233,production,true,0
crates/arcweft-adapter-metadata/src/strict_json.rs,arcweft-adapter-metadata,15204,503,440,production,true,89
crates/arcweft-adapter-metadata/tests/codec.rs,arcweft-adapter-metadata,8736,231,213,test,true,0
crates/arcweft-adapter-metadata/tests/fixtures/truck-rust.adapter.json,arcweft-adapter-metadata,2092,81,81,text,false,0
crates/arcweft-adapter-sema/Cargo.toml,arcweft-adapter-sema,571,24,21,text,false,0
crates/arcweft-adapter-sema/src/lib.rs,arcweft-adapter-sema,347,9,2,facade,true,0
crates/arcweft-adapter-sema/src/registration/input/digest.rs,arcweft-adapter-sema,23528,657,608,production,true,25
crates/arcweft-adapter-sema/src/registration/input/source.rs,arcweft-adapter-sema,44220,1184,1129,production,true,0
crates/arcweft-adapter-sema/src/registration/input.rs,arcweft-adapter-sema,53364,1359,1305,production,true,0
crates/arcweft-adapter-sema/src/registration/tests.rs,arcweft-adapter-sema,24331,644,608,test,true,0
crates/arcweft-adapter-sema/src/registration.rs,arcweft-adapter-sema,11825,309,279,production,true,0
crates/arcweft-adt/Cargo.toml,arcweft-adt,210,13,11,text,false,0
crates/arcweft-adt/src/lib.rs,arcweft-adt,36796,1461,1036,facade,true,121
crates/arcweft-agent-mcp/Cargo.toml,arcweft-agent-mcp,594,23,20,text,false,0
crates/arcweft-agent-mcp/src/lib.rs,arcweft-agent-mcp,396,13,6,facade,true,0
crates/arcweft-agent-mcp/src/model.rs,arcweft-agent-mcp,4846,138,110,production,true,0
crates/arcweft-agent-mcp/src/repl_command.rs,arcweft-agent-mcp,7618,223,179,production,true,46
crates/arcweft-agent-mcp/src/resources.rs,arcweft-agent-mcp,11619,292,262,production,true,0
crates/arcweft-agent-mcp/src/tests.rs,arcweft-agent-mcp,49646,1382,1311,test,true,0
crates/arcweft-agent-mcp/src/tools.rs,arcweft-agent-mcp,46400,820,789,production,true,0
crates/arcweft-agent-mcp/tests/descriptor_invariants.rs,arcweft-agent-mcp,2149,71,65,test,true,0
crates/arcweft-agent-mcp/tests/repl_command.rs,arcweft-agent-mcp,8100,240,212,test,true,0
crates/arcweft-agent-mcp-client/Cargo.toml,arcweft-agent-mcp-client,462,18,16,text,false,0
crates/arcweft-agent-mcp-client/src/lib.rs,arcweft-agent-mcp-client,17099,523,471,facade,true,169
crates/arcweft-agent-policy/Cargo.toml,arcweft-agent-policy,513,21,19,text,false,0
crates/arcweft-agent-policy/src/decode.rs,arcweft-agent-policy,4378,134,124,production,true,0
crates/arcweft-agent-policy/src/gate.rs,arcweft-agent-policy,17869,466,443,production,true,0
crates/arcweft-agent-policy/src/lib.rs,arcweft-agent-policy,626,19,11,facade,true,0
crates/arcweft-agent-policy/src/publication.rs,arcweft-agent-policy,605,22,17,production,true,0
crates/arcweft-agent-policy/src/published.rs,arcweft-agent-policy,5918,174,155,production,true,0
crates/arcweft-agent-policy/src/scene.rs,arcweft-agent-policy,4416,95,90,production,true,0
