id,phase,path,line_or_symbol,current_authority_risk,required_final_state,deletion_or_migration,verification
INV-0001,request-selected-evidence,crates/arcweft-character,request-selected,must be reconciled with the final single-authority graph,inspect exact owner and every caller; migrate to admitted generation and role-scoped construction authority,delete any raw digest/root/constructor bypass after migration,request traceability plus exact target suite
INV-0002,request-selected-evidence,crates/arcweft-interaction-model,request-selected,must be reconciled with the final single-authority graph,inspect exact owner and every caller; migrate to admitted generation and role-scoped construction authority,delete any raw digest/root/constructor bypass after migration,request traceability plus exact target suite
INV-0003,request-selected-evidence,crates/arcweft-view,request-selected,must be reconciled with the final single-authority graph,inspect exact owner and every caller; migrate to admitted generation and role-scoped construction authority,delete any raw digest/root/constructor bypass after migration,request traceability plus exact target suite
INV-0004,request-selected-evidence,docs/reviews/packages/zips/arcweft-lang-01.3.1.2.3.2.1.2.1-generation-bound-producer-root-and-awbc-admission-authority-correction-final-contract.zip,request-selected,must be reconciled with the final single-authority graph,inspect exact owner and every caller; migrate to admitted generation and role-scoped construction authority,delete any raw digest/root/constructor bypass after migration,request traceability plus exact target suite
INV-0005,retained-parent-inventory,crates/arcweft-core/src/value/nominal_record.rs,crates/arcweft-core/src/value/nominal_record.rs,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0006,retained-parent-inventory,crates/arcweft-core/src/pattern.rs,crates/arcweft-core/src/pattern.rs,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0007,retained-parent-inventory,crates/arcweft-core/src/plan.rs,crates/arcweft-core/src/plan.rs,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0008,retained-parent-inventory,crates/arcweft-core/src/plan/entry_inventory.rs,crates/arcweft-core/src/plan/entry_inventory.rs,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0009,retained-parent-inventory,arcweft-core pure/value evaluators,arcweft-core pure/value evaluators,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0010,retained-parent-inventory,arcweft-core structured engine,arcweft-core structured engine,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0011,retained-parent-inventory,arcweft-core AWBC verifier,arcweft-core AWBC verifier,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0012,retained-parent-inventory,arcweft-core AWBC VM/fiber,arcweft-core AWBC VM/fiber,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0013,retained-parent-inventory,crates/arcweft-core/src/value/ownership,crates/arcweft-core/src/value/ownership,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0014,retained-parent-inventory,crates/arcweft-core/src/value/nesting.rs,crates/arcweft-core/src/value/nesting.rs,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0015,retained-parent-inventory,arcweft-core root validators,arcweft-core root validators,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0016,retained-parent-inventory,arcweft-core root/replay validators,arcweft-core root/replay validators,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0017,retained-parent-inventory,crates/arcweft-runtime-plan/src/semantic_facts.rs,crates/arcweft-runtime-plan/src/semantic_facts.rs,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0018,retained-parent-inventory,semantic facts and final projection,semantic facts and final projection,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0019,retained-parent-inventory,final_expr.rs/final_pattern.rs,final_expr.rs/final_pattern.rs,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0020,retained-parent-inventory,awbc_lower,awbc_lower,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0021,retained-parent-inventory,arcweft-compiler project/runtime bridge,arcweft-compiler project/runtime bridge,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0022,retained-parent-inventory,crates/arcweft-dialogue/src/character_dialogue/schema.rs,crates/arcweft-dialogue/src/character_dialogue/schema.rs,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0023,retained-parent-inventory,same,same,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0024,retained-parent-inventory,crates/arcweft-dialogue/src/character_dialogue.rs,crates/arcweft-dialogue/src/character_dialogue.rs,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0025,retained-parent-inventory,character_dialogue/typed_value.rs,character_dialogue/typed_value.rs,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0026,retained-parent-inventory,character_dialogue/patch.rs,character_dialogue/patch.rs,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0027,retained-parent-inventory,arcweft-dialogue tests/helpers,arcweft-dialogue tests/helpers,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0028,retained-parent-inventory,crates/arcweft-runtime-driver/src/session.rs,crates/arcweft-runtime-driver/src/session.rs,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0029,retained-parent-inventory,generation_runtime.rs / swap.rs,generation_runtime.rs / swap.rs,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
INV-0030,retained-parent-inventory,crates/arcweft-runtime-driver/src/view_runtime.rs,crates/arcweft-runtime-driver/src/view_runtime.rs,retained predecessor consumer must not bypass the corrected role-root authority,retain predecessor behavior behind the new admitted role root and scoped construction capability,migrate and delete predecessor bypass; no shim,parent contract mapping plus current exact suite
