path,blob_sha,observed_fact,contract_consequence
AGENTS.md,ea4a46132ff8cd004f860c89c854e4cbfe807d86,"Complete repository policy, including direct final-model migration, inherent owner methods, source-gate prohibition, validation and ZIP workflow.",Applied to all contract choices.
crates/arcweft-project-loader/src/topology/model.rs,24cd63c692a2e34da8a3d700857145fe921b3011,Topology resources are all Arc<SourceDocument>; overlays are Arc<str>; LoadedProfileTopology stores SourceSetRevision.,"Requires typed binary payload, separate binary seed, and ProjectTopologyRevision."
crates/arcweft-project-loader/src/topology/id.rs,6ad5ca6c2b0325370f4a39520936b21bc676ef35,Owner-qualified normalized logical resource IDs already exist.,Retain IDs; do not create a parallel path identity.
crates/arcweft-project-loader/src/topology/budget.rs,db67608e2770a3d74de1a06f7330eb9982ce2f9f,Bounded resources/source/overlay/diagnostic/work counters exist.,Extend charging to binary; retain numeric ceilings.
crates/arcweft-project-loader/src/topology/loader.rs,,Character roots map deterministically but only manifest text is loaded; freeze hashes SourceDocument identities.,Load exact manifest-named layers and build one candidate revision.
crates/arcweft-project-loader/src/topology/tests.rs,460c6ceeebed213593cd2f09ec4ab8acd41d391f,"Nested Character mapping and optional-unselected no-file-claim exist, but no explicit absence or layers.",Preserve tests and complete their missing assertions.
crates/arcweft-character/src/package.rs,d7dce9239a9f5ef98f7f0e4fba0346a4513468f8,Sans-I/O CharacterPackage already owns manifest bytes/layers and rejects missing/duplicate/unreferenced payloads.,Select it as sole package authority; add PNG validation in place.
crates/arcweft-character/src/manifest/model.rs,711320f1d029e5bad5978b3a334af636f1d9b94a,Typed safe PNG asset path and variant rectangle/dimensions exist.,Use exact typed asset paths and dimension checks.
crates/arcweft-character/src/manifest/registration.rs,f3d1876bc54b7308c19851cb06d67b7300eaf158,SourceBackedCharacterManifest retains exact token paths/spans and fingerprint.,Retain as provenance; do not decode again.
crates/arcweft-bundle/src/character_package.rs,,Existing BundleCharacterPackage consumes a CharacterPackage.,Reuse adapter directly; no bundler rescan/reparse.
crates/arcweft-launch/src/accepted.rs,,SourceBackedManifest is the sole strict typed manifest/source-map product.,Add dedicated inherent content source projections only.
crates/arcweft-launch/src/resolve.rs,,Selected profile has typed content-unit policies; root-family/presence validation is not performed there.,Keep profile resolution; admission occurs in downstream typed transaction.
crates/arcweft-launch/src/source_map.rs,,"Typed token paths already cover content units, roots, demand/visibility, and profile policies.",Project exact spans without exposing/reparsing Taplo data.
crates/arcweft-project/src/fingerprint.rs,eedc70d57c31b0670dc43430dc9725303de9f9d3,BuildDigest is existing BLAKE3 project/cache identity with canonical encoding helpers.,Own ProjectTopologyRevision as a nominal BuildDigest.
crates/arcweft-compiler/src/reachability.rs,bf073380f0e0028d7e736314979bf5c5112248d4,One LinkGraph/ReachabilityReport and availability-domain traversal already exist.,Reuse it for runtime-reference determination.
crates/arcweft-compiler/src/content_partition.rs,46195e255a52ed65cacea0a3053104015d08bd93,Existing partition plan handles startup/unit/shared/omitted decisions.,Do not redesign partitioning; feed accepted facts.
crates/arcweft-lang-sema/src/project_index.rs,,ProjectIndex currently derives content-root relations from source content declarations and has no accepted manifest fact input.,Add typed input/context and manifest-owned facts.
crates/arcweft-lang-sema/src/project_index/relations.rs,,ContentRoot relation kind is useful but its current producer is source-owned.,Retain relation; replace producer.
crates/arcweft-lang-syntax/src/ast/items.rs,1b8da69f8a565cc97f1e4aeb2177232a3bf146fa,EntityDeclKind/Body still contain Content and ContentDeclBody.,Delete atomically after manifest facts land.
crates/arcweft-lang-sema/src/types.rs,faa33a4ddc25ea3c1a1a434ec30692c37575a6d0,EntityKind is the closed semantic family owner.,Add inherent content-root classification; no loader string table.
crates/arcweft-lsp/src/profiles/environment.rs,3cc6f055558e6fa7a729af3cf8053718eeadf385,"Candidate pipeline already assembles topology, semantic world, accepted project, then publishes.",Insert content finalization before candidate publication.
crates/arcweft-lsp/src/profiles/state.rs,68d1989ed90f3ab8973d7f1803087dfc61ca1a87,CAS/generation/cache namespace is atomic but revision checks are source-only.,Add topology revision and binary-only generation changes.
crates/arcweft-lsp/src/profiles/load.rs,c110de2cd56dbb4796c41ac1f72d62e097eb9457,LSP already consumes LoadedProfileTopology/registered candidate.,Carry accepted inventory; no manifest/package re-read.
docs/implementation/2026-07-20-lang-01-5-1-single-manifest-decoder-wip.md,3e14a54d01274589653fb5c003f8b1ba7c9633a0,Records strict decoder/metadata/topology substrate and explicit E-22/E-24/E-29 gaps.,Confirms correction scope without reopening completed substrate.
