id,runtime_plan_owner,typed_site_variant,slot,semantic_source,root_rule,publication_or_exclusion
PRM-001,entry,Entry,StateInput,entry accepted state input,semantic identity byte copy,live/persisted value
PRM-002,entry,Entry,StateOutput,entry accepted state output,semantic identity byte copy,live/persisted value
PRM-003,entry,Entry,EventInput,entry event input,semantic identity byte copy,live value
PRM-004,entry,Entry,EventOutput,entry event output,semantic identity byte copy,live value
PRM-005,entry,Entry,CommandInput,command contract input,semantic identity byte copy,live value
PRM-006,entry,Entry,CommandOutput,command contract output,semantic identity byte copy,live value
PRM-007,entry,Entry,"CommandConstructorPayload{constructor,field}",constructor field fact,semantic identity byte copy,constructed value
PRM-008,entry,Entry,RouterPayload{route},route binding payload fact,semantic identity byte copy,published route value
PRM-009,entry,Entry,ViewInput{input},accepted View input fact,semantic identity byte copy,View activation input
PRM-010,entry,Entry,ReplayVisible{slot},underlying entry slot fact,same root as live slot,replay-visible value
PRM-011,entry,Entry,SaveVisible{slot},underlying entry slot fact,same root as live slot,save-visible value
PRM-012,callable_executables,CallableExecutable,Parameter{parameter},callable accepted signature/frame fact,semantic identity byte copy,runtime value
PRM-013,callable_executables,CallableExecutable,Result,callable accepted signature/frame fact,semantic identity byte copy,runtime value
PRM-014,callable_executables,CallableExecutable,Capture{capture},callable accepted signature/frame fact,semantic identity byte copy,runtime value
PRM-015,callable_executables,CallableExecutable,FrameLocal{local},callable accepted signature/frame fact,semantic identity byte copy,runtime value
PRM-016,callable_executables,CallableExecutable,Constant{constant},callable accepted signature/frame fact,semantic identity byte copy,runtime value
PRM-017,callable_executables,CallableExecutable,Pattern{pattern},callable accepted signature/frame fact,semantic identity byte copy,runtime value
PRM-018,callable_executables,CallableExecutable,ReducerInput,callable accepted signature/frame fact,semantic identity byte copy,runtime value
PRM-019,callable_executables,CallableExecutable,ReducerOutput,callable accepted signature/frame fact,semantic identity byte copy,runtime value
PRM-020,callable_executables,CallableExecutable,ResourcePayload{resource},callable accepted signature/frame fact,semantic identity byte copy,runtime value
PRM-021,flow_executables,FlowExecutable,Parameter{parameter},flow executable signature/frame fact,semantic identity byte copy,runtime value
PRM-022,flow_executables,FlowExecutable,Result,flow executable signature/frame fact,semantic identity byte copy,runtime value
PRM-023,flow_executables,FlowExecutable,Capture{capture},flow executable signature/frame fact,semantic identity byte copy,runtime value
PRM-024,flow_executables,FlowExecutable,FrameLocal{local},flow executable signature/frame fact,semantic identity byte copy,runtime value
PRM-025,flow_executables,FlowExecutable,ReplayVisible{slot},flow executable signature/frame fact,semantic identity byte copy,runtime value
PRM-026,flow_executables,FlowExecutable,SaveVisible{slot},flow executable signature/frame fact,semantic identity byte copy,runtime value
PRM-027,flows,FlowOp,ExpressionResult,typed FlowOp semantic fact,semantic identity byte copy,nested RuntimeValue boundary
PRM-028,flows,FlowOp,ExpressionInput{input},typed FlowOp semantic fact,semantic identity byte copy,nested RuntimeValue boundary
PRM-029,flows,FlowOp,Condition,typed FlowOp semantic fact,semantic identity byte copy,nested RuntimeValue boundary
PRM-030,flows,FlowOp,PatternExpected,typed FlowOp semantic fact,semantic identity byte copy,nested RuntimeValue boundary
PRM-031,flows,FlowOp,PatternBinding{binding},typed FlowOp semantic fact,semantic identity byte copy,nested RuntimeValue boundary
PRM-032,flows,FlowOp,CallArgument{argument},typed FlowOp semantic fact,semantic identity byte copy,nested RuntimeValue boundary
PRM-033,flows,FlowOp,CallResult,typed FlowOp semantic fact,semantic identity byte copy,nested RuntimeValue boundary
PRM-034,flows,FlowOp,MatchScrutinee,typed FlowOp semantic fact,semantic identity byte copy,nested RuntimeValue boundary
PRM-035,flows,FlowOp,MatchArmPattern{arm},typed FlowOp semantic fact,semantic identity byte copy,nested RuntimeValue boundary
PRM-036,flows,FlowOp,MatchArmResult{arm},typed FlowOp semantic fact,semantic identity byte copy,nested RuntimeValue boundary
