phase,goal,add,migrate,delete_same_phase,compile_scope,exit
P01,public checked cross-crate primitive vocabulary,"core plan/AWBC typed IDs, declarations, wrappers, slot/site enums, checked constructors; trybuild pass/fail harness",none; new types compile beside current raw structs,any parent-prototype pub(crate) constructors or duplicate retry enums if present; do not add caller gates,cargo check -p arcweft-core -p arcweft-runtime-plan && cargo test -p arcweft-core --test ui && cargo test -p arcweft-runtime-plan --test ui,real external lowerer test compiles primitive construction; unrelated literals/IDs/wire DTOs fail
P02,complete plan-node algebra and exhaustive RuntimeExpr/Pattern wrappers,"RuntimeOperationalType, RuntimePlanTypeKind, RuntimeExpr::try_visit_nodes, exact typed expr/pattern constructors",arcweft-runtime-plan final_expr/final_pattern/final_flow emit root [0] and exact children/bindings through public APIs,non-root/non-node success branch; ad hoc recursion helpers/extension traits; conceptual untyped rows,cargo check -p arcweft-core -p arcweft-runtime-plan && cargo test -p arcweft-runtime-plan final_expr final_pattern,all legal checked/operational expression families lower with exact complete node sets
P03,final RuntimePlan builder and private raw aggregate,"RuntimePlanBuilder, RuntimePlanWireV1 private DTO, custom Serialize/Deserialize, accessors","runtime-plan, compiler, verifier, bundle/tests construct/read through builder/accessors","RuntimePlan public fields, Default, derived Deserialize, unchecked direct table mutation, alternate wire reader",cargo check -p arcweft-core -p arcweft-runtime-plan -p arcweft-compiler -p arcweft-verify -p arcweft-bundle,no workspace consumer needs RuntimePlan struct literal or mutable fields
P04,final AwbcProgram builder and private raw aggregate,"AwbcProgramBuilder, typed raw primitives/origins, private AwbcProgramWireV1, accessors",runtime-plan awbc_lower and all codec/verifier/compiler/bundle tests use checked builder/accessors,"AwbcProgram public fields, Default, derived Deserialize, unchecked origins/typed DTOs, alternate reader",cargo check -p arcweft-core -p arcweft-runtime-plan -p arcweft-compiler -p arcweft-verify -p arcweft-bundle,real AWBC lowerer pass case builds every current table without core-private access
P05,core-only generation projection and immutable issuer,"projection row types/builder, catalog projection, canonical AWGF fact-section encoder/decoder, transcript, AdmittedRuntimeGeneration::try_issue/fact_section and public require_same_parent comparison",generation scalar/newtype consumers to declaration accessors; compiler/bundle persistence reads the issuance-created fact section; add generation admission/fact-wire unit/property tests,any upward runtime-plan fact stored by core; public/free generation declaration constructor; projection From raw artifacts,cargo check -p arcweft-core && cargo test -p arcweft-core generation_admission,core stores only core rows plus exact issuance-created fact bytes; projection/order/root/duplicate/transcript/AWGF round-trip tests pass; downstream crates compare exact parents without constructing one
P06,accepted-world compiler assembly and issue-before-lowering orchestration,AcceptedRuntimeOpaqueProducerRegistry; ProjectRuntimeGenerationAssembly; accepted owner projections,compiler project flow issues generation before invoking runtime-plan; lowerers receive immutable declaration clone,"free generation scalar injection, raw declaration-to-fact conversion, any plan/AWBC-derived fact branch",cargo check -p arcweft-lang-sema -p arcweft-runtime-plan -p arcweft-compiler && cargo test -p arcweft-compiler generation,accepted world projects once; tampered raw artifacts cannot alter generation
P07,plan admission against issued generation,"AdmittedRuntimeGeneration::try_admit_plan, AdmittedRuntimePlan, resolved checked/operational rows, site traversal",compiler/verifier/AOT plan consumers that require semantic authority to admitted plan,"RuntimePlan::try_admit/self-admission prototype, optional root authority, root-use rows, unchecked operational boundary success",cargo check -p arcweft-core -p arcweft-compiler -p arcweft-verify -p arcweft-aot && cargo test -p arcweft-core plan_admission,plan declaration/site completeness and operational-root tests pass against independent generation
P08,context/domain issuance and atomic opaque semantics,"admitted-plan/product context methods, private RuntimeCheckedValueContext, exact atomic opaque errors/work rules","nominal record construction, checked constants/host inputs, diagnostics to issued contexts; physical ownership path remains separate","pre-plan checked_values context, payload lookup/recursive opaque branch, checked OpaquePayload step, placeholder domain parent",cargo check -p arcweft-core -p arcweft-dialogue && cargo test -p arcweft-core checked_value opaque nominal_record,opaque atomic matrix and non-circular context tests pass
P09,effect-owned AudioCommand sites,"AudioCommand { effect, slot }, inherent AwbcAudioCommand typed_values/typed_value, effect-based resolver/tags","runtime-plan lowerer, AWBC verifier/codec/tests and origin tables to effect coordinates","command-only audio coordinate, AwbcEffectPlanTypedSlot::AudioValue, generic numeric audio slot and exclusion tests",cargo check -p arcweft-core -p arcweft-runtime-plan && cargo test -p arcweft-core awbc_audio && cargo test -p arcweft-runtime-plan awbc_lower,"all 35 fields, optional bus, reused-command aliases, bounds and cycle cases pass"
P10,AWBC admission and direct same-parent pair,"generation.try_admit_awbc, AdmittedAwbcProduct, admitted_plan.try_admit_awbc, AdmittedRuntimeProduct",compiler/verifier/bundle/AOT outputs and pair tests to admitted wrappers/direct origins,"AwbcProgram::try_admit/self-admission prototype, root-use maps, optional authority, operational origin success, second correlation digest",cargo check -p arcweft-core -p arcweft-compiler -p arcweft-verify -p arcweft-bundle -p arcweft-aot && cargo test -p arcweft-core runtime_product,"same-parent, declaration tamper, direct equality and operational-origin tests pass"
