name,kind,path,line,crate_count
Action,struct,crates/arcweft-interaction-model/src/action.rs,48,2
Action,struct,crates/arcweft-presentation/src/input.rs,100,2
ActionBatch,struct,crates/arcweft-interaction-model/src/action.rs,76,2
ActionBatch,struct,crates/arcweft-presentation/src/input.rs,117,2
ActionTarget,enum,crates/arcweft-interaction-model/src/action.rs,29,2
ActionTarget,enum,crates/arcweft-presentation/src/input.rs,109,2
AgentBudget,struct,crates/arcweft-core/src/entry/roles.rs,13,2
AgentBudget,struct,crates/arcweft-lang-sema/src/entry.rs,168,2
BuiltReleaseTrustFixture,struct,crates/arcweft-cli/tests/support/release_trust_fixture.rs,42,2
BuiltReleaseTrustFixture,struct,crates/arcweft-project-loader/tests/support/release_trust_fixture.rs,57,2
Bytes,struct,crates/arcweft-data/src/value.rs,28,2
Bytes,struct,crates/arcweft-memory/src/lib.rs,9,2
CallableId,struct,crates/arcweft-agent-protocol/src/ids.rs,27,2
CallableId,struct,crates/arcweft-lang-sema/src/effect_model.rs,14,2
CallableKind,enum,crates/arcweft-lang-sema/src/effect_model.rs,18,2
CallableKind,enum,crates/arcweft-lang-syntax/src/ast/items.rs,323,2
CallableSymbol,struct,crates/arcweft-lang-hir/src/symbol/identity.rs,72,2
CallableSymbol,struct,crates/arcweft-lang-sema/src/project_index.rs,178,2
CaptureRequest,struct,crates/arcweft-agent-protocol/src/protocol.rs,185,2
CaptureRequest,struct,crates/arcweft-render-wgpu/src/offscreen.rs,158,2
CaptureScope,enum,crates/arcweft-layout/src/lib.rs,279,2
CaptureScope,enum,crates/arcweft-render-wgpu/src/offscreen.rs,140,2
CaptureTarget,enum,crates/arcweft-agent-protocol/src/protocol.rs,168,2
CaptureTarget,enum,crates/arcweft-desktop-native/src/persistent_grants.rs,158,2
CompiledPureF32Inputs,struct,crates/arcweft-lang-jit-cranelift/src/lib.rs,373,2
CompiledPureF32Inputs,struct,crates/arcweft-runtime-accelerator/src/lib.rs,93,2
CompiledPureF64Inputs,struct,crates/arcweft-lang-jit-cranelift/src/lib.rs,382,2
CompiledPureF64Inputs,struct,crates/arcweft-runtime-accelerator/src/lib.rs,94,2
CompiledPureI128BatchInputs,struct,crates/arcweft-lang-jit-cranelift/src/lib.rs,274,2
CompiledPureI128BatchInputs,struct,crates/arcweft-runtime-accelerator/src/lib.rs,87,2
CompiledPureI16Inputs,struct,crates/arcweft-lang-jit-cranelift/src/lib.rs,293,2
CompiledPureI16Inputs,struct,crates/arcweft-runtime-accelerator/src/lib.rs,85,2
CompiledPureI32Inputs,struct,crates/arcweft-lang-jit-cranelift/src/lib.rs,306,2
CompiledPureI32Inputs,struct,crates/arcweft-runtime-accelerator/src/lib.rs,86,2
CompiledPureI64Inputs,struct,crates/arcweft-lang-jit-cranelift/src/lib.rs,74,2
CompiledPureI64Inputs,struct,crates/arcweft-runtime-accelerator/src/lib.rs,83,2
CompiledPureI8Inputs,struct,crates/arcweft-lang-jit-cranelift/src/lib.rs,283,2
CompiledPureI8Inputs,struct,crates/arcweft-runtime-accelerator/src/lib.rs,84,2
CompiledPureU128BatchInputs,struct,crates/arcweft-lang-jit-cranelift/src/lib.rs,364,2
CompiledPureU128BatchInputs,struct,crates/arcweft-runtime-accelerator/src/lib.rs,92,2
CompiledPureU16Inputs,struct,crates/arcweft-lang-jit-cranelift/src/lib.rs,339,2
CompiledPureU16Inputs,struct,crates/arcweft-runtime-accelerator/src/lib.rs,90,2
CompiledPureU32Inputs,struct,crates/arcweft-lang-jit-cranelift/src/lib.rs,319,2
CompiledPureU32Inputs,struct,crates/arcweft-runtime-accelerator/src/lib.rs,88,2
CompiledPureU64Inputs,struct,crates/arcweft-lang-jit-cranelift/src/lib.rs,351,2
CompiledPureU64Inputs,struct,crates/arcweft-runtime-accelerator/src/lib.rs,91,2
CompiledPureU8Inputs,struct,crates/arcweft-lang-jit-cranelift/src/lib.rs,329,2
CompiledPureU8Inputs,struct,crates/arcweft-runtime-accelerator/src/lib.rs,89,2
ContentPlacement,enum,crates/arcweft-bundle/src/container.rs,83,2
ContentPlacement,enum,crates/arcweft-manifest-model/src/schema.rs,220,2
ContentResidency,enum,crates/arcweft-bundle/src/container.rs,75,2
ContentResidency,enum,crates/arcweft-manifest-model/src/schema.rs,210,2
CraneliftPureFunctionBackend,struct,crates/arcweft-lang-jit-cranelift/src/lib.rs,50,2
CraneliftPureFunctionBackend,struct,crates/arcweft-runtime-accelerator/src/lib.rs,81,2
DialogueContent,struct,crates/arcweft-dialogue/src/lib.rs,24,2
DialogueContent,struct,crates/arcweft-lang-syntax/src/ast/dialogue.rs,16,2
DialogueTag,enum,crates/arcweft-dialogue/src/lib.rs,37,2
DialogueTag,struct,crates/arcweft-lang-syntax/src/ast/dialogue.rs,49,2
EffectCapability,struct,crates/arcweft-agent-protocol/src/artifact.rs,16,2
EffectCapability,struct,crates/arcweft-lang-sema/src/env/effects.rs,3,2
EnterKeyHint,enum,crates/arcweft-bundle/src/resource_codec/view/model/input.rs,124,2
EnterKeyHint,enum,crates/arcweft-presentation/src/text_input.rs,347,2
EntityStore,struct,crates/arcweft-adt/src/lib.rs,307,2
EntityStore,struct,crates/arcweft-view/src/entity.rs,35,2
FragmentKind,enum,crates/arcweft-lang-syntax/src/parser/fragment.rs,10,2
FragmentKind,enum,crates/arcweft-view/src/fragment.rs,63,2
FxCatalog,struct,crates/arcweft-lang-sema/src/checker/fx.rs,30,2
FxCatalog,struct,crates/arcweft-runtime-plan/src/render_text/fx.rs,32,2
GameEvent,enum,crates/arcweft-lang-sema/src/tests/declarations.rs,162,2
GameEvent,enum,crates/arcweft-lang-syntax/src/parser/type_declaration_grammar_tests.rs,23,2
HostEvent,enum,crates/arcweft-interaction-model/src/audio.rs,843,2
HostEvent,struct,crates/arcweft-presentation/src/input.rs,124,2
HostEventBatch,struct,crates/arcweft-interaction-model/src/audio.rs,863,2
HostEventBatch,struct,crates/arcweft-presentation/src/input.rs,142,2
HoverHit,struct,crates/arcweft-cli/tests/check/agent_observe_native/core.rs,267,2
HoverHit,struct,crates/arcweft-cli/tests/check/agent_observe_native/core.rs,855,2
HoverHit,struct,crates/arcweft-cli/tests/check/agent_observe_native/core.rs,1146,2
HoverHit,struct,crates/arcweft-runtime-plan/src/render_text/tests.rs,644,2
HoverHit,struct,crates/arcweft-runtime-plan/src/render_text/tests.rs,746,2
IdentifierError,enum,crates/arcweft-agent-protocol/src/ids.rs,10,3
IdentifierError,struct,crates/arcweft-interaction-model/src/id.rs,58,3
