decision,requirement,normative_document,exact_outputs
1,one final checked-value path model,decision-01-final-path-authority.md,RuntimeValuePath; RuntimeValuePathSegment; RuntimeCheckedTypePath; exact modules/derives/API/limits/order
2,path migration and Serde grammar,decision-02-path-migration-and-wire.md,single consumer migration; tags 0-10; human/non-human Serde data model; no alias
3,checked-type versus value-path push rules,decision-03-checked-path-push-rules.md,all requested composites; index widths; overflow; first-error order
4,mechanically resolvable RuntimePlan sites,decision-04-runtime-plan-site-authority.md,typed declarations/wrappers; exact site/slot enums; owner-field table; exclusions; AdmittedRuntimePlan API in ADMISSION_AND_PAIR_API.md
5,mechanically resolvable AWBC sites,decision-05-awbc-site-authority.md,typed constants/patterns; named slot enums; reference resolution; bounds/duplicates/alias/cycles; AdmittedAwbcProduct API in ADMISSION_AND_PAIR_API.md
6,tamper-proof plan/AWBC correlation,decision-06-independent-root-correlation.md,independent generation facts; delete root-use rows; coordinate-only origins; direct equality transcript; same-parent pair wrapper and product-step cut in ADMISSION_AND_PAIR_API.md
7,compile-clean validator/generation order,decision-07-compile-clean-context-order.md,AdmittedRuntimeGeneration then sealed context then validator; exact APIs/delete order; exact admission/context/pair construction order in ADMISSION_AND_PAIR_API.md
8,inventory and tests,decision-08-inventory-and-tests.md,updated inventory/test matrices; removed conceptual rows; tamper cases
9,complete outer shapes and nominal evidence,decision-09-outer-shapes-and-nominal-evidence.md,all current RuntimeValue variants; bytes-as-sequence; admitted descriptor semantic source
10,bounded Serde for RuntimeIndexPath/newtypes,decision-10-newtype-serde-and-wire.md,nonempty/bounded custom Deserialize; private wire DTOs; no derived bypass
11,layer-correct catalog bridge,decision-11-catalog-admission-bridge.md,dialogue-owned bridge; core provenance token; no free generation scalar; custom-field View source
12,current-world role issuance,decision-12-role-issuance.md,TypeCheckEnv + AcceptedNominalWorld + registrar atomic registry; no AcceptedNominalEnvironment
