variant,child_field,child_ordinal,current_owner_path,type_rule,root_fact,child_fact,site_emission
Value,none,none,RuntimeExpr::Value(value),derive exact checked or closed operational declaration from RuntimeValue plus admitted nominal/opaque descriptor; root [0] always exists,[0] mandatory for the enclosing RuntimeTypedExpr; declaration kind Checked or Operational from accepted semantic fact,present child path mandatory; absent optional emits no row,only Checked declarations at actual typed-site owners emit RuntimePlanTypedSite; Operational remains internal node evidence
Local,none,none,RuntimeExpr::Local(name),resolve lexical binding type ID from enclosing typed owner scope,[0] mandatory for the enclosing RuntimeTypedExpr; declaration kind Checked or Operational from accepted semantic fact,present child path mandatory; absent optional emits no row,only Checked declarations at actual typed-site owners emit RuntimePlanTypedSite; Operational remains internal node evidence
EntityRef,none,none,RuntimeExpr::EntityRef(id),resolve accepted entity reference semantic type from admitted generation,[0] mandatory for the enclosing RuntimeTypedExpr; declaration kind Checked or Operational from accepted semantic fact,present child path mandatory; absent optional emits no row,only Checked declarations at actual typed-site owners emit RuntimePlanTypedSite; Operational remains internal node evidence
Let,expr,0,RuntimeExpr::Let.expr,child fact; binds to declared lexical type,[0] mandatory for the enclosing RuntimeTypedExpr; declaration kind Checked or Operational from accepted semantic fact,present child path mandatory; absent optional emits no row,only Checked declarations at actual typed-site owners emit RuntimePlanTypedSite; Operational remains internal node evidence
Let,body,1,RuntimeExpr::Let.body,root type equals body type,[0] mandatory for the enclosing RuntimeTypedExpr; declaration kind Checked or Operational from accepted semantic fact,present child path mandatory; absent optional emits no row,only Checked declarations at actual typed-site owners emit RuntimePlanTypedSite; Operational remains internal node evidence
Tuple,items[i],i,RuntimeExpr::Tuple(items),i is source/vector order; checked u32 path segment,[0] mandatory for the enclosing RuntimeTypedExpr; declaration kind Checked or Operational from accepted semantic fact,present child path mandatory; absent optional emits no row,only Checked declarations at actual typed-site owners emit RuntimePlanTypedSite; Operational remains internal node evidence
BracketSeq,items[i],i,RuntimeExpr::BracketSeq(items),i is source/vector order; checked u32 path segment,[0] mandatory for the enclosing RuntimeTypedExpr; declaration kind Checked or Operational from accepted semantic fact,present child path mandatory; absent optional emits no row,only Checked declarations at actual typed-site owners emit RuntimePlanTypedSite; Operational remains internal node evidence
RepeatSeq,value,0,RuntimeExpr::RepeatSeq.value,sequence item type,[0] mandatory for the enclosing RuntimeTypedExpr; declaration kind Checked or Operational from accepted semantic fact,present child path mandatory; absent optional emits no row,only Checked declarations at actual typed-site owners emit RuntimePlanTypedSite; Operational remains internal node evidence
Range,start,0,RuntimeExpr::Range.start,reserved ordinal 0; absent optional emits no row; enclosing root [0] is Operational(Range),[0] mandatory for the enclosing RuntimeTypedExpr; declaration kind Checked or Operational from accepted semantic fact,present child path mandatory; absent optional emits no row,only Checked declarations at actual typed-site owners emit RuntimePlanTypedSite; Operational remains internal node evidence
Range,end,1,RuntimeExpr::Range.end,reserved ordinal 1; absent optional emits no row; enclosing root [0] is Operational(Range),[0] mandatory for the enclosing RuntimeTypedExpr; declaration kind Checked or Operational from accepted semantic fact,present child path mandatory; absent optional emits no row,only Checked declarations at actual typed-site owners emit RuntimePlanTypedSite; Operational remains internal node evidence
Record,fields[i].expr,i,RuntimeExpr::Record fields,authored field order; row identity also checks field name/id,[0] mandatory for the enclosing RuntimeTypedExpr; declaration kind Checked or Operational from accepted semantic fact,present child path mandatory; absent optional emits no row,only Checked declarations at actual typed-site owners emit RuntimePlanTypedSite; Operational remains internal node evidence
NominalRecord,initializers[i].expr,i,RuntimeExpr::NominalRecord initializers,authored order; scatter to defining field ID only after typed validation,[0] mandatory for the enclosing RuntimeTypedExpr; declaration kind Checked or Operational from accepted semantic fact,present child path mandatory; absent optional emits no row,only Checked declarations at actual typed-site owners emit RuntimePlanTypedSite; Operational remains internal node evidence
