id	authority	repository_or_intake_location	sha256	status	retained_decision
P001	Proof-concurrency v6.1.1 base	docs/reviews/packages/arcweft-proof-concurrency-v6.1.1-typed-ast-proof-block-hir-runtime-identity-final-contract.zip	1B7DE5F2C10A5B29D67C72011E4272DF9A76AF8907FD21FE162DE54809FC69EF	REPOSITORY_INTAKE_VERIFIED	qualified arenas, item/scope/local/body transaction base
P002	Proof retained-global v6.1.1.2	repository-retained package	0E30A91FA2F7A288E9A12D8AFC7356525604CBDC907D659CD97311207D26A68E	REPOSITORY_INTAKE_VERIFIED	concrete retained declarations and Resource coexistence
P003	Proof final leaf v6.1.1.4.1	repository-retained design package	61E2EE166BFF158FE83DCF1484B7B9380A81F60D865377503400D27D238CC708	REPOSITORY_INTAKE_VERIFIED	final expression/type/pattern/Thread inventory; corrected by later packages
P004	Proof source owner v6.1.1.4.1.1	docs/reviews/designs/proof-concurrency-v6.1.1.4.1.1/...zip	2BCD3F78EFB76442C2698A24251C4D874F7A941C5A8985649EA157100908A72E	REPOSITORY_INTAKE_VERIFIED	single source query, pattern/type source ownership, limits
P005	Proof first synthetic-role return	repository-retained rejected design package	A9603B3CC758D95DADA69310F87A2DC26B7A2CE0EA8B6E0DE39DE4AA51E75024	REJECTED_NO_AUTHORITY	historical fingerprint input only; superseded
P006	Proof tail/generator correction	docs/reviews/designs/proof-concurrency-v6.1.1.4.1.1.1.1/...zip	69DC42FC7C985FED638D08D694ED301291A50AF3CEFA7117321D4219BE7E6471	REPOSITORY_INTAKE_VERIFIED	final synthetic owner/ordinal, result/tail and generator evidence
P007	Proof Select central correction	external verified return recorded by intake	E20B646F8914E39E50456C164F2F6BF967376620571335297D3EFF42824213F4	REPOSITORY_INTAKE_VERIFIED	central attached projection and source/accounting normalization
P008	Proof Call correction return	external verified return recorded by intake	41BB47824B91072B17EF79B8C50249863977AF5D5854EBCF9E515849C9F24480	REPOSITORY_DECISION	returned package rejected; intake's six repository decisions are authority
P009	AW-AH-009.4.2 dialogue application	docs/reviews/packages/arcweft-aw-ah-009.4.2-dialogue-content-application-syntax-hir-ownership-production-reconciliation-final-contract.zip	05E825DDE033F308F24FC1F6E504B4C26BBA2D61FD33852CE880DC666BA8F2A8	REPOSITORY_INTAKE_VERIFIED	typed dialogue-content application
P010	AW-AH-009.4.3 line identity	docs/reviews/packages/arcweft-aw-ah-009.4.3-source-site-line-identity-project-diagnostics-production-reconciliation-final-contract.zip	FD9F97D37B857991120DD5E5E5DB27953257121FC48C79BEEF4FA03DF1F23396	REPOSITORY_INTAKE_VERIFIED	source-site line identity and project diagnostics
P011	Lang-01.1.1.2 nominal resolution	docs/reviews/packages/arcweft-lang-01.1.1.2-project-nominal-type-resolution-production-reconciliation-final-contract.zip	FF695EADEF1A4C833D86F53CA5E9010C7DF3D3643418109980B0E9F1D6CFE1AB	REPOSITORY_INTAKE_VERIFIED	single nominal resolver and typed project identity
P012	Lang-01.1.1.3 effect/trait	docs/reviews/packages/arcweft-lang-01.1.1.3-effect-trait-contract-and-dynamic-dispatch-production-reconciliation-final-contract.zip	4FD834564C458639CD4EBE46615E4EC79C54F91D686439AAAACCC7F2B3714B5E	REPOSITORY_INTAKE_VERIFIED	accepted effect semantics
P013	Lang-01.1.1.3.1 checked callable catalog	docs/reviews/packages/arcweft-lang-01.1.1.3.1-checked-callable-catalog-authority-and-consumer-scope-reconciliation-final-contract.zip	0E4746ABD1589F0228ADC62A074DFC07EEC92F3DF4DBC432E58138FD21500F4C	REPOSITORY_INTAKE_VERIFIED	exact accepted record and checked catalog
P014	Lang-01.1.1.3.1.1 validator/family	external verified return recorded by intake	58330347E6759B38770D512BCAA682A1B3949EF46AFF24462F45C23ED851BC63	REPOSITORY_INTAKE_VERIFIED	role-only validator and checked identity
P015	Rejected ordinary Flow v6.1.1.2.1.1	external rejected return	F4F18E08B7D5A561B352D8B344734F7E892B290EC6D276DECF2A90F4F4D4FF3E	REJECTED_NO_AUTHORITY	mechanically valid but no repository evidence or concrete schema
