ordinal	id	logic	benchmark	expected	oxiz_recorded	source_path	awft_path	expected_smt_path	expected_smt_sha256
1	AUFLIA.array_extensionality	AUFLIA	array_extensionality.smt2	sat	sat	bench/z3_parity/benchmarks/AUFLIA/array_extensionality.smt2	awft/AUFLIA/array_extensionality.awft	expected_smt2/AUFLIA/array_extensionality.smt2	df0d1b238217dfd3845a0894902f5f5b740a0465d994b0d095419666df3531a4
2	AUFLIA.array_forall_init	AUFLIA	array_forall_init.smt2	sat	sat	bench/z3_parity/benchmarks/AUFLIA/array_forall_init.smt2	awft/AUFLIA/array_forall_init.awft	expected_smt2/AUFLIA/array_forall_init.smt2	bbb62b6eca1f9a835f931eb776de7aa59db49763ac26006235265fe8a05b2259
3	AUFLIA.array_max	AUFLIA	array_max.smt2	sat	sat	bench/z3_parity/benchmarks/AUFLIA/array_max.smt2	awft/AUFLIA/array_max.awft	expected_smt2/AUFLIA/array_max.smt2	655ade02f3e27dc9de20c7e7fd289d6cd699436b0a65f65ca76ed84fa10d20cc
4	AUFLIA.array_partition	AUFLIA	array_partition.smt2	sat	sat	bench/z3_parity/benchmarks/AUFLIA/array_partition.smt2	awft/AUFLIA/array_partition.awft	expected_smt2/AUFLIA/array_partition.smt2	9ff99c7224fe8e4ef2035424e97eb7aada1ffcd2f92c737546b3d97cb4230615
5	AUFLIA.array_permutation	AUFLIA	array_permutation.smt2	sat	sat	bench/z3_parity/benchmarks/AUFLIA/array_permutation.smt2	awft/AUFLIA/array_permutation.awft	expected_smt2/AUFLIA/array_permutation.smt2	ff931ec5175c5a6229f806630b9e5194df1aa8a786a5b8ac8d52542bd275f871
6	AUFLIA.array_search	AUFLIA	array_search.smt2	sat	sat	bench/z3_parity/benchmarks/AUFLIA/array_search.smt2	awft/AUFLIA/array_search.awft	expected_smt2/AUFLIA/array_search.smt2	4c491c527da4974c860e9b5967873ff138437094c284748c125bbda653f758f6
7	AUFLIA.array_sorted	AUFLIA	array_sorted.smt2	sat	sat	bench/z3_parity/benchmarks/AUFLIA/array_sorted.smt2	awft/AUFLIA/array_sorted.awft	expected_smt2/AUFLIA/array_sorted.smt2	99153bea320abf114687ab4c1d6497b8ce69c399a3902fb51f2b6b770435c168
8	AUFLIA.array_unique	AUFLIA	array_unique.smt2	unsat	sat	bench/z3_parity/benchmarks/AUFLIA/array_unique.smt2	awft/AUFLIA/array_unique.awft	expected_smt2/AUFLIA/array_unique.smt2	34b836c939526674ddec2467dfc2834c7f8ec481dcb51def3356dab35cf358ba
9	AUFLIA.array_unsat	AUFLIA	array_unsat.smt2	unsat	unsat	bench/z3_parity/benchmarks/AUFLIA/array_unsat.smt2	awft/AUFLIA/array_unsat.awft	expected_smt2/AUFLIA/array_unsat.smt2	699209689c17073970a116ed53f1eea59aeaec96afae99e75595b0ddb421bb6b
10	AUFLIA.array_update	AUFLIA	array_update.smt2	sat	sat	bench/z3_parity/benchmarks/AUFLIA/array_update.smt2	awft/AUFLIA/array_update.awft	expected_smt2/AUFLIA/array_update.smt2	f89f7146890cf105d2d618d49ea8e3a9929a6ff7422e69e3c57ddf48cf8059a3
