owner,method,visibility,input,output,checked_before_return
RuntimePlanBuilder,new,pub,RuntimeGenerationContractDeclaration,RuntimePlanBuilder,version exactly 1; no table publication
RuntimePlanBuilder,push_type,pub,RuntimePlanTypeDeclaration,"Result<RuntimePlanTypeId, RuntimePlanBuildError>",u32 capacity; semantic identity uniqueness; declaration local invariants
RuntimePlanBuilder,push_entry,pub,RuntimeEntrySpec,"Result<u32, RuntimePlanBuildError>",u32 capacity; owner-local identity/order; all embedded RuntimePlanTypeId values already allocated
RuntimePlanBuilder,push_callable_executable,pub,RuntimeCallableExecutable,"Result<u32, RuntimePlanBuildError>",u32 capacity; owner-local identity/order; all embedded RuntimePlanTypeId values already allocated
RuntimePlanBuilder,push_flow_executable,pub,RuntimeFlowExecutable,"Result<u32, RuntimePlanBuildError>",u32 capacity; owner-local identity/order; all embedded RuntimePlanTypeId values already allocated
RuntimePlanBuilder,push_flow,pub,RuntimeFlow,"Result<u32, RuntimePlanBuildError>",u32 capacity; owner-local identity/order; all embedded RuntimePlanTypeId values already allocated
RuntimePlanBuilder,push_pure_helper,pub,RuntimePureHelper,"Result<u32, RuntimePlanBuildError>",u32 capacity; owner-local identity/order; all embedded RuntimePlanTypeId values already allocated
RuntimePlanBuilder,push_trait_method,pub,RuntimeTraitMethod,"Result<u32, RuntimePlanBuildError>",u32 capacity; owner-local identity/order; all embedded RuntimePlanTypeId values already allocated
RuntimePlanBuilder,push_line_task_group,pub,LineTaskGroup,"Result<u32, RuntimePlanBuildError>",u32 capacity; owner-local identity/order; all embedded RuntimePlanTypeId values already allocated
RuntimePlanBuilder,push_stream_plan,pub,StreamPlan,"Result<u32, RuntimePlanBuildError>",u32 capacity; owner-local identity/order; all embedded RuntimePlanTypeId values already allocated
RuntimePlanBuilder,push_source_plan,pub,SourcePlan,"Result<u32, RuntimePlanBuildError>",u32 capacity; owner-local identity/order; all embedded RuntimePlanTypeId values already allocated
RuntimePlanBuilder,finish,pub,self,"Result<RuntimePlan, RuntimePlanBuildError>",all cross-table references; exact typed expr/pattern node sets; canonical table order; atomic publication
AwbcProgramBuilder,push_string,pub,String,"Result<AwbcStringId, AwbcProgramBuildError>",u32 capacity; owner-local shape; references target already allocated or are deferred and checked by finish
AwbcProgramBuilder,push_runtime_type,pub,AwbcRuntimeTypeDeclaration,"Result<AwbcTypeId, AwbcProgramBuildError>",u32 capacity; owner-local shape; references target already allocated or are deferred and checked by finish
AwbcProgramBuilder,push_constant,pub,AwbcTypedConstant,"Result<AwbcConstantId, AwbcProgramBuildError>",u32 capacity; owner-local shape; references target already allocated or are deferred and checked by finish
AwbcProgramBuilder,push_effect_set,pub,AwbcEffectSet,"Result<AwbcEffectSetId, AwbcProgramBuildError>",u32 capacity; owner-local shape; references target already allocated or are deferred and checked by finish
AwbcProgramBuilder,push_signature,pub,AwbcSignature,"Result<AwbcSignatureId, AwbcProgramBuildError>",u32 capacity; owner-local shape; references target already allocated or are deferred and checked by finish
AwbcProgramBuilder,push_frame_layout,pub,AwbcFrameLayout,"Result<AwbcFrameLayoutId, AwbcProgramBuildError>",u32 capacity; owner-local shape; references target already allocated or are deferred and checked by finish
AwbcProgramBuilder,push_function,pub,AwbcFunction,"Result<AwbcFunctionId, AwbcProgramBuildError>",u32 capacity; owner-local shape; references target already allocated or are deferred and checked by finish
AwbcProgramBuilder,push_block,pub,AwbcBlock,"Result<AwbcBlockId, AwbcProgramBuildError>",u32 capacity; owner-local shape; references target already allocated or are deferred and checked by finish
AwbcProgramBuilder,push_instruction,pub,AwbcInstruction,"Result<AwbcInstructionId, AwbcProgramBuildError>",u32 capacity; owner-local shape; references target already allocated or are deferred and checked by finish
AwbcProgramBuilder,push_resume_point,pub,AwbcResumePoint,"Result<AwbcResumePointId, AwbcProgramBuildError>",u32 capacity; owner-local shape; references target already allocated or are deferred and checked by finish
AwbcProgramBuilder,push_pattern,pub,AwbcTypedPattern,"Result<AwbcPatternId, AwbcProgramBuildError>",u32 capacity; owner-local shape; references target already allocated or are deferred and checked by finish
AwbcProgramBuilder,push_match_arm,pub,AwbcMatchArm,"Result<AwbcMatchArmId, AwbcProgramBuildError>",u32 capacity; owner-local shape; references target already allocated or are deferred and checked by finish
AwbcProgramBuilder,push_intrinsic,pub,AwbcIntrinsic,"Result<AwbcIntrinsicId, AwbcProgramBuildError>",u32 capacity; owner-local shape; references target already allocated or are deferred and checked by finish
AwbcProgramBuilder,push_host_call,pub,AwbcHostCall,"Result<AwbcHostCallId, AwbcProgramBuildError>",u32 capacity; owner-local shape; references target already allocated or are deferred and checked by finish
