limit_row	owner	maximum	real_producer_or_prefill	exact_case	one_over_case	earlier_limits_available	expected_result
L-E13-001	SyntaxLimit::Diagnostics	1024	1024/1025 top-level `use a as` declarations; each emits one real SyntaxEvent::Diagnostic	1024 declarations -> 1024 diagnostics commit	1025 declarations -> observed 1025 rollback	TopLevelItems 1025 < 16384; identity/source well below maxima	exact succeeds; one-over SyntaxLimit::Diagnostics
L-E13-002	E13 MissingName syntax diagnostics	1024	1024 real `use a as` diagnostics plus `target.` in a valid function	1024 + MissingName delta0 remains 1024	not an E13 one-over producer; use L-E13-001	MissingName charges no diagnostic and no recovery counter	commit proves zero delta
L-E13-003	SyntaxLimit::Expressions	262144	"tokenization-safe chain `""x""` + `.a` repeated n times through final central Select parser"	n=262143: expressions262144; identities524287; bytes524289	n=262144: expressions262145; identities would524289; bytes524291	IdentityBearingNodes and source bytes remain available	Expressions is first failing syntax limit
L-E13-004	SyntaxLimit::IdentityBearingNodes	1048576	one grouped-use ParsedSource `use a::{` + N comma-separated `a` members + `}`	N=1048572: Use+Path+Open+Close+N =1048576; source bytes2097152; expressions0	N=1048573: observed1048577; source bytes2097154; expressions0	Diagnostics0, Expressions0, source below maximum	IdentityBearingNodes only
L-E13-005	MAX_REGISTRATION_SOURCE_BYTES / HirLimit::SourceDocumentBytes	8388608	valid ParsedSource with fixed small Select document and trailing lossless whitespace padding computed by checked subtraction	exact 8388608 bytes registers, parses, and lowers	8388609 bytes rejected before parser/HIR publication	all syntax/HIR allocation budgets small	source byte owner only
L-E13-006	HirLimit::NameBytes	1024	`target.` followed by one valid identifier of repeated `a` bytes	1024-byte member preflights then unchanged HirName::try_new succeeds	1025-byte member observes1025 and rolls back before constructor/publication	source/syntax/diagnostics/slots small	NameBytes only; Missing charges zero
L-E13-007	HirLimit::Diagnostics delta1	1024	real syntax diagnostic prefill from 1023/1024 `use a as` rows plus direct `target.`	prefill1023 + HIR1 =1024 commit	prefill1024 + HIR1 =1025 rollback	syntax limit admits both prefills; expression/slot room	Diagnostics only
L-E13-008	HirLimit::Diagnostics delta2	1024	real syntax diagnostic prefill plus `(target.).`	prefill1022 + HIR2 =1024 commit	prefill1023 + HIR2 =1025 rollback	syntax diagnostics <=1023; expression/slot room	Diagnostics only; both staged diagnostics roll back together
L-E13-009	HirLimit::Diagnostics delta0	1024	1024 real syntax diagnostics plus clean `target.member`	existing1024 +0 remains valid	n/a; clean E13 cannot cause one-over	other budgets small	commit clean
L-E13-010	HirLimit::Expressions	262144	one real ParsedSource: accepted `scope {}` omitted-tail producer, clean chain of B authored expressions, and a direct two-slot Select	B=262140 -> syntax262143; HIR B+2(named block+synthetic tail)+2(direct)=262144	B=262141 -> syntax262144 exact; HIR262145 rollback	Syntax Expressions exact at one-over; TotalSlots room; diagnostics0	HIR Expressions only; no counter injection
L-E13-011	HirLimit::TotalSlotsPerModule	786432	real committed/retired ParsedSource revisions from clean expression-chain generator fill non-live global slots; production inventory selects final batch; current live Expressions are zero before direct Select	verified prefill786430 + direct delta2 =786432 commit	verified prefill786431 + direct delta2 =786433 rollback	Hir Expressions has room2; diagnostics/name/source/component budgets small	TotalSlotsPerModule only; retired slots are never resurrected
L-E13-012	source component count	NO_INDEPENDENT_HARD_LIMIT	typed child manifests + exactly two components per Select and two per Try; checked arithmetic	direct/try/nested totals from WORK_ACCOUNTING_MATRIX commit	usize/u32 checked-add overflow is direct transaction invariant failure, not fabricated one-over limit	all real hard limits separate	no SourceComponents enum is invented
L-E13-013	SyntheticDescendantsPerOwner	1024	E13 reachability audit	all reachable E13 rows delta0	NOT_APPLICABLE_WITH_EVIDENCE; missing target has no producer	general 1024/1025 remains tail-package authority	no E13 child or key is allocated
