path,commit,sha256,bytes,lines,retrieval,evidence,raw_url
AGENTS.md,80348beed0efa72db07f712122217b4e679e0a97,484636c8d43c002d08c50e535b23d41ffcdfee25370ad16fc7adef374d2d57a3,6046,115,commit-pinned raw GitHub capture,repository layer/deletion/version/Git invariants,https://raw.githubusercontent.com/Sanzentyo/arcweft/80348beed0efa72db07f712122217b4e679e0a97/AGENTS.md
crates/AGENTS.md,80348beed0efa72db07f712122217b4e679e0a97,9dc887815ef05b1e7c2f63937926a908cdd7d9e36b916600fe9a278787966565,6943,134,commit-pinned raw GitHub capture,Rust workspace public-boundary/dependency/testing rules,https://raw.githubusercontent.com/Sanzentyo/arcweft/80348beed0efa72db07f712122217b4e679e0a97/crates/AGENTS.md
docs/AGENTS.md,80348beed0efa72db07f712122217b4e679e0a97,40ef407718c7b6f44b1f79d8dcd92c562d3ff4649557ecfeff37a33d7fd86c2d,2247,51,commit-pinned raw GitHub capture,documentation authority/evidence rules,https://raw.githubusercontent.com/Sanzentyo/arcweft/80348beed0efa72db07f712122217b4e679e0a97/docs/AGENTS.md
docs/reviews/AGENTS.md,80348beed0efa72db07f712122217b4e679e0a97,711dad4ccf1f90f61052e0fa8d3b82ab49c20908919b43d795bed3f65596abab,4082,72,commit-pinned raw GitHub capture,design-only ZIP/readiness/OPEN_QUESTIONS rules,https://raw.githubusercontent.com/Sanzentyo/arcweft/80348beed0efa72db07f712122217b4e679e0a97/docs/reviews/AGENTS.md
docs/00-overview/crate-map.md,80348beed0efa72db07f712122217b4e679e0a97,1ad3b2a8a8e61c43a4f23eecd4e5d1c45ac7f66337e9a919f16f4f7ddcae543a,13573,277,commit-pinned raw GitHub capture,core/runtime-plan/compiler/runtime-driver dependency direction,https://raw.githubusercontent.com/Sanzentyo/arcweft/80348beed0efa72db07f712122217b4e679e0a97/docs/00-overview/crate-map.md
crates/arcweft-core/Cargo.toml,80348beed0efa72db07f712122217b4e679e0a97,5ba9eba429c8cf29084d97be47d6a99cf10dfc91541a5154ff660e482b47bd9a,839,35,commit-pinned raw GitHub capture,core lower-layer dependencies,https://raw.githubusercontent.com/Sanzentyo/arcweft/80348beed0efa72db07f712122217b4e679e0a97/crates/arcweft-core/Cargo.toml
crates/arcweft-core/src/plan.rs,80348beed0efa72db07f712122217b4e679e0a97,89ae205329ac9297a11b5bbfe676f02be55334e52acc2c17125067ed3c841340,36172,1096,commit-pinned raw GitHub capture,current RuntimePlan public fields/Default and plan owner tables,https://raw.githubusercontent.com/Sanzentyo/arcweft/80348beed0efa72db07f712122217b4e679e0a97/crates/arcweft-core/src/plan.rs
crates/arcweft-core/src/plan/generation_contract.rs,80348beed0efa72db07f712122217b4e679e0a97,88f98d683651242d499d2f43ccab41413d8706690487cb396000dd691dc0809a,3380,98,commit-pinned raw GitHub capture,current generation/root/catalog scalar newtypes,https://raw.githubusercontent.com/Sanzentyo/arcweft/80348beed0efa72db07f712122217b4e679e0a97/crates/arcweft-core/src/plan/generation_contract.rs
crates/arcweft-core/src/pattern.rs,80348beed0efa72db07f712122217b4e679e0a97,6ff1831a258c87510cb31420ad019cc44b7c62c478fa1322a2ce1e17865e855a,39801,1148,commit-pinned raw GitHub capture,RuntimeCheckedType and current owner-only opaque acceptance,https://raw.githubusercontent.com/Sanzentyo/arcweft/80348beed0efa72db07f712122217b4e679e0a97/crates/arcweft-core/src/pattern.rs
crates/arcweft-core/src/value.rs,80348beed0efa72db07f712122217b4e679e0a97,a6aebb5a9752e3e337a2f27e3ba9c30dbc104095aac8ece47a1876e83efe0ed3,92140,2705,commit-pinned raw GitHub capture,complete RuntimeValue/RuntimeExpr variants,https://raw.githubusercontent.com/Sanzentyo/arcweft/80348beed0efa72db07f712122217b4e679e0a97/crates/arcweft-core/src/value.rs
