producer_id	literal_source	status	tokens_and_byte_ranges	lossless_cst_and_roles	central_projection	select_whole	select_target	selected_member	try_geometry	syntax_diagnostic_delta	final_hir_shape	evidence_or_replacement
P-E13-001	target.member	REACHABLE_FINAL_PARSER	Identifier target 0..6; Dot 6..7; Identifier member 7..13	SelectExpression; Target=PathExpression 0..6; Field(0)=NameReference 7..13	Select(Name(member))	0..13	Span 0..6	Span 7..13	n/a	0	Path(target_id) + Select{target=target_id,member=Name(member)}	ordinary dot is emitted as postfix Select in the central expression event owner
P-E13-002	target.	REACHABLE	Identifier target 0..6; Dot 6..7; EOF at 7	SelectExpression; Target=PathExpression 0..6; Field(0)=MissingName 7..7	Select(Missing)	0..7	Span 0..6	Insertion 7..7	n/a	0	Path + Select{member=Missing}	MissingName is zero width and emits no SyntaxEvent::Diagnostic
P-E13-003	target?.member	REACHABLE_AFTER_REQUIRED_TOKEN_SPLIT	Identifier 0..6; Question 6..7; Dot 7..8; Identifier 8..14	TryExpression 0..7 around PathExpression 0..6; outer SelectExpression 0..14; member NameReference 8..14	Try(PostfixQuestion), then Select(Name(member))	0..14	Span 0..7	Span 8..14	Try Whole 0..7; Operand 0..6; Operator 6..7	0	Path + Try(try_id) + Select{target=try_id,member=Name(member)}	delete combined ?. token/OptionalDot path; semantic Pratt evidence already constructs this shape
P-E13-004	target?.	REACHABLE_AFTER_REQUIRED_TOKEN_SPLIT	Identifier 0..6; Question 6..7; Dot 7..8; EOF at 8	TryExpression 0..7; outer SelectExpression 0..8; MissingName 8..8	Try(PostfixQuestion), then Select(Missing)	0..8	Span 0..7	Insertion 8..8	Try Whole 0..7; Operand 0..6; Operator 6..7	0	Path + Try + Select{member=Missing}	Try identity and its source components survive lowering
P-E13-005	(target.).member	REACHABLE_POISON_TARGET_NAME	OpenParen 0..1; target 1..7; inner Dot 7..8; CloseParen 8..9; outer Dot 9..10; member 10..16	DelimitedGroup 0..9 contains inner SelectExpression 1..8 with MissingName 8..8; outer SelectExpression 0..16 has Target=group 0..9 and NameReference 10..16	inner Select(Missing); outer Select(Name(member))	outer 0..16; inner 1..8	outer Span 0..9; inner Span 1..7	outer Span 10..16; inner Insertion 8..8	n/a	0	Path + inner Select(poisoned) + outer Select{member=Name}	parentheses force a real nested expression without compact/spaced path ambiguity; DelimitedGroup allocates no HIR ExprId
P-E13-006	(target.).	REACHABLE_POISON_TARGET_MISSING	OpenParen 0..1; target 1..7; inner Dot 7..8; CloseParen 8..9; outer Dot 9..10; EOF 10	inner SelectExpression 1..8 MissingName 8..8; outer SelectExpression 0..10 MissingName 10..10	inner Select(Missing); outer Select(Missing)	outer 0..10; inner 1..8	outer Span 0..9; inner Span 1..7	outer Insertion 10..10; inner Insertion 8..8	n/a	0	Path + two distinct Select roots, both Missing	two distinct qualified owners and two diagnostics
P-E13-007	target.   	REACHABLE_TRIVIA_INSERTION	target 0..6; Dot 6..7; spaces 7..10; EOF 10	SelectExpression 0..10; MissingName 10..10 after consumed trivia	Select(Missing)	0..10	Span 0..6	Insertion 10..10	n/a	0	Path + Select(Missing)	insertion comes from attached MissingName, not dot-end arithmetic
P-E13-008	target./*c*/	REACHABLE_COMMENT_INSERTION	target 0..6; Dot 6..7; block comment 7..12; EOF 12	SelectExpression 0..12; MissingName 12..12 after consumed comment trivia	Select(Missing)	0..12	Span 0..6	Insertion 12..12	n/a	0	Path + Select(Missing)	comment trivia remains lossless and insertion is parser-owned
P-E13-009	(target.   ).member	REACHABLE_POISON_TRIVIA_NAME	Open 0..1; target 1..7; Dot 7..8; spaces 8..11; Close 11..12; Dot 12..13; member 13..19	inner Select 1..11 MissingName 11..11; group 0..12; outer Select 0..19 NameReference 13..19	inner Missing; outer Name	outer 0..19; inner 1..11	outer Span 0..12; inner Span 1..7	outer Span 13..19; inner Insertion 11..11	n/a	0	Path + inner Select + outer Select	trivia displacement is retained in the descendant primary site
P-E13-010	(target./*c*/).member	REACHABLE_POISON_COMMENT_NAME	Open 0..1; target 1..7; Dot 7..8; comment 8..13; Close 13..14; Dot 14..15; member 15..21	inner Select 1..13 MissingName 13..13; group 0..14; outer Select 0..21 NameReference 15..21	inner Missing; outer Name	outer 0..21; inner 1..13	outer Span 0..14; inner Span 1..7	outer Span 15..21; inner Insertion 13..13	n/a	0	Path + inner Select + outer Select	comment insertion and descendant-before-ancestor diagnostic order are observable
