decision,requirement,decision_document,normative_outputs,closed_result
1,External lowerer construction boundary,decision-01-external-construction-boundary.md,RAW_CONSTRUCTION_API.md; RAW_CONSTRUCTION_SURFACE.csv,public checked builders; private fields; shared custom decode; atomic finish
2,Public raw data is not authority,decision-02-public-raw-data-not-authority.md,AUTHORITY_BOUNDARY_TESTS.csv; TEST_MATRIX.csv,legitimate lowerer pass plus field/default/Serde/admitted-wrapper bypass failures
3,Independent admitted-generation issuer,decision-03-generation-issuer.md,GENERATION_ISSUANCE_API.md; ACCEPTED_WORLD_OWNER_MAP.csv,compiler assembly; core Arc parent; accepted facts/catalog ownership
4,Lower-layer fact projection,decision-04-core-fact-projection.md,GENERATION_ISSUANCE_API.md; GENERATION_PROJECTION_MAP.csv,non-Serde owned projection; canonical order; duplicate/root/provenance checks
5,Admission APIs consume issued generation,decision-05-admission-apis.md,ADMISSION_PAIR_DRIVER_API.md; ADMISSION_FLOW.csv,generation.try_admit_plan/awbc; no raw self-admission
6,"Pair, driver, hot-swap, restore/replay",decision-06-driver-pair-restore.md,ADMISSION_PAIR_DRIVER_API.md; DRIVER_OWNER_MAP.csv; RESTORE_ORDER.csv; BUNDLE_RUNTIME_GENERATION_SECTIONS.md; BUNDLE_RUNTIME_GENERATION_SECTIONS.csv,same Arc parent; driver generation; verified generation-first restore
7,Opaque payload semantics,decision-07-opaque-atomic.md,CHECKED_VALIDATION_API.md; CHECKED_PATH_PUSH_RULES.csv; ERROR_PRECEDENCE.csv,atomic owner-only generic checked validation
8,Checked context and domain owner order,decision-08-checked-context-order.md,CHECKED_VALIDATION_API.md; CONTEXT_ISSUANCE_MAP.csv,contexts only from admitted plan/product sites
9,Unique AudioCommand/effect resolution,decision-09-audio-effect-sites.md,AUDIO_SITE_API.md; AWBC_AUDIO_TYPED_SLOTS.csv; AWBC_SITE_RESOLUTION.csv,effect-owned coordinate; exact slots/bounds/alias/cycle rules
10,Complete RuntimeExpr node rule,decision-10-complete-expr-nodes.md,RUNTIME_EXPR_NODE_API.md; RUNTIME_PLAN_TYPE_KIND.csv; RUNTIME_EXPR_NODE_RESOLUTION.csv,root [0] for every expression; Checked or Operational declaration
11,Contradictory tests replaced,decision-11-test-reconciliation.md,TEST_MATRIX.csv; TEST_MATRIX.md,mandatory audio; Option None no child; atomic opaque; external lowerer pass
12,Compile-clean implementation/deletion order,decision-12-implementation-order.md,IMPLEMENTATION_ORDER.csv; IMPLEMENTATION_ORDER.md,14 compile-clean phases; replacement and deletion in same phase
