path,blob,owner,observation,verification
AGENTS.md,connector-inspected at current SHA,repository-wide working contract,"one typed authority, deletion-driven migrations, design-only package boundaries, and compile-clean cut expectations",authenticated GitHub connector; complete file read
docs/AGENTS.md,connector-inspected at current SHA,documentation contract,documentation/package ownership and review artifact requirements,authenticated GitHub connector; complete file read
docs/reviews/AGENTS.md,connector-inspected at current SHA,review/package contract,"independently throwable final-contract ZIP, no generic CLOSED placeholders, validator and source evidence requirements",authenticated GitHub connector; complete file read
docs/implementation/AGENTS.md,connector-inspected at current SHA,implementation evidence and source-reconciliation contract,implementation reports must distinguish verified source evidence from specified future production work and must not treat absent paths as targets,authenticated GitHub connector; complete file read
crates/AGENTS.md,connector-inspected at current SHA,Rust crate policy,original enum owners receive inherent behavior; no ad-hoc extension traits or unsafe shortcuts,authenticated GitHub connector; complete file read
docs/reviews/requests/2026-08-22-lang-01.5.1.1.2.1.1.1.1.1.1-runtime-task-persistence-and-match-substrate-correction.md,6b3d614e7813fa6552e84f15610175633470227d,current correction request,"ten mandatory corrections, 14 package categories, negative validator crossings and READY gate",repository file and 415-line attached input read completely; attached SHA-256 804f68c052640fe3964e70bfe011cad2c4429873a70b790c3a0526b5f46c7e6e
docs/implementation/2026-08-22-lang-01-5-1-1-2-1-1-1-1-1-runtime-need-view-return-intake.md,connector-inspected at current SHA,repository intake/reconciliation,nine repository crossings that invalidate the predecessor return despite internal package consistency,authenticated GitHub connector; complete file read
docs/reviews/packages/arcweft-lang-01.5.1.1.2.1.1.1.1.1-runtime-need-instance-view-match-admission-correction-final-contract/IDENTITY_AND_DIGESTS.md,connector-inspected at current SHA,retained identity transcript,"producer/Need/task ID transcripts, policy ordinals, family set, RuntimeValue tag 20 and View identity exclusions",authenticated GitHub connector; retained sections inspected; frozen without renumbering
crates/arcweft-core/src/task.rs,130256a8a8efb2fe6c7028c68357cb707f975eb9,current task/Need data,"String-backed NeedId/TaskKey/TaskId, unconditional TaskSpec.request and incomplete correlation/events",authenticated GitHub connector at inspected SHA; production unchanged by docs-only head commit
crates/arcweft-runtime-scheduler/src/lib.rs,connector-inspected at current SHA,current deterministic scheduler,"separate lightweight pending/in-flight scheduler with no generation journal, adapter transaction, runtime task state or snapshot owner",authenticated GitHub connector; relevant file read
crates/arcweft-runtime-driver/src/task.rs,22aabea946be7645afcebe65415bcea3cd786eb9,current driver task registry,second RuntimeTaskRegistry and partial String/Option DTO authority,authenticated GitHub connector; complete relevant range
crates/arcweft-runtime-driver/src/swap.rs,39ecdfad33abfe4a55e20f8e7501878152ef797e,current generation type,driver-local GenerationId proves the required move to arcweft-core,authenticated GitHub connector
crates/arcweft-core/src/value.rs,6370e9bee5594bf3ec5835b5ab00405570a27a8f,current RuntimeValue,closed enum lacks NeedHandle and derives structural PartialEq; contains_nonconstant_opaque couples constant policy,authenticated GitHub connector; relevant ranges inspected
crates/arcweft-core/src/value/opaque.rs,connector-inspected at current SHA,current opaque carrier,RuntimeOpaqueValueClass Plain/AffineHandle and RuntimeOpaquePersistence ConstantAndSnapshot/SnapshotOnly are current exact owners,authenticated GitHub connector; complete file read
crates/arcweft-core/src/entry/schema.rs,24e5bbc3cd3409f3f06ea08a81108574babb4626,sole canonical RuntimeValue grammar,one exhaustive canonical visitor currently rejects SnapshotOnly opaque identity and materializes bytes before hashing,authenticated GitHub connector; canonical writer inspected
crates/arcweft-core/src/value/awbc_save.rs,connector-inspected at current SHA,current RuntimeValue save projection,complete AWBC-specific value snapshot shape provides the concrete base to generalize to core RuntimeValueSnapshotV1,authenticated GitHub connector; complete relevant range
crates/arcweft-core/src/value/agent.rs,61ef48b8b74c80120bf3f6777c708597b851bff5,current Agent value carrier,"exact RuntimeAgentValue variants include ActionTarget, CaptureTarget, DebugStatePath, ObservationFieldPath, Probe, Diagnostics, Predicate and ViewportPoint",authenticated GitHub connector; enum and payloads inspected
crates/arcweft-core/src/plan/type_kind.rs,connector-inspected at current SHA,runtime-plan type projection,closed RuntimePlanTypeProjection and RuntimeAgentTypeProjection; Predicate is a leaf while Probe alone carries a child,authenticated GitHub connector; exhaustive children() inspected
crates/arcweft-lang-sema/src/types.rs,528d32482865aae4bf8dd8f456468b061ecdedc7,current TypeKind,85 exact current variants used to regenerate the carrier-backed matrix,authenticated GitHub connector; full enum range inspected
crates/arcweft-lang-sema/src/final_analysis/model.rs,a415ac5e8ae90533a6983e1c934185bd15395848,current checked semantic variants,"27 CheckedExpressionResolution variants, 8 CheckedValueResolution variants, 7 CheckedSelectResolution variants and 5 CheckedPatternResolution variants",authenticated GitHub connector; exhaustive definitions inspected
crates/arcweft-lang-sema/src/final_analysis/report.rs,31a587463d8f035b4d753c0fcbc7fcfcf75d3876,accepted semantic generation,FinalSemanticAnalysis owns exact per-module HirSnapshotId and expression/pattern maps; no AcceptedSemanticGeneration owner exists,authenticated GitHub connector; report construction and generation validation inspected
crates/arcweft-lang-hir/src/pattern.rs,e35576238711d9a331d267fbfac4af52d32eea7f,current HIR pattern family,13 exact HirPatternKind variants including Error recovery,authenticated GitHub connector; full enum inspected
crates/arcweft-lang-hir/src/leaf.rs,6011efa3dbaa20b5964e3b83b9b1eabf8c20df42,current semantic literal values,"7 exact literal families and canonical big integer, decimal, float-bit and duration semantic values",authenticated GitHub connector; literal definitions inspected
crates/arcweft-need/src/lib.rs,05446a144a25aaf55e65cd1319d8fe5ad1123f03,Need state,Need<T> is NotStarted/Pending/Ready/Cancelled and Progress validates finite 0..=1,authenticated GitHub connector; complete file read
docs/02-runtime/need-timeout.md,connector-inspected at current SHA,maintained timeout contract,"RuntimeStepInput.dt-only clock, first-demand start, cancellation/source/expiration/Pending precedence and source non-cancellation",authenticated GitHub connector; complete document read
docs/02-runtime/async-scheduler.md,e070aa843839be76654df6c61b2ccf4c237d249e,maintained scheduler/Need contract,"Sans-I/O TaskHost, JoinSameKey, AwaitMany source-order outputs and domain/infrastructure/cancellation separation",authenticated GitHub connector; complete document read
crates/arcweft-view/src/view/identity.rs,153fa4450cc676e7f6b860c9700dfc7bb95e4315,current View identity,ViewProgramId and AcceptedViewProgramRevision([u8;32]) are the existing final roles,authenticated GitHub connector
crates/arcweft-compiler/src/view.rs,6bba13ab04869dddf95dc6198522820f5d09da99,compiler View publication,real compiler View product path for compiler-local row migration,authenticated GitHub connector; path and owner confirmed
crates/arcweft-bundle/src/product.rs,e110bfdb7245fb475827c003e261dfe221e0e768,bundle product,real product owner for persistent digest projection,authenticated GitHub connector; path confirmed
crates/arcweft-bundle/src/container.rs,c9a52c99c4ac4c59c402f31b62038111e84682ff,bundle container codec,real strict product/container codec owner; no nonexistent codec.rs target is named,authenticated GitHub connector; directory listing confirmed
