variant,disposition,recursion,runtime_projection,live_carrier,canonical_identity,snapshot_codec,rejection,notes
Bool,Copy,none,,RuntimeValue::Bool,canonical RuntimeValue visitor for RuntimeValue::Bool,RuntimeValueSnapshotV1::Bool,,Copy values are also representable by the named snapshot row; producer retention does not require cloning.
I8,Copy,none,,RuntimeValue::Int/UInt with exact RuntimeSignedIntWidth/RuntimeUnsignedIntWidth,canonical RuntimeValue visitor for RuntimeValue::Int/UInt with exact RuntimeSignedIntWidth/RuntimeUnsignedIntWidth,RuntimeValueSnapshotV1::IntOrUInt,,Copy values are also representable by the named snapshot row; producer retention does not require cloning.
I16,Copy,none,,RuntimeValue::Int/UInt with exact RuntimeSignedIntWidth/RuntimeUnsignedIntWidth,canonical RuntimeValue visitor for RuntimeValue::Int/UInt with exact RuntimeSignedIntWidth/RuntimeUnsignedIntWidth,RuntimeValueSnapshotV1::IntOrUInt,,Copy values are also representable by the named snapshot row; producer retention does not require cloning.
I32,Copy,none,,RuntimeValue::Int/UInt with exact RuntimeSignedIntWidth/RuntimeUnsignedIntWidth,canonical RuntimeValue visitor for RuntimeValue::Int/UInt with exact RuntimeSignedIntWidth/RuntimeUnsignedIntWidth,RuntimeValueSnapshotV1::IntOrUInt,,Copy values are also representable by the named snapshot row; producer retention does not require cloning.
I64,Copy,none,,RuntimeValue::Int/UInt with exact RuntimeSignedIntWidth/RuntimeUnsignedIntWidth,canonical RuntimeValue visitor for RuntimeValue::Int/UInt with exact RuntimeSignedIntWidth/RuntimeUnsignedIntWidth,RuntimeValueSnapshotV1::IntOrUInt,,Copy values are also representable by the named snapshot row; producer retention does not require cloning.
I128,Copy,none,,RuntimeValue::Int/UInt with exact RuntimeSignedIntWidth/RuntimeUnsignedIntWidth,canonical RuntimeValue visitor for RuntimeValue::Int/UInt with exact RuntimeSignedIntWidth/RuntimeUnsignedIntWidth,RuntimeValueSnapshotV1::IntOrUInt,,Copy values are also representable by the named snapshot row; producer retention does not require cloning.
ISize,Copy,none,,RuntimeValue::Int/UInt with exact RuntimeSignedIntWidth/RuntimeUnsignedIntWidth,canonical RuntimeValue visitor for RuntimeValue::Int/UInt with exact RuntimeSignedIntWidth/RuntimeUnsignedIntWidth,RuntimeValueSnapshotV1::IntOrUInt,,Copy values are also representable by the named snapshot row; producer retention does not require cloning.
U8,Copy,none,,RuntimeValue::Int/UInt with exact RuntimeSignedIntWidth/RuntimeUnsignedIntWidth,canonical RuntimeValue visitor for RuntimeValue::Int/UInt with exact RuntimeSignedIntWidth/RuntimeUnsignedIntWidth,RuntimeValueSnapshotV1::IntOrUInt,,Copy values are also representable by the named snapshot row; producer retention does not require cloning.
U16,Copy,none,,RuntimeValue::Int/UInt with exact RuntimeSignedIntWidth/RuntimeUnsignedIntWidth,canonical RuntimeValue visitor for RuntimeValue::Int/UInt with exact RuntimeSignedIntWidth/RuntimeUnsignedIntWidth,RuntimeValueSnapshotV1::IntOrUInt,,Copy values are also representable by the named snapshot row; producer retention does not require cloning.
U32,Copy,none,,RuntimeValue::Int/UInt with exact RuntimeSignedIntWidth/RuntimeUnsignedIntWidth,canonical RuntimeValue visitor for RuntimeValue::Int/UInt with exact RuntimeSignedIntWidth/RuntimeUnsignedIntWidth,RuntimeValueSnapshotV1::IntOrUInt,,Copy values are also representable by the named snapshot row; producer retention does not require cloning.
