phase,goal,owners,add_migrate,delete_same_phase,focused_gate
P00,characterize current main,all affected crates,record current tests/source/constructors; no code change,none,cargo check --workspace --all-targets --all-features
P01,core atomic plan construction owner,arcweft-core,"add inherent intern_batch, RuntimeIndexPath/typed wrappers/visitors, RuntimePlanBuilder; private RuntimePlan and custom v1 decode; migrate all core tests/struct literals in same phase","public RuntimePlan fields, Default, unchecked/custom derive decode",cargo test -p arcweft-core plan::
P02,HIR synthetic owner vocabulary,arcweft-lang-hir,extend existing HirRuntimeSemanticOwnerInventory inherent impl with exact synthetic site enums/iterators,any parallel synthetic walker,cargo test -p arcweft-lang-hir runtime_semantic_owner
P03,accepted synthetic semantic facts,arcweft-runtime-plan; arcweft-compiler,extend same staging/aggregate; compiler projects exact types; add private into_lowering_parts move boundary,fallback/type-name/runtime-value resolver,cargo test -p arcweft-runtime-plan semantic_facts && cargo test -p arcweft-compiler runtime_semantic
P04,single-builder final lowering,arcweft-runtime-plan,migrate FinalExpr/Pattern/Flow and every helper/function/stream/source consumer to one builder and typed wrappers,raw public final lowerer success paths and independent nested lowerers,cargo test -p arcweft-runtime-plan final_
P05,nominal field projection and core generation facts,arcweft-core; arcweft-compiler,add checked field projection on original owner; root/producer/construction fact builders deriving roots,"field literals, unchecked row constructors, caller root maps",cargo test -p arcweft-core nominal_record && cargo test -p arcweft-compiler nominal
P06,canonical generation aggregate and structural issue,arcweft-core; character/view/dialogue adapters; compiler,wire owner-provided catalog facts; add explicit trusted-integrator structural issuance and exact parent token,bare digest/root inputs and self-issued roots,cargo test -p arcweft-core generation && cargo test -p arcweft-compiler generation
P07,plan admission,arcweft-core,consume raw RuntimePlan against independent generation; issue private plan key,RuntimePlan::admit/self-admission and raw execution branches,cargo test -p arcweft-core plan_admission
P08,AWBC domain schema/builder/v1 codec,arcweft-core,"add one in-place v1 domain table after runtime_types, handle/remap, record operands, private AwbcProgram/custom decode; migrate all core constructors","public program fields, sidecar domain map, old reader",cargo test -p arcweft-core awbc::codec && cargo test -p arcweft-core awbc::verify
P09,AWBC lowering/admission/product,arcweft-runtime-plan; arcweft-core,lower from AdmittedRuntimePlan through builder; admit exact domains/sites; pair exact Arc parent/key,"raw-plan AWBC lower, direct mutation/canonicalize success path",cargo test -p arcweft-runtime-plan awbc && cargo test -p arcweft-core runtime_product
P10,product-only checked context/domain,arcweft-core,add inherent product methods after product exists; migrate nominal checked construction and semantic value admission,pre-product context/domain issuance and RuntimeValue shape reconstruction,cargo test -p arcweft-core checked_value_context
P11,bundle byte verifier/evidence,arcweft-bundle,"decode fact/plan/AWBC sections, trust policy, independent admissions, pair; expose byte-only verifier","compiler dependency, generic/nonexistent VerifiedBundle, decoded-section publication",cargo test -p arcweft-bundle runtime_generation
P12,compiler product/evidence and bridge,arcweft-compiler,orchestrate exact compile order; issue private CompilerRuntimeEvidence; encode same v1 transcript and call bundle verifier,"placeholder inputs, raw product return, bundle-to-compiler dependency",cargo test -p arcweft-compiler runtime_product
P13,driver publication and direct core VM,arcweft-runtime-driver; arcweft-core,publish only VerifiedRuntimeBundleProduct; bind host policy; direct VM accepts published product,raw plan/program/admitted-product execution and host root/digest parameters,cargo test -p arcweft-runtime-driver publication
P14,published JIT/AOT/accelerator adapters,arcweft-lang-jit-cranelift; arcweft-runtime-codegen; arcweft-runtime-accelerator,add driver dependency and accept only &PublishedRuntimeGeneration,raw plan/AWBC/admitted-product backend entry APIs,cargo test -p arcweft-lang-jit-cranelift && cargo test -p arcweft-runtime-codegen && cargo test -p arcweft-runtime-accelerator
P15,hot swap/save/restore/replay,arcweft-runtime-driver; arcweft-save,same-parent prepared swap; verify/publish before lower save decode; driver performs product-context value admission,"save-to-driver dependency, pre-verification semantic decode, scalar-only parent equality",cargo test -p arcweft-runtime-driver swap && cargo test -p arcweft-runtime-driver restore && cargo test -p arcweft-save
P16,"deletion audit, docs, full gates",workspace,remove all aliases/fallbacks/raw success branches; regenerate fixtures/docs/inventories,all listed deletion targets,cargo fmt --all -- --check && cargo check --workspace --all-targets --all-features && cargo clippy --workspace --all-targets --all-features -- -D warnings && cargo test --workspace --all-features && cargo +nightly -Zscript tools/structure-audit.rs --root .
