id,layer,path,surface,current_state,final_decision,phase,action,evidence
ASF-INV-00001,Git head,GitHub commits/main,35d42ef is first main commit row,confirms latest head used,retain current evidence or migrate only residual boundary,P00,retain,E001
ASF-INV-00002,Git commit,commit page,35d42efdd89fef8fde73f62be2a3e38fd5e81e52,full selected commit and parent,retain current evidence or migrate only residual boundary,P00,retain,E002
ASF-INV-00003,workspace,Cargo.toml,workspace.members,"actual package names; no arcweft-aot, arcweft-lang-vm, or arcweft-lang-aot-rust",retain current evidence or migrate only residual boundary,P00,retain,E003
ASF-INV-00004,core plan,crates/arcweft-core/src/plan.rs,RuntimePlan,currently Default/Serde with public vectors; final builder/private plan remains residual,retain current evidence or migrate only residual boundary,P00,retain,E004
ASF-INV-00005,core type table,crates/arcweft-core/src/plan/type_table.rs,RuntimePlanTypeDeclaration/Table,private declaration fields and table accessor already landed,retain current evidence or migrate only residual boundary,P00,retain,E005
ASF-INV-00006,core type issuer,crates/arcweft-core/src/plan/type_table.rs,RuntimePlanTypeTableBuilder::intern/finish,sole first-seen contiguous issuer; exact duplicate reuse; conflict/overflow,retain current evidence or migrate only residual boundary,P00,retain,E006
ASF-INV-00007,core locals,crates/arcweft-core/src/plan/local_declarations.rs,RuntimeLocalDeclarationTableBuilder,canonical runtime-local table already landed; HIR IDs stay outside core,retain current evidence or migrate only residual boundary,P00,retain,E007
ASF-INV-00008,core pattern binding,crates/arcweft-core/src/pattern/binding.rs,RuntimePatternBindingStep/Path,closed steps; depth 64; whole/rest validation,retain current evidence or migrate only residual boundary,P00,retain,E008
ASF-INV-00009,core pattern binding,crates/arcweft-core/src/pattern/binding.rs,RuntimePatternBindingCoordinate,runtime local plus path; v1 tags 0..6; checked decode,retain current evidence or migrate only residual boundary,P00,retain,E009
ASF-INV-00010,semantic facts,crates/arcweft-runtime-plan/src/semantic_facts.rs,RuntimeTypeShape,current complete normalized runtime shape vocabulary,retain current evidence or migrate only residual boundary,P00,retain,E010
ASF-INV-00011,semantic facts,crates/arcweft-runtime-plan/src/semantic_facts.rs,RuntimeNormalizedType::runtime_plan_type_kind,checked/operational classification already landed; composites recurse,retain current evidence or migrate only residual boundary,P00,retain,E011
ASF-INV-00012,semantic staging,crates/arcweft-runtime-plan/src/semantic_facts.rs,RuntimePlanSemanticFactStagingInput,local/expression/pattern accepted facts already staged,retain current evidence or migrate only residual boundary,P00,retain,E012
ASF-INV-00013,semantic aggregate,crates/arcweft-runtime-plan/src/semantic_facts.rs,RuntimePlanSemanticFacts,canonical BTreeMaps and local table already landed,retain current evidence or migrate only residual boundary,P00,retain,E013
ASF-INV-00014,semantic completeness,crates/arcweft-runtime-plan/src/semantic_facts.rs,validate_complete_expression_types/validate_complete_pattern_types,source-backed expression/pattern completeness already landed,retain current evidence or migrate only residual boundary,P00,retain,E014
ASF-INV-00015,semantic accessors,crates/arcweft-runtime-plan/src/semantic_facts.rs,expression_type/pattern_type/local_type,accepted type accessors already landed,retain current evidence or migrate only residual boundary,P00,retain,E015
ASF-INV-00016,HIR owner inventory,crates/arcweft-lang-hir/src/final_project/runtime_semantic_owners.rs,HirRuntimeSemanticOwnerInventory,current head landed HIR-owned runtime owner closure,retain current evidence or migrate only residual boundary,P00,retain,E016
ASF-INV-00017,expression lowerer,crates/arcweft-runtime-plan/src/final_expr.rs,FinalExprLowerer,currently module+facts and returns raw RuntimeExpr,retain current evidence or migrate only residual boundary,P00,retain,E017
ASF-INV-00018,expression lowerer,crates/arcweft-runtime-plan/src/final_expr.rs,source expression match,37 HIR expression families; independent pattern lowerer construction,retain current evidence or migrate only residual boundary,P00,retain,E018
ASF-INV-00019,expression synthetic,crates/arcweft-runtime-plan/src/final_expr.rs,spread/assignment/variant/reduction,current synthetic RuntimeExpr nodes requiring exact accepted types,retain current evidence or migrate only residual boundary,P00,retain,E019
ASF-INV-00020,expression synthetic,crates/arcweft-runtime-plan/src/final_expr.rs,choice/shorthand/block/Agent,remaining shorthand/local/Agent synthetic nodes,retain current evidence or migrate only residual boundary,P00,retain,E020
ASF-INV-00021,pattern lowerer,crates/arcweft-runtime-plan/src/final_pattern.rs,FinalPatternLowerer,currently raw patterns; shorthand/rest nodes synthesized,retain current evidence or migrate only residual boundary,P00,retain,E021
ASF-INV-00022,flow lowerer,crates/arcweft-runtime-plan/src/final_flow.rs,FlowBodyLowerer::lower statement dispatch,constructs independent expr/pattern lowerers; assignment discard/unit synthetic nodes,retain current evidence or migrate only residual boundary,P00,retain,E022
ASF-INV-00023,flow lowerer,crates/arcweft-runtime-plan/src/final_flow.rs,lower_assertion,synthetic assertion message currently built directly,retain current evidence or migrate only residual boundary,P00,retain,E023
ASF-INV-00024,AWBC schema,crates/arcweft-core/src/awbc/schema.rs,AWBC_ABI_VERSION/AWBC_CODEC_VERSION/AWBC_MAGIC,all remain version 1; envelope magic retained,retain current evidence or migrate only residual boundary,P00,retain,E024
ASF-INV-00025,AWBC schema,crates/arcweft-core/src/awbc/schema.rs,AwbcProgram,currently raw public program fields; final builder/private program remains residual,retain current evidence or migrate only residual boundary,P00,retain,E025
ASF-INV-00026,AWBC constant,crates/arcweft-core/src/awbc/schema.rs,AwbcConstant::Record,currently type plus field-name spelling; nominal-domain operand absent,retain current evidence or migrate only residual boundary,P00,retain,E026
ASF-INV-00027,AWBC instruction,crates/arcweft-core/src/awbc/schema.rs,AwbcOpcode::MakeRecord/AwbcInstruction::MakeRecord,opcode 0x0f retained; nominal-domain operand absent,retain current evidence or migrate only residual boundary,P00,retain,E027
ASF-INV-00028,AWBC lowerer,crates/arcweft-runtime-plan/src/awbc_lower.rs,AwbcLowerer::lower,currently accepts raw RuntimePlan and mutates/canonicalizes raw program,retain current evidence or migrate only residual boundary,P00,retain,E028
ASF-INV-00029,root projection,crates/arcweft-core/src/plan/generation_contract.rs,RuntimeProjectRootId/RuntimeProducerRootId,lossless 32-byte projections already landed; no caller root map,retain current evidence or migrate only residual boundary,P00,retain,E029
ASF-INV-00030,policy,AGENTS.md,repository invariants,"one typed authority, deletion migration, versions fixed at 1",retain current evidence or migrate only residual boundary,P00,retain,E030
ASF-INV-00031,dependency graph,crates/arcweft-bundle/Cargo.toml,arcweft-bundle dependencies,bundle depends on core/character/view and does not depend on compiler,retain current evidence or migrate only residual boundary,P00,retain,E031
ASF-INV-00032,dependency graph,crates/arcweft-compiler/Cargo.toml,arcweft-compiler dependencies,compiler already depends on bundle; compiler-owned bridge preserves direction,retain current evidence or migrate only residual boundary,P00,retain,E032
ASF-INV-00033,dependency graph,crates/arcweft-runtime-driver/Cargo.toml,arcweft-runtime-driver dependencies,driver depends on bundle/core/save and not compiler/JIT/codegen,retain current evidence or migrate only residual boundary,P00,retain,E033
ASF-INV-00034,dependency graph,crates/arcweft-lang-jit-cranelift/Cargo.toml,JIT dependencies,JIT currently depends on core; final backend entry adds driver dependency and accepts published generation,retain current evidence or migrate only residual boundary,P00,retain,E034
ASF-INV-00035,dependency graph,crates/arcweft-runtime-codegen/Cargo.toml,codegen dependencies,runtime-codegen currently depends on core; final backend entry adds driver dependency and accepts published generation,retain current evidence or migrate only residual boundary,P00,retain,E035
ASF-INV-00036,dependency graph,crates/arcweft-save/Cargo.toml,save dependencies,save is a lower Sans-I/O codec and must not depend on runtime-driver,retain current evidence or migrate only residual boundary,P00,retain,E036
ASF-INV-00037,core plan,crates/arcweft-core/src/plan/type_table.rs,RuntimePlanTypeTableBuilder::intern_batch,absent,add inherent atomic batch on original issuer,P01,add,FINAL_CONTRACT.md/RUST_API.md
ASF-INV-00038,core plan,crates/arcweft-core/src/plan/typed_sites.rs,RuntimeIndexPath,parent-selected; not final production,add checked v1 path and custom decode,P01,add,FINAL_CONTRACT.md/RUST_API.md
ASF-INV-00039,core plan,crates/arcweft-core/src/plan/typed_sites.rs,RuntimeTypedExpr,absent,builder-only complete node facts,P01,add,FINAL_CONTRACT.md/RUST_API.md
ASF-INV-00040,core plan,crates/arcweft-core/src/plan/typed_sites.rs,RuntimeTypedPattern,absent,builder-only complete node/binding facts,P01,add,FINAL_CONTRACT.md/RUST_API.md
ASF-INV-00041,core plan,crates/arcweft-core/src/value.rs,RuntimeExpr::try_visit_nodes,absent,add inherent exhaustive canonical pre-order visitor,P01,add,FINAL_CONTRACT.md/RUST_API.md
ASF-INV-00042,core pattern,crates/arcweft-core/src/pattern.rs,RuntimePattern::try_visit_nodes,absent,add inherent exhaustive canonical pre-order visitor,P01,add,FINAL_CONTRACT.md/RUST_API.md
ASF-INV-00043,core plan,crates/arcweft-core/src/plan/construction.rs,RuntimePlanBuilder,absent,sole type/local/final aggregate owner,P01,add,FINAL_CONTRACT.md/RUST_API.md
ASF-INV-00044,core plan,crates/arcweft-core/src/plan.rs,RuntimePlan public fields/Default,present,private fields; custom v1 decode via builder,P01,delete,FINAL_CONTRACT.md/RUST_API.md
ASF-INV-00045,HIR,crates/arcweft-lang-hir/src/final_project/runtime_semantic_owners.rs,HirRuntimeSyntheticExprSite,absent,closed enum and inventory iterator,P02,add,FINAL_CONTRACT.md/RUST_API.md
ASF-INV-00046,HIR,crates/arcweft-lang-hir/src/final_project/runtime_semantic_owners.rs,HirRuntimeSyntheticPatternSite,absent,closed enum and inventory iterator,P02,add,FINAL_CONTRACT.md/RUST_API.md
