owner_enum,tag,tag_hex,variant,payload_grammar
RuntimeEntryTypedSlot,0,0x00,State,none
RuntimeEntryTypedSlot,1,0x01,Event,none
RuntimeEntryTypedSlot,2,0x02,CommandPayload,command:u32_le
RuntimeFlowExecutableTypedSlot,0,0x00,Parameter,parameter:u32_le
RuntimePureHelperTypedSlot,0,0x00,Parameter,parameter:u32_le
RuntimePureHelperTypedSlot,1,0x01,Result,none
RuntimeTraitMethodTypedSlot,0,0x00,Receiver,none
RuntimeTraitMethodTypedSlot,1,0x01,Parameter,parameter:u32_le
RuntimeTraitMethodTypedSlot,2,0x02,Result,none
RuntimeStreamTypedSlot,0,0x00,Item,none
RuntimeStreamTypedSlot,1,0x01,Error,none
RuntimeSourceTypedSlot,0,0x00,Item,none
RuntimeSourceTypedSlot,1,0x01,Error,none
RuntimeFlowExpressionField,0,0x00,LetValue,none
RuntimeFlowExpressionField,1,0x01,LetElseValue,none
RuntimeFlowExpressionField,2,0x02,AwaitManySource,none
RuntimeFlowExpressionField,3,0x03,IfCondition,none
RuntimeFlowExpressionField,4,0x04,IfLetScrutinee,none
RuntimeFlowExpressionField,5,0x05,IfLetGuard,none
RuntimeFlowExpressionField,6,0x06,MatchScrutinee,none
RuntimeFlowExpressionField,7,0x07,MatchArmGuard,arm:u32_le
RuntimeFlowExpressionField,8,0x08,WhileCondition,none
RuntimeFlowExpressionField,9,0x09,WhileNextCondition,none
RuntimeFlowExpressionField,10,0x0a,WhileLetScrutinee,none
RuntimeFlowExpressionField,11,0x0b,WhileLetGuard,none
RuntimeFlowExpressionField,12,0x0c,WhileLetNextScrutinee,none
RuntimeFlowExpressionField,13,0x0d,WhileLetNextGuard,none
RuntimeFlowExpressionField,14,0x0e,ForSource,none
RuntimeFlowExpressionField,15,0x0f,LetScopeValue,none
RuntimeFlowExpressionField,16,0x10,BreakValue,none
RuntimeFlowExpressionField,17,0x11,GotoExprTarget,none
RuntimeFlowExpressionField,18,0x12,ReturnExprValue,none
RuntimeFlowExpressionField,19,0x13,ExitScopeBindValue,none
RuntimeFlowExpressionField,20,0x14,AwaitArgument,argument:u32_le
RuntimeFlowExpressionField,21,0x15,AwaitManyArgument,argument:u32_le
RuntimeFlowExpressionField,22,0x16,HostCallArgument,argument:u32_le
RuntimeFlowExpressionField,23,0x17,EvaluatedEffectArgument,argument:u32_le
RuntimeFlowPatternField,0,0x00,LetPattern,none
RuntimeFlowPatternField,1,0x01,LetElsePattern,none
RuntimeFlowPatternField,2,0x02,AwaitBinding,none
RuntimeFlowPatternField,3,0x03,AwaitManyBinding,none
RuntimeFlowPatternField,4,0x04,HostCallBinding,none
RuntimeFlowPatternField,5,0x05,IfLetPattern,none
RuntimeFlowPatternField,6,0x06,MatchArmPattern,arm:u32_le
RuntimeFlowPatternField,7,0x07,LetLoopPattern,none
RuntimeFlowPatternField,8,0x08,WhileLetPattern,none
RuntimeFlowPatternField,9,0x09,WhileLetNextPattern,none
RuntimeFlowPatternField,10,0x0a,ForPattern,none
RuntimeFlowPatternField,11,0x0b,ForNextPattern,none
RuntimeFlowPatternField,12,0x0c,LetScopePattern,none
RuntimeFlowPatternField,13,0x0d,ExitScopeBindPattern,none
RuntimeStreamExpressionField,0,0x00,LetValue,none
RuntimeStreamExpressionField,1,0x01,ForNextSource,none
RuntimeStreamExpressionField,2,0x02,YieldValue,none
RuntimeStreamExpressionField,3,0x03,IfCondition,none
RuntimeStreamExpressionField,4,0x04,MatchScrutinee,none
RuntimeStreamExpressionField,5,0x05,MatchArmGuard,arm:u32_le
RuntimeStreamExpressionField,6,0x06,CloseSource,none
RuntimeStreamPatternField,0,0x00,LetPattern,none
RuntimeStreamPatternField,1,0x01,ForNextPattern,none
RuntimeStreamPatternField,2,0x02,MatchArmPattern,arm:u32_le
RuntimeSourceExpressionField,0,0x00,OpenNode,none
RuntimeSourceExpressionField,1,0x01,ItemYieldNode,op:u32_le
RuntimeSourceExpressionField,2,0x02,ErrorYieldNode,op:u32_le
RuntimeSourceExpressionField,3,0x03,ProgressYieldNode,op:u32_le
RuntimeSourceExpressionField,4,0x04,DisconnectedYieldNode,op:u32_le
RuntimeSourceExpressionField,5,0x05,PermissionRevokedYieldNode,op:u32_le
RuntimeSourceExpressionField,6,0x06,EndYieldNode,op:u32_le
RuntimeSourceExpressionField,7,0x07,EvaluatedEffectArgument,argument:u32_le
